model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.35,0.99,pi3,0.05,0.9401906001278528,0.9829809392625319,0.03,0.83,rbf,1,True,0.07588144143422444
pi3,SVR(),0.02,0.33,0.98,pi2,0.04,0.9471064355854389,0.9926206029372099,0.03,0.71,rbf,1,True,0.07588144143422444
pi2,"SVR(C=10, kernel='linear')",0.03,0.31,0.99,pi3,0.04,0.945031919361061,0.9480060368356914,0.03,0.83,linear,1,True,0.07588144143422444
pi3,"SVR(C=10, kernel='linear')",0.03,0.31,0.95,pi2,0.03,0.9829011713750452,0.9883999843497905,0.03,0.71,linear,1,True,0.07588144143422444
pi2,SVR(),0.03,0.32,0.84,pi3,0.66,0.1790830135029171,0.6538971015534117,0.03,0.37,rbf,2,True,0.03496710459391276
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.41,0.65,pi2,8.36,-7.708183665582203,0.836458201446757,0.03,0.85,rbf,2,True,0.03496710459391276
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.41,0.65,pi5,0.6,0.05861693654197109,0.8961047259460087,0.03,0.87,rbf,2,True,0.03496710459391276
pi5,SVR(C=10),0.02,0.3,0.9,pi3,0.5,0.39250816700154445,0.6538971015534117,0.03,0.83,rbf,2,True,0.03496710459391276
pi2,SVR(kernel='linear'),0.01,0.31,0.77,pi3,0.57,0.19700899568325037,0.42299744211034984,0.03,0.37,linear,2,True,0.03496710459391276
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.01,0.37,0.42,pi2,0.62,-0.1969325545251528,0.766548252005518,0.03,0.85,linear,2,True,0.03496710459391276
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.01,0.37,0.42,pi5,0.35,0.7770191677573783,0.7881037079841269,0.03,0.87,linear,2,True,0.03496710459391276
pi5,SVR(kernel='linear'),0.02,0.49,0.79,pi3,0.39,0.4014657370051161,0.42299744211034984,0.03,0.83,linear,2,True,0.03496710459391276
