model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.03,0.42,0.98,pi3,0.07,0.9085221980931975,0.9795580850260949,0.03,0.72,rbf,1,True,0.036103268464406334
pi3,SVR(C=10),0.11,1.14,0.98,pi2,0.07,0.9109137800193294,0.9780152913515596,0.03,0.57,rbf,1,True,0.036103268464406334
pi2,SVR(kernel='linear'),0.02,0.86,0.97,pi3,0.05,0.9255676773622636,0.9251529687402831,0.03,0.72,linear,1,True,0.036103268464406334
pi3,SVR(kernel='linear'),0.06,0.8,0.93,pi2,0.05,0.9713524627005802,0.9743335127136582,0.03,0.57,linear,1,True,0.036103268464406334
pi2,"SVR(C=1, epsilon=0.5)",0.01,0.89,0.32,pi3,0.11,0.42439628283256137,0.680635576273788,0.03,0.31,rbf,2,True,0.03553525606791178
pi3,"SVR(C=10, epsilon=0.5)",0.02,1.05,0.68,pi2,0.78,-0.09541533501815458,0.3154598289682792,0.03,0.72,rbf,2,True,0.03553525606791178
pi3,"SVR(C=10, epsilon=0.5)",0.02,1.05,0.68,pi5,1.28,-0.602544976606048,0.4737091296745566,0.03,0.76,rbf,2,True,0.03553525606791178
pi5,SVR(),0.03,0.81,0.47,pi3,0.01,0.4869581808503308,0.680635576273788,0.03,0.75,rbf,2,True,0.03553525606791178
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,1.06,0.24,pi3,0.18,0.4202102685910962,0.4869897901693858,0.03,0.31,linear,2,True,0.03553525606791178
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.17,0.49,pi2,0.29,0.19958435283427267,0.24130699759573981,0.03,0.72,linear,2,True,0.03553525606791178
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.17,0.49,pi5,0.1,0.3865565767418029,0.4026215773268883,0.03,0.76,linear,2,True,0.03553525606791178
pi5,SVR(kernel='linear'),0.04,1.61,0.4,pi3,0.09,0.491003582105612,0.4869897901693858,0.03,0.75,linear,2,True,0.03553525606791178
pi2,SVR(C=10),0.02,0.49,0.95,pi4,0.03,0.9834000233336848,0.9883316607447303,0.01,0.94,rbf,3,True,0.012771040201187134
pi4,SVR(C=10),0.02,0.33,0.99,pi2,0.04,0.9447818410801512,0.951139464814248,0.01,0.72,rbf,3,True,0.012771040201187134
pi2,SVR(kernel='linear'),0.01,0.47,0.95,pi4,0.03,0.983078336839458,0.9841492224374739,0.01,0.94,linear,3,True,0.012771040201187134
pi4,SVR(kernel='linear'),0.02,0.34,0.98,pi2,0.03,0.9512151352429947,0.9519806844441654,0.01,0.72,linear,3,True,0.012771040201187134
