model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.38,0.99,pi3,0.07,0.9266228745148078,0.9840822054150884,0.04,0.7,rbf,1,True,0.03872056802113851
pi3,SVR(C=0.1),0.02,0.38,0.98,pi2,0.05,0.936551603771321,0.9918245084446948,0.04,0.69,rbf,1,True,0.03872056802113851
pi3,SVR(C=0.1),0.02,0.38,0.98,pi4,0.1,0.8831414751962967,0.9644161063020569,0.03,0.32,rbf,1,True,0.03872056802113851
pi4,SVR(C=10),0.03,0.38,0.96,pi3,0.03,0.9357815755707961,0.9840822054150884,0.03,0.99,rbf,1,True,0.03872056802113851
pi2,SVR(kernel='linear'),0.01,0.3,0.99,pi3,0.05,0.9380773171702123,0.9375536592562195,0.04,0.7,linear,1,True,0.03872056802113851
pi3,"SVR(C=0.1, kernel='linear')",0.01,0.35,0.94,pi2,0.05,0.9859460141331955,0.9885446287055668,0.04,0.69,linear,1,True,0.03872056802113851
pi3,"SVR(C=0.1, kernel='linear')",0.01,0.35,0.94,pi4,0.02,0.9199714878741911,0.9150147140783601,0.03,0.32,linear,1,True,0.03872056802113851
pi4,SVR(kernel='linear'),0.02,0.37,0.92,pi3,0.01,0.9295405149664389,0.9375536592562195,0.03,0.99,linear,1,True,0.03872056802113851
pi2,SVR(C=10),0.02,0.36,0.31,pi3,0.21,0.5193051507306613,0.7969602621843539,0.03,0.33,rbf,2,True,0.03834716478983561
pi3,SVR(C=10),0.04,0.45,0.8,pi2,1.19,-0.3888940534885805,0.30931830609953326,0.03,0.84,rbf,2,True,0.03834716478983561
pi3,SVR(C=10),0.04,0.45,0.8,pi5,1.93,-1.1351255256147947,0.9015221831370195,0.04,0.83,rbf,2,True,0.03834716478983561
pi5,SVR(C=10),0.03,0.35,0.9,pi3,0.16,0.7425302593492387,0.7969602621843539,0.04,0.85,rbf,2,True,0.03834716478983561
pi2,SVR(kernel='linear'),0.01,0.51,0.29,pi3,0.22,0.5104701236290804,0.6923411338844916,0.03,0.33,linear,2,True,0.03834716478983561
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.38,0.69,pi2,0.58,0.11304379337315895,0.2855035733168684,0.03,0.84,linear,2,True,0.03834716478983561
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.38,0.69,pi5,0.08,0.7683156567120948,0.7761041103864993,0.04,0.83,linear,2,True,0.03834716478983561
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.33,0.78,pi3,0.11,0.6695044215354472,0.6923411338844916,0.04,0.85,linear,2,True,0.03834716478983561
pi2,SVR(),0.01,0.21,0.95,pi4,0.02,0.9754483470067276,0.988161517163965,0.01,0.95,rbf,3,True,0.00629386305809021
pi4,SVR(C=10),0.01,0.17,0.99,pi2,0.04,0.9489436887450752,0.9546947003341382,0.01,0.74,rbf,3,True,0.00629386305809021
pi2,SVR(kernel='linear'),0.0,0.18,0.96,pi4,0.03,0.9857275861831645,0.9854414397813462,0.01,0.95,linear,3,True,0.00629386305809021
pi4,"SVR(C=0.1, kernel='linear')",0.0,0.16,0.99,pi2,0.03,0.9548299625223073,0.9556984544221236,0.01,0.74,linear,3,True,0.00629386305809021
