model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.32,0.99,pi3,0.05,0.9366223813766282,0.9828263112151355,0.04,0.82,rbf,1,True,0.0616074005762736
pi3,SVR(),0.02,0.31,0.98,pi2,0.04,0.9412420181619039,0.9898548717412988,0.04,0.65,rbf,1,True,0.0616074005762736
pi2,SVR(kernel='linear'),0.01,0.28,0.99,pi3,0.05,0.9402558514282908,0.9437613423946675,0.04,0.82,linear,1,True,0.0616074005762736
pi3,SVR(kernel='linear'),0.01,0.29,0.94,pi2,0.04,0.9814690255435935,0.9868188551212737,0.04,0.65,linear,1,True,0.0616074005762736
pi2,SVR(),0.02,0.3,0.83,pi3,0.51,0.3210386289726782,0.6845889695502771,0.03,0.36,rbf,2,True,0.04423964023590088
pi3,SVR(),0.03,0.36,0.68,pi2,0.35,0.33182229962903387,0.8334174273752663,0.03,0.82,rbf,2,True,0.04423964023590088
pi3,SVR(),0.03,0.36,0.68,pi5,0.41,0.2750385687966951,0.4227650120312568,0.03,0.8,rbf,2,True,0.04423964023590088
pi5,SVR(),0.02,0.36,0.42,pi3,0.2,0.6236073330997463,0.6845889695502771,0.03,0.87,rbf,2,True,0.04423964023590088
pi2,SVR(kernel='linear'),0.01,0.28,0.76,pi3,0.31,0.451004766755446,0.631343192749706,0.03,0.36,linear,2,True,0.04423964023590088
pi3,"SVR(C=10, kernel='linear')",0.03,0.37,0.63,pi2,0.19,0.43983860315286294,0.761777380397397,0.03,0.82,linear,2,True,0.04423964023590088
pi3,"SVR(C=10, kernel='linear')",0.03,0.37,0.63,pi5,0.26,0.37354172834336274,0.38192943850843564,0.03,0.8,linear,2,True,0.04423964023590088
pi5,"SVR(C=0.1, kernel='linear')",0.01,0.36,0.38,pi3,0.25,0.6346197936653436,0.631343192749706,0.03,0.87,linear,2,True,0.04423964023590088
pi2,SVR(),0.01,0.22,0.95,pi4,0.02,0.9752867192135568,0.9895962378329607,0.03,0.94,rbf,3,True,0.02880573272705078
pi4,SVR(C=10),0.01,0.18,0.99,pi2,0.04,0.9497470839618654,0.9543979602364371,0.03,0.8,rbf,3,True,0.02880573272705078
pi2,SVR(kernel='linear'),0.0,0.17,0.95,pi4,0.03,0.9840741291179086,0.9853609439803126,0.03,0.94,linear,3,True,0.02880573272705078
pi4,SVR(kernel='linear'),0.0,0.17,0.99,pi2,0.03,0.9528192111626843,0.954701068445922,0.03,0.8,linear,3,True,0.02880573272705078
