model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.04,0.65,0.99,pi3,0.08,0.9131245828766346,0.9812654047254485,0.03,0.69,rbf,1,True,0.040735105673472084
pi3,SVR(C=10),0.05,0.75,0.98,pi2,0.04,0.9430185249588654,0.9903129653161129,0.03,0.59,rbf,1,True,0.040735105673472084
pi3,SVR(C=10),0.05,0.75,0.98,pi4,0.06,0.9227223597432138,0.9579287328438603,0.03,0.32,rbf,1,True,0.040735105673472084
pi4,SVR(),0.03,0.66,0.96,pi3,0.0,0.9544432537481652,0.9812654047254485,0.03,0.94,rbf,1,True,0.040735105673472084
pi2,"SVR(C=0.1, kernel='linear')",0.01,0.57,0.99,pi3,0.06,0.9306917251319557,0.9301069055674753,0.03,0.69,linear,1,True,0.040735105673472084
pi3,SVR(kernel='linear'),0.04,0.64,0.93,pi2,0.06,0.9859088824491824,0.986941462142292,0.03,0.59,linear,1,True,0.040735105673472084
pi3,SVR(kernel='linear'),0.04,0.64,0.93,pi4,0.0,0.9254678334685875,0.9178558012203581,0.03,0.32,linear,1,True,0.040735105673472084
pi4,SVR(kernel='linear'),0.02,0.65,0.92,pi3,0.0,0.9212297420246888,0.9301069055674753,0.03,0.94,linear,1,True,0.040735105673472084
pi2,"SVR(C=0.1, epsilon=0.5)",0.01,0.73,0.31,pi3,0.08,0.38371783859288267,0.6372174174240954,0.02,0.3,rbf,2,True,0.03332142035166422
pi3,"SVR(C=10, epsilon=0.5)",0.02,0.82,0.64,pi2,0.56,0.07506386571894774,0.307996500858019,0.02,0.74,rbf,2,True,0.03332142035166422
pi3,"SVR(C=10, epsilon=0.5)",0.02,0.82,0.64,pi5,1.01,-0.37254448023111153,0.3871189123439731,0.03,0.77,rbf,2,True,0.03332142035166422
pi5,"SVR(C=10, epsilon=0.5)",0.01,0.86,0.39,pi3,0.1,0.28513103453894284,0.6372174174240954,0.03,0.77,rbf,2,True,0.03332142035166422
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.01,0.79,0.24,pi3,0.2,0.4451287991935716,0.5002900040352412,0.02,0.3,linear,2,True,0.03332142035166422
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.86,0.5,pi2,0.3,0.19920452036468062,0.24024750291933272,0.02,0.74,linear,2,True,0.03332142035166422
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.86,0.5,pi5,0.27,0.23185826610979265,0.26822274668700685,0.03,0.77,linear,2,True,0.03332142035166422
pi5,"SVR(C=0.01, kernel='linear')",0.02,1.23,0.27,pi3,0.23,0.50312079004377,0.5002900040352412,0.03,0.77,linear,2,True,0.03332142035166422
pi2,SVR(C=10),0.02,0.5,0.96,pi4,0.03,0.9835076423151182,0.9888418757570676,0.01,0.95,rbf,3,True,0.009516716003417969
pi4,SVR(C=10),0.02,0.39,0.99,pi2,0.03,0.9548745667527333,0.9571226434628384,0.01,0.76,rbf,3,True,0.009516716003417969
pi2,"SVR(C=10, kernel='linear')",0.02,0.36,0.96,pi4,0.03,0.9842012432157282,0.9844529261205287,0.01,0.95,linear,3,True,0.009516716003417969
pi4,SVR(kernel='linear'),0.01,0.33,0.98,pi2,0.03,0.9585529727798225,0.958760697634965,0.01,0.76,linear,3,True,0.009516716003417969
