model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.34,0.99,pi3,0.08,0.9091806497609842,0.9798369924785439,0.05,0.75,rbf,1,True,0.055625696976979576
pi3,SVR(C=10),0.04,0.39,0.98,pi2,0.03,0.9483771483920251,0.9910597443488934,0.05,0.68,rbf,1,True,0.055625696976979576
pi3,SVR(C=10),0.04,0.39,0.98,pi4,0.06,0.9153951894416621,0.9580202643334994,0.04,0.35,rbf,1,True,0.055625696976979576
pi4,SVR(C=10),0.02,0.34,0.96,pi3,0.03,0.9298826003449486,0.9798369924785439,0.04,0.93,rbf,1,True,0.055625696976979576
pi2,SVR(kernel='linear'),0.01,0.27,0.99,pi3,0.06,0.9235186752416304,0.9233349576920641,0.05,0.75,linear,1,True,0.055625696976979576
pi3,SVR(kernel='linear'),0.02,0.34,0.92,pi2,0.06,0.9877524568614043,0.9880976008994403,0.05,0.68,linear,1,True,0.055625696976979576
pi3,SVR(kernel='linear'),0.02,0.34,0.92,pi4,0.0,0.9259390788390864,0.9185884868528207,0.04,0.35,linear,1,True,0.055625696976979576
pi4,"SVR(C=10, kernel='linear')",0.05,0.35,0.92,pi3,0.0,0.915155944508262,0.9233349576920641,0.04,0.93,linear,1,True,0.055625696976979576
pi2,"SVR(C=10, epsilon=0.5)",0.0,0.41,0.35,pi3,0.04,0.39915437220090455,0.7033963597388417,0.02,0.32,rbf,2,True,0.05235817035039266
pi3,"SVR(C=10, epsilon=0.5)",0.02,0.53,0.7,pi2,0.67,0.029649473552128658,0.35478203647793805,0.02,0.78,rbf,2,True,0.05235817035039266
pi2,"SVR(C=1, epsilon=0.5, kernel='linear')",0.0,0.51,0.29,pi3,0.11,0.39169726626865276,0.4544022261569125,0.02,0.32,linear,2,True,0.05235817035039266
pi3,SVR(kernel='linear'),0.02,0.42,0.45,pi2,0.18,0.27840810952934114,0.28667653494639755,0.02,0.78,linear,2,True,0.05235817035039266
