model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.07,0.85,0.99,pi3,0.07,0.9154698714575097,0.9826805358071923,0.03,0.71,rbf,1,True,0.03541668256123861
pi3,SVR(C=10),0.14,1.24,0.98,pi2,0.05,0.9286170348622834,0.9889411896130494,0.03,0.58,rbf,1,True,0.03541668256123861
pi3,SVR(C=10),0.14,1.24,0.98,pi4,0.06,0.920290731219282,0.9613926652322017,0.03,0.34,rbf,1,True,0.03541668256123861
pi4,SVR(),0.08,0.81,0.96,pi3,0.01,0.953538997818753,0.9826805358071923,0.03,0.9,rbf,1,True,0.03541668256123861
pi2,SVR(kernel='linear'),0.03,0.78,0.98,pi3,0.05,0.9319674221316988,0.9323437115472689,0.03,0.71,linear,1,True,0.03541668256123861
pi3,"SVR(C=10, kernel='linear')",0.11,1.06,0.93,pi2,0.05,0.9820395074565617,0.9849211148699293,0.03,0.58,linear,1,True,0.03541668256123861
pi3,"SVR(C=10, kernel='linear')",0.11,1.06,0.93,pi4,0.01,0.9220993269216676,0.9160223809139953,0.03,0.34,linear,1,True,0.03541668256123861
pi4,"SVR(C=10, kernel='linear')",0.1,1.25,0.92,pi3,0.01,0.9249777395025529,0.9323437115472689,0.03,0.9,linear,1,True,0.03541668256123861
pi2,"SVR(C=1, epsilon=0.5)",0.01,0.83,0.32,pi3,0.12,0.4430091853439455,0.6621743371099766,0.03,0.32,rbf,2,True,0.04165611664454142
pi3,"SVR(C=10, epsilon=0.5)",0.05,1.28,0.66,pi2,0.5,0.165498790691192,0.3249632127423152,0.03,0.72,rbf,2,True,0.04165611664454142
pi3,"SVR(C=10, epsilon=0.5)",0.05,1.28,0.66,pi5,0.79,-0.130322314162439,0.465343687617075,0.04,0.78,rbf,2,True,0.04165611664454142
pi5,SVR(),0.07,1.05,0.47,pi3,0.05,0.5120787139256832,0.6621743371099766,0.04,0.76,rbf,2,True,0.04165611664454142
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.05,1.32,0.24,pi3,0.2,0.44574551539320806,0.49990813477119933,0.03,0.32,linear,2,True,0.04165611664454142
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.17,0.5,pi2,0.29,0.20867345893355504,0.2420940940099503,0.03,0.72,linear,2,True,0.04165611664454142
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.17,0.5,pi5,0.11,0.39450371040065335,0.41210783201150525,0.04,0.78,linear,2,True,0.04165611664454142
pi5,SVR(kernel='linear'),0.08,1.53,0.41,pi3,0.09,0.5023752706940734,0.49990813477119933,0.04,0.76,linear,2,True,0.04165611664454142
pi2,SVR(C=10),0.02,0.59,0.95,pi4,0.03,0.9826242366934351,0.987959335412995,0.02,0.94,rbf,3,True,0.022995591163635254
pi4,SVR(C=10),0.01,0.55,0.99,pi2,0.04,0.9468491239385034,0.9549958020132527,0.02,0.75,rbf,3,True,0.022995591163635254
pi2,SVR(kernel='linear'),0.02,0.62,0.96,pi4,0.03,0.9827967721082785,0.9836457406593753,0.02,0.94,linear,3,True,0.022995591163635254
pi4,SVR(kernel='linear'),0.01,0.35,0.98,pi2,0.03,0.9551782537231873,0.9561066709362707,0.02,0.75,linear,3,True,0.022995591163635254
