model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.03,0.63,0.98,pi3,0.06,0.9161667138033786,0.982486626890315,0.04,0.69,rbf,1,True,0.04099529981613159
pi3,SVR(C=10),0.06,0.62,0.98,pi2,0.06,0.9182298673740945,0.9774540534859836,0.04,0.6,rbf,1,True,0.04099529981613159
pi3,SVR(C=10),0.06,0.62,0.98,pi4,0.06,0.9200636937747314,0.9621398879438823,0.04,0.32,rbf,1,True,0.04099529981613159
pi4,SVR(),0.03,0.74,0.96,pi3,0.01,0.955537170911515,0.982486626890315,0.04,0.91,rbf,1,True,0.04099529981613159
pi2,SVR(kernel='linear'),0.02,0.49,0.97,pi3,0.05,0.9262140556743527,0.926160253207454,0.04,0.69,linear,1,True,0.04099529981613159
pi3,SVR(kernel='linear'),0.03,0.63,0.93,pi2,0.04,0.9700828790788909,0.9746683495281767,0.04,0.6,linear,1,True,0.04099529981613159
pi3,SVR(kernel='linear'),0.03,0.63,0.93,pi4,0.0,0.9263138305384938,0.923315501265019,0.04,0.32,linear,1,True,0.04099529981613159
pi4,"SVR(C=0.1, kernel='linear')",0.01,0.86,0.92,pi3,0.0,0.9214567558868876,0.926160253207454,0.04,0.91,linear,1,True,0.04099529981613159
pi2,"SVR(C=1, epsilon=0.5)",0.01,0.65,0.3,pi3,0.07,0.3754549804273226,0.6262725935509388,0.02,0.31,rbf,2,True,0.03679464260737101
pi3,"SVR(C=10, epsilon=0.5)",0.02,0.74,0.63,pi2,0.71,-0.0829096880612199,0.30228596557862464,0.02,0.74,rbf,2,True,0.03679464260737101
pi3,"SVR(C=10, epsilon=0.5)",0.02,0.74,0.63,pi5,1.4,-0.7693378410367229,0.3839486696704696,0.04,0.73,rbf,2,True,0.03679464260737101
pi5,"SVR(C=10, epsilon=0.5)",0.02,0.66,0.38,pi3,0.09,0.2974588244246821,0.6262725935509388,0.04,0.78,rbf,2,True,0.03679464260737101
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.02,0.23,pi3,0.2,0.4237506195372981,0.4894603916984265,0.02,0.31,linear,2,True,0.03679464260737101
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.79,0.49,pi2,0.3,0.18883082298411313,0.22573851819116397,0.02,0.74,linear,2,True,0.03679464260737101
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,0.79,0.49,pi5,0.25,0.2433331358201557,0.26762431524572095,0.04,0.73,linear,2,True,0.03679464260737101
pi5,"SVR(C=0.01, kernel='linear')",0.01,0.85,0.27,pi3,0.22,0.4919790967134743,0.4894603916984265,0.04,0.78,linear,2,True,0.03679464260737101
pi2,SVR(C=10),0.03,0.41,0.95,pi4,0.03,0.9847603834630321,0.9880240066980673,0.01,0.96,rbf,3,True,0.014073997735977173
pi4,SVR(C=10),0.01,0.28,0.99,pi2,0.04,0.9472461374130504,0.9503621396671648,0.01,0.74,rbf,3,True,0.014073997735977173
pi2,"SVR(C=10, kernel='linear')",0.03,0.33,0.95,pi4,0.03,0.984086251982389,0.9841572896093002,0.01,0.96,linear,3,True,0.014073997735977173
pi4,SVR(kernel='linear'),0.01,0.27,0.98,pi2,0.03,0.950766269496117,0.9517541849289317,0.01,0.74,linear,3,True,0.014073997735977173
