model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.34,0.99,pi3,0.06,0.9359144713568206,0.9824298537339384,0.04,0.82,rbf,1,True,0.06172800064086914
pi2,SVR(C=10),0.02,0.34,0.99,pi4,0.09,0.8988478856997985,0.9581885673981375,0.06,0.65,rbf,1,True,0.06172800064086914
pi3,SVR(C=10),0.03,0.34,0.98,pi2,0.04,0.9410218047581427,0.9919223321215491,0.04,0.6,rbf,1,True,0.06172800064086914
pi4,SVR(C=10),0.02,0.32,0.96,pi2,0.03,0.9299937305493751,0.9919223321215491,0.06,0.86,rbf,1,True,0.06172800064086914
pi2,SVR(kernel='linear'),0.01,0.27,0.99,pi3,0.05,0.9436562256074976,0.9460279930715458,0.04,0.82,linear,1,True,0.06172800064086914
pi2,SVR(kernel='linear'),0.01,0.27,0.99,pi4,0.07,0.9195274349181862,0.9099939690993165,0.06,0.65,linear,1,True,0.06172800064086914
pi3,"SVR(C=0.1, kernel='linear')",0.01,0.28,0.95,pi2,0.04,0.9857306049537091,0.9897009026019089,0.04,0.6,linear,1,True,0.06172800064086914
pi4,SVR(kernel='linear'),0.01,0.27,0.91,pi2,0.07,0.9816010422516913,0.9897009026019089,0.06,0.86,linear,1,True,0.06172800064086914
pi2,"SVR(C=1, epsilon=0.5)",0.01,0.39,0.32,pi3,0.12,0.4321149028565665,0.6417123030203499,0.03,0.34,rbf,2,True,0.04130125045776367
pi3,"SVR(C=10, epsilon=0.5)",0.01,0.48,0.64,pi2,0.29,0.3564512742809668,0.3158982711550731,0.03,0.77,rbf,2,True,0.04130125045776367
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.01,0.48,0.25,pi3,0.16,0.40774867394968795,0.5053507255628172,0.03,0.34,linear,2,True,0.04130125045776367
pi3,SVR(kernel='linear'),0.01,0.38,0.51,pi2,0.3,0.20298765000393237,0.25174543166488217,0.03,0.77,linear,2,True,0.04130125045776367
pi2,SVR(),0.01,0.24,0.97,pi4,0.01,0.9726495158676257,0.989440251092956,0.02,0.92,rbf,3,True,0.016315490007400513
pi4,SVR(C=10),0.01,0.17,0.99,pi2,0.03,0.9614842073582204,0.966000667593215,0.02,0.85,rbf,3,True,0.016315490007400513
pi2,"SVR(C=0.1, kernel='linear')",0.01,0.17,0.96,pi4,0.02,0.985877852702647,0.9862870588738113,0.02,0.92,linear,3,True,0.016315490007400513
pi4,SVR(kernel='linear'),0.0,0.17,0.99,pi2,0.02,0.9640965785305213,0.9642316956744569,0.02,0.85,linear,3,True,0.016315490007400513
