model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.04,0.6,0.98,pi3,0.07,0.9073535992438099,0.9809329450146467,0.04,0.7,rbf,1,True,0.044791340827941895
pi3,SVR(C=10),0.07,0.83,0.98,pi2,0.06,0.9166725516907116,0.976149663474081,0.04,0.63,rbf,1,True,0.044791340827941895
pi3,SVR(C=10),0.07,0.83,0.98,pi4,0.06,0.919168028720375,0.9621237774574846,0.03,0.32,rbf,1,True,0.044791340827941895
pi4,SVR(),0.04,0.71,0.96,pi3,0.01,0.955518833469779,0.9809329450146467,0.03,0.91,rbf,1,True,0.044791340827941895
pi2,SVR(kernel='linear'),0.02,0.53,0.97,pi3,0.04,0.9305079304214119,0.9306992004690816,0.04,0.7,linear,1,True,0.044791340827941895
pi3,SVR(kernel='linear'),0.03,0.67,0.93,pi2,0.04,0.9695175397558117,0.9727571581026159,0.04,0.63,linear,1,True,0.044791340827941895
pi3,SVR(kernel='linear'),0.03,0.67,0.93,pi4,0.0,0.927824244139837,0.9233954485744341,0.03,0.32,linear,1,True,0.044791340827941895
pi4,SVR(kernel='linear'),0.03,0.75,0.92,pi3,0.0,0.9234316451636587,0.9306992004690816,0.03,0.91,linear,1,True,0.044791340827941895
pi2,"SVR(C=10, epsilon=0.5)",0.02,0.79,0.33,pi3,0.02,0.344828664054611,0.6359011269940265,0.03,0.32,rbf,2,True,0.03511116902033488
pi3,"SVR(C=1, epsilon=0.5)",0.02,0.9,0.64,pi2,0.32,0.3199086742337467,0.32510980238707543,0.03,0.71,rbf,2,True,0.03511116902033488
pi3,"SVR(C=1, epsilon=0.5)",0.02,0.9,0.64,pi5,0.66,-0.02705842815639503,0.36362083001493595,0.03,0.75,rbf,2,True,0.03511116902033488
pi5,"SVR(C=10, epsilon=0.5)",0.01,0.79,0.36,pi3,0.06,0.30564763832376474,0.6359011269940265,0.03,0.77,rbf,2,True,0.03511116902033488
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.01,1.1,0.23,pi3,0.17,0.40048024915627867,0.4797134127546493,0.03,0.32,linear,2,True,0.03511116902033488
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.02,0.89,0.48,pi2,0.27,0.21441318144949184,0.2289132962698469,0.03,0.71,linear,2,True,0.03511116902033488
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.02,0.89,0.48,pi5,0.19,0.2893903424173806,0.30085931357358076,0.03,0.75,linear,2,True,0.03511116902033488
pi5,"SVR(C=0.01, kernel='linear')",0.02,1.08,0.3,pi3,0.16,0.4593127005936032,0.4797134127546493,0.03,0.77,linear,2,True,0.03511116902033488
pi2,SVR(C=10),0.03,0.51,0.95,pi4,0.03,0.9781522362828062,0.9890540669656641,0.01,0.93,rbf,3,True,0.011674284934997559
pi4,SVR(C=10),0.02,0.41,0.99,pi2,0.04,0.9479547812775537,0.9515572407676934,0.01,0.73,rbf,3,True,0.011674284934997559
pi2,"SVR(C=10, kernel='linear')",0.02,0.37,0.95,pi4,0.03,0.9851991189356164,0.9851556891924692,0.01,0.93,linear,3,True,0.011674284934997559
pi4,SVR(kernel='linear'),0.01,0.39,0.99,pi2,0.03,0.9524314940467699,0.953003519540959,0.01,0.73,linear,3,True,0.011674284934997559
