model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.02,0.3,0.99,pi3,0.07,0.9223872616716423,0.9831727535533177,0.05,0.7,rbf,1,True,0.06748380263646443
pi3,SVR(C=10),0.03,0.36,0.98,pi2,0.05,0.9373823110092415,0.9917335658551067,0.05,0.71,rbf,1,True,0.06748380263646443
pi3,SVR(C=10),0.03,0.36,0.98,pi4,0.06,0.9269003855777485,0.9607717421290768,0.05,0.32,rbf,1,True,0.06748380263646443
pi4,SVR(C=10),0.03,0.37,0.96,pi3,0.0,0.961043417866423,0.9831727535533177,0.05,0.95,rbf,1,True,0.06748380263646443
pi2,"SVR(C=10, kernel='linear')",0.02,0.26,0.99,pi3,0.05,0.9343358356222757,0.9341376908005011,0.05,0.7,linear,1,True,0.06748380263646443
pi3,SVR(kernel='linear'),0.02,0.31,0.93,pi2,0.05,0.9853664479761999,0.9879381355614619,0.05,0.71,linear,1,True,0.06748380263646443
pi3,SVR(kernel='linear'),0.02,0.31,0.93,pi4,0.02,0.9118214406647792,0.9058796047161437,0.05,0.32,linear,1,True,0.06748380263646443
pi4,SVR(kernel='linear'),0.02,0.42,0.91,pi3,0.02,0.9295895398369568,0.9341376908005011,0.05,0.95,linear,1,True,0.06748380263646443
pi2,SVR(C=10),0.02,0.35,0.36,pi3,0.0,0.3672224153878586,0.6793458595801506,0.03,0.36,rbf,2,True,0.0389175017674764
pi3,"SVR(C=10, epsilon=0.5)",0.0,0.33,0.68,pi2,1.14,-0.45940369912534784,0.3623576565359963,0.03,0.75,rbf,2,True,0.0389175017674764
pi2,SVR(kernel='linear'),0.02,0.59,0.33,pi3,0.09,0.4220481195954985,0.5965186821528672,0.03,0.36,linear,2,True,0.0389175017674764
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.0,0.36,0.6,pi2,0.44,0.16112010645308195,0.32823592662702816,0.03,0.75,linear,2,True,0.0389175017674764
