model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi2,"SVR(C=100, epsilon=0.2)",0.9913631494468665,pi4,0.10475618551999855,MMD,False,1,6.66,True
pi4,"SVR(C=100, epsilon=0.2)",0.964028069320242,pi2,0.0508083482933438,MMD,False,1,6.66,True
pi2,"SVR(C=100, epsilon=1, kernel='linear')",0.9871975374733198,pi4,0.07058304096722923,MMD,False,1,6.66,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.92639896016789,pi2,0.044380054821404724,MMD,False,1,6.66,True
pi2,LinearRegression(),0.9874035008661699,pi4,0.06813114595969738,MMD,False,1,6.66,True
pi4,LinearRegression(),0.9292062079579517,pi2,0.049654194372318106,MMD,False,1,6.66,True
pi2,SVR(C=100),0.9910563376060694,pi4,0.09890720701704803,MMD,True,1,6.66,True
pi4,"SVR(C=100, epsilon=0.01)",0.9664152869452801,pi2,0.06899535068975293,MMD,True,1,6.66,True
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9873940395437037,pi4,0.06748274386694175,MMD,True,1,6.66,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9287985974953932,pi2,0.04623621560396918,MMD,True,1,6.66,True
pi2,LinearRegression(),0.9874035035897379,pi4,0.06813120308298837,MMD,True,1,6.66,True
pi4,LinearRegression(),0.9292061930937257,pi2,0.049654261610385664,MMD,True,1,6.66,True
pi2,"SVR(C=100, epsilon=0.2)",0.9913631494468665,pi4,0.10475618551999855,OCSVM,False,1,0.85,True
pi4,"SVR(C=100, epsilon=0.2)",0.964028069320242,pi2,0.0508083482933438,OCSVM,False,1,0.63,True
pi4,"SVR(C=100, epsilon=0.2)",0.964028069320242,pi3,0.40283764964458146,OCSVM,False,1,0.13,True
pi4,"SVR(C=100, epsilon=0.2)",0.964028069320242,pi5,0.921787408755309,OCSVM,False,1,0.48,True
pi3,"SVR(C=100, epsilon=0.2)",0.9776340622618059,pi4,3.588371220727868,OCSVM,False,1,0.68,True
pi3,"SVR(C=100, epsilon=0.2)",0.9776340622618059,pi5,1.737326497341538,OCSVM,False,1,1.0,True
pi5,"SVR(C=100, epsilon=1)",0.4659861557017737,pi3,0.9418505578336858,OCSVM,False,1,0.2,True
pi5,"SVR(C=100, epsilon=1)",0.4659861557017737,pi4,6.562973261046832,OCSVM,False,1,0.31,True
pi2,"SVR(C=100, epsilon=1, kernel='linear')",0.9871975374733198,pi4,0.07058304096722923,OCSVM,False,1,0.85,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.92639896016789,pi2,0.044380054821404724,OCSVM,False,1,0.63,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.92639896016789,pi3,0.10221574720063575,OCSVM,False,1,0.13,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.92639896016789,pi5,0.7485989124757422,OCSVM,False,1,0.48,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.915650010736584,pi4,0.5420705742489761,OCSVM,False,1,0.68,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.915650010736584,pi5,1.102690664085229,OCSVM,False,1,1.0,True
pi5,SVR(kernel='linear'),0.3102458121894124,pi3,0.03953571164818137,OCSVM,False,1,0.2,True
pi5,SVR(kernel='linear'),0.3102458121894124,pi4,0.10148694294982208,OCSVM,False,1,0.31,True
pi2,LinearRegression(),0.9874035008661699,pi4,0.06813114595969738,OCSVM,False,1,0.85,True
pi4,LinearRegression(),0.9292062079579517,pi2,0.049654194372318106,OCSVM,False,1,0.63,True
pi4,LinearRegression(),0.9292062079579517,pi3,0.13532674566007064,OCSVM,False,1,0.13,True
pi4,LinearRegression(),0.9292062079579517,pi5,0.6787786669074688,OCSVM,False,1,0.48,True
pi3,LinearRegression(),0.915756441192693,pi4,0.5074956260048915,OCSVM,False,1,0.68,True
pi3,LinearRegression(),0.915756441192693,pi5,1.088545555788433,OCSVM,False,1,1.0,True
pi5,LinearRegression(),0.37841574936834077,pi3,0.0250687664485425,OCSVM,False,1,0.2,True
pi5,LinearRegression(),0.37841574936834077,pi4,0.43690169537663737,OCSVM,False,1,0.31,True
pi2,SVR(C=100),0.9910563376060694,pi4,0.09890720701704803,OCSVM,True,1,0.85,True
