model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi2,"SVR(C=100, epsilon=0.2)",0.9907097259740199,pi4,0.11426599565084716,MMD,False,1,5.92,True
pi4,"SVR(C=100, epsilon=1)",0.9598843864674802,pi2,0.07461761763591712,MMD,False,1,5.92,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.98665707052817,pi4,0.07287016355467923,MMD,False,1,5.92,True
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9137207143787272,pi2,0.06533502609369057,MMD,False,1,5.92,True
pi2,LinearRegression(),0.986731033787936,pi4,0.07390650890175654,MMD,False,1,5.92,True
pi4,LinearRegression(),0.917330132920552,pi2,0.0649276798638051,MMD,False,1,5.92,True
pi2,SVR(C=100),0.9907136575125574,pi4,0.11130820122919893,MMD,True,1,5.92,True
pi4,"SVR(C=100, epsilon=0.2)",0.9644361312272021,pi2,0.08401139918790856,MMD,True,1,5.92,True
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9866481484144082,pi4,0.07279976585679104,MMD,True,1,5.92,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9166919210685104,pi2,0.06185364327611498,MMD,True,1,5.92,True
pi2,LinearRegression(),0.9867310366343183,pi4,0.07390654504553262,MMD,True,1,5.92,True
pi4,LinearRegression(),0.9173300943223778,pi2,0.06492775969877707,MMD,True,1,5.92,True
pi2,"SVR(C=100, epsilon=0.2)",0.9907097259740199,pi4,0.11426599565084716,OCSVM,False,1,0.9,True
pi4,"SVR(C=100, epsilon=1)",0.9598843864674802,pi2,0.07461761763591712,OCSVM,False,1,0.61,True
pi4,"SVR(C=100, epsilon=1)",0.9598843864674802,pi3,0.42739760328383514,OCSVM,False,1,0.09,True
pi3,"SVR(C=100, epsilon=0.5)",0.9769679093792389,pi4,4.772797511310409,OCSVM,False,1,0.69,True
pi3,"SVR(C=100, epsilon=0.5)",0.9769679093792389,pi5,2.182903711900331,OCSVM,False,1,1.0,True
pi5,"SVR(C=100, epsilon=1)",0.5093044588079914,pi3,1.0537146657046983,OCSVM,False,1,0.18,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.98665707052817,pi4,0.07287016355467923,OCSVM,False,1,0.9,True
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9137207143787272,pi2,0.06533502609369057,OCSVM,False,1,0.61,True
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9137207143787272,pi3,0.09669169102781938,OCSVM,False,1,0.09,True
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9223112912557201,pi4,0.49308748697527915,OCSVM,False,1,0.69,True
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9223112912557201,pi5,1.1211764334394714,OCSVM,False,1,1.0,True
pi5,"SVR(C=0.01, epsilon=1, kernel='linear')",0.24075934780227493,pi3,0.6922615702884851,OCSVM,False,1,0.18,True
pi2,LinearRegression(),0.986731033787936,pi4,0.07390650890175654,OCSVM,False,1,0.9,True
pi4,LinearRegression(),0.917330132920552,pi2,0.0649276798638051,OCSVM,False,1,0.61,True
pi4,LinearRegression(),0.917330132920552,pi3,0.1624114259070396,OCSVM,False,1,0.09,True
pi3,LinearRegression(normalize=True),0.9233356541356583,pi4,0.6089425962056716,OCSVM,False,1,0.69,True
pi3,LinearRegression(normalize=True),0.9233356541356583,pi5,1.1721367728026377,OCSVM,False,1,1.0,True
pi5,LinearRegression(),0.38611865244916965,pi3,0.15552882055963524,OCSVM,False,1,0.18,True
pi2,SVR(C=100),0.9907136575125574,pi4,0.11130820122919893,OCSVM,True,1,0.9,True
pi4,"SVR(C=100, epsilon=0.2)",0.9644361312272021,pi2,0.08401139918790856,OCSVM,True,1,0.61,True
pi4,"SVR(C=100, epsilon=0.2)",0.9644361312272021,pi3,0.31835165205993476,OCSVM,True,1,0.09,True
pi3,SVR(),0.9770972548071549,pi4,3.7760143150289465,OCSVM,True,1,0.69,True
pi3,SVR(),0.9770972548071549,pi5,1.3404668534163235,OCSVM,True,1,1.0,True
pi5,"SVR(C=100, epsilon=0.2)",0.5695098133771503,pi3,0.8811847253001981,OCSVM,True,1,0.18,True
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9866481484144082,pi4,0.07279976585679104,OCSVM,True,1,0.9,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9166919210685104,pi2,0.06185364327611498,OCSVM,True,1,0.61,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9166919210685104,pi3,0.13883682567826294,OCSVM,True,1,0.09,True
pi3,SVR(kernel='linear'),0.9233174557993381,pi4,0.625205422542557,OCSVM,True,1,0.69,True
