model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi2,"SVR(C=100, epsilon=0.5)",0.9903953613698986,pi4,0.10389621805091509,MMD,False,1,5.99,True
pi4,"SVR(C=100, epsilon=1)",0.9586309729318249,pi2,0.05468448366360512,MMD,False,1,5.99,True
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.9864943471170357,pi4,0.06109883271877026,MMD,False,1,5.99,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9254769623213337,pi2,0.048553744778413455,MMD,False,1,5.99,True
pi2,LinearRegression(),0.9866816016375412,pi4,0.0631637427110956,MMD,False,1,5.99,True
pi4,LinearRegression(),0.9288376039193941,pi2,0.05300583932454506,MMD,False,1,5.99,True
pi2,SVR(C=100),0.990414697451951,pi4,0.09617625096391869,MMD,True,1,5.99,True
pi4,"SVR(C=100, epsilon=0.2)",0.9600647372811877,pi2,0.08481724198843221,MMD,True,1,5.99,True
pi2,"SVR(C=100, kernel='linear')",0.9866615105324584,pi4,0.06383734982147093,MMD,True,1,5.99,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9285428794789248,pi2,0.05227110425608994,MMD,True,1,5.99,True
pi2,LinearRegression(),0.9866815993442053,pi4,0.06316371958218892,MMD,True,1,5.99,True
pi4,LinearRegression(),0.9288375969601699,pi2,0.05300583868244024,MMD,True,1,5.99,True
pi2,"SVR(C=100, epsilon=0.5)",0.9903953613698986,pi4,0.10389621805091509,OCSVM,False,1,0.9,True
pi4,"SVR(C=100, epsilon=1)",0.9586309729318249,pi2,0.05468448366360512,OCSVM,False,1,0.67,True
pi4,"SVR(C=100, epsilon=1)",0.9586309729318249,pi3,0.3054065420719023,OCSVM,False,1,0.11,True
pi3,"SVR(C=100, epsilon=0.2)",0.9782341531952402,pi4,3.852689405554545,OCSVM,False,1,0.68,True
pi3,"SVR(C=100, epsilon=0.2)",0.9782341531952402,pi5,1.2122806718318446,OCSVM,False,1,1.0,True
pi5,"SVR(C=100, epsilon=1)",0.48068305573046677,pi3,0.959498400820869,OCSVM,False,1,0.2,True
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.9864943471170357,pi4,0.06109883271877026,OCSVM,False,1,0.9,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9254769623213337,pi2,0.048553744778413455,OCSVM,False,1,0.67,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9254769623213337,pi3,0.09139661327080284,OCSVM,False,1,0.11,True
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9280322932253127,pi4,0.5572550137105794,OCSVM,False,1,0.68,True
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9280322932253127,pi5,1.2086245612148343,OCSVM,False,1,1.0,True
pi5,SVR(kernel='linear'),0.3189084957575775,pi3,0.02277115337643021,OCSVM,False,1,0.2,True
pi2,LinearRegression(),0.9866816016375412,pi4,0.0631637427110956,OCSVM,False,1,0.9,True
pi4,LinearRegression(),0.9288376039193941,pi2,0.05300583932454506,OCSVM,False,1,0.67,True
pi4,LinearRegression(),0.9288376039193941,pi3,0.14253717151364398,OCSVM,False,1,0.11,True
pi3,LinearRegression(),0.928061748160894,pi4,0.5533114387421038,OCSVM,False,1,0.68,True
pi3,LinearRegression(),0.928061748160894,pi5,1.2019683953272522,OCSVM,False,1,1.0,True
pi5,LinearRegression(),0.38598350091453293,pi3,0.06716813324853144,OCSVM,False,1,0.2,True
pi2,SVR(C=100),0.990414697451951,pi4,0.09617625096391869,OCSVM,True,1,0.9,True
pi4,"SVR(C=100, epsilon=0.2)",0.9600647372811877,pi2,0.08481724198843221,OCSVM,True,1,0.67,True
pi4,"SVR(C=100, epsilon=0.2)",0.9600647372811877,pi3,0.26637388513412863,OCSVM,True,1,0.11,True
pi3,SVR(),0.9776661469205596,pi4,3.8226937265696117,OCSVM,True,1,0.68,True
pi3,SVR(),0.9776661469205596,pi5,1.266430795177582,OCSVM,True,1,1.0,True
pi5,"SVR(C=100, epsilon=0.5)",0.5357298336254674,pi3,0.30328461816222874,OCSVM,True,1,0.2,True
pi2,"SVR(C=100, kernel='linear')",0.9866615105324584,pi4,0.06383734982147093,OCSVM,True,1,0.9,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9285428794789248,pi2,0.05227110425608994,OCSVM,True,1,0.67,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9285428794789248,pi3,0.12590969514173045,OCSVM,True,1,0.11,True
pi3,SVR(kernel='linear'),0.92784208259727,pi4,0.5588407250488228,OCSVM,True,1,0.68,True
pi3,SVR(kernel='linear'),0.92784208259727,pi5,1.2179564884450567,OCSVM,True,1,1.0,True
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.3809844046491525,pi3,0.13009485149100086,OCSVM,True,1,0.2,True
pi2,LinearRegression(),0.9866815993442053,pi4,0.06316371958218892,OCSVM,True,1,0.9,True
pi4,LinearRegression(),0.9288375969601699,pi2,0.05300583868244024,OCSVM,True,1,0.67,True
pi4,LinearRegression(),0.9288375969601699,pi3,0.14253680017335923,OCSVM,True,1,0.11,True
pi3,LinearRegression(),0.9280616951026314,pi4,0.5533121190068255,OCSVM,True,1,0.68,True
pi3,LinearRegression(),0.9280616951026314,pi5,1.201968808004883,OCSVM,True,1,1.0,True
pi5,LinearRegression(),0.3859835425381092,pi3,0.06716842369323428,OCSVM,True,1,0.2,True
pi2,"SVR(C=100, epsilon=0.5)",0.9903953613698986,pi4,0.10389621805091509,MMD OCSVM Verify,False,1,0.9,True
pi4,"SVR(C=100, epsilon=1)",0.9586309729318249,pi2,0.05468448366360512,MMD OCSVM Verify,False,1,0.67,True
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.9864943471170357,pi4,0.06109883271877026,MMD OCSVM Verify,False,1,0.9,True
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9254769623213337,pi2,0.048553744778413455,MMD OCSVM Verify,False,1,0.67,True
pi2,LinearRegression(),0.9866816016375412,pi4,0.0631637427110956,MMD OCSVM Verify,False,1,0.9,True
pi4,LinearRegression(),0.9288376039193941,pi2,0.05300583932454506,MMD OCSVM Verify,False,1,0.67,True
pi2,SVR(C=100),0.990414697451951,pi4,0.09617625096391869,MMD OCSVM Verify,True,1,0.9,True
pi4,"SVR(C=100, epsilon=0.2)",0.9600647372811877,pi2,0.08481724198843221,MMD OCSVM Verify,True,1,0.67,True
pi2,"SVR(C=100, kernel='linear')",0.9866615105324584,pi4,0.06383734982147093,MMD OCSVM Verify,True,1,0.9,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9285428794789248,pi2,0.05227110425608994,MMD OCSVM Verify,True,1,0.67,True
pi2,LinearRegression(),0.9866815993442053,pi4,0.06316371958218892,MMD OCSVM Verify,True,1,0.9,True
pi4,LinearRegression(),0.9288375969601699,pi2,0.05300583868244024,MMD OCSVM Verify,True,1,0.67,True
pi2,"SVR(C=100, epsilon=0.5)",0.9903953613698986,pi4,0.10389621805091509,OCSVM,False,1,0.89,False
pi4,"SVR(C=100, epsilon=1)",0.9586309729318249,pi2,0.05468448366360512,OCSVM,False,1,0.64,False
pi4,"SVR(C=100, epsilon=1)",0.9586309729318249,pi3,0.3054065420719023,OCSVM,False,1,0.1,False
pi3,"SVR(C=100, epsilon=0.2)",0.9782341531952402,pi4,3.852689405554545,OCSVM,False,1,0.69,False
pi3,"SVR(C=100, epsilon=0.2)",0.9782341531952402,pi5,1.2122806718318446,OCSVM,False,1,1.0,False
pi5,"SVR(C=100, epsilon=1)",0.48068305573046677,pi3,0.959498400820869,OCSVM,False,1,0.21,False
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.9864943471170357,pi4,0.06109883271877026,OCSVM,False,1,0.89,False
