model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi5,LinearRegression(),0.37353378131599624,pi3,0.03583263748695997,OCSVM,True,1,0.21,False
pi2,"SVR(C=100, epsilon=0.5)",0.99022518985477,pi4,0.12506345255813722,MMD OCSVM Verify,False,1,0.89,False
pi4,"SVR(C=100, epsilon=0.5)",0.9675348680208281,pi2,0.04816837625573833,MMD OCSVM Verify,False,1,0.64,False
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.986899360374418,pi4,0.07043923392049656,MMD OCSVM Verify,False,1,0.89,False
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9114740954298755,pi2,0.06881285362790313,MMD OCSVM Verify,False,1,0.64,False
pi2,LinearRegression(),0.987001221221927,pi4,0.07099191314638142,MMD OCSVM Verify,False,1,0.89,False
pi4,LinearRegression(normalize=True),0.9185023860879251,pi2,0.06580536520767699,MMD OCSVM Verify,False,1,0.64,False
pi2,SVR(C=100),0.9906112074012121,pi4,0.11026705740544906,MMD OCSVM Verify,True,1,0.89,False
pi4,"SVR(C=100, epsilon=0.2)",0.9679400485595873,pi2,0.07037135684516904,MMD OCSVM Verify,True,1,0.64,False
pi2,SVR(kernel='linear'),0.9869927542664191,pi4,0.07092448118019934,MMD OCSVM Verify,True,1,0.89,False
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9177452536808167,pi2,0.0668470006467905,MMD OCSVM Verify,True,1,0.64,False
pi2,LinearRegression(),0.9870012223153213,pi4,0.07099188551746538,MMD OCSVM Verify,True,1,0.89,False
pi4,LinearRegression(normalize=True),0.9185023777564922,pi2,0.0658053778068649,MMD OCSVM Verify,True,1,0.64,False
pi3,"SVR(C=1, epsilon=0.5)",0.4653957559067107,pi5,0.4824332482250354,MMD,False,2,28.05,True
pi5,"SVR(C=10, epsilon=0.2)",0.622349289971919,pi3,0.5980493596829599,MMD,False,2,28.05,True
pi3,SVR(kernel='linear'),0.3350176872639836,pi5,0.08763036225141685,MMD,False,2,28.05,True
pi5,"SVR(C=100, epsilon=0.2, kernel='linear')",0.5450353308739737,pi3,0.3160411919162084,MMD,False,2,28.05,True
pi3,LinearRegression(),0.3783378375482429,pi5,0.6114808439836332,MMD,False,2,28.05,True
pi5,LinearRegression(),0.5490603117041633,pi3,0.36929837822280154,MMD,False,2,28.05,True
pi3,"SVR(C=1, epsilon=0.5)",0.5833340682417991,pi5,8.254370428100154,MMD,True,2,28.05,True
pi5,"SVR(C=100, epsilon=0.01)",0.6304965005397507,pi3,2.76069306235037,MMD,True,2,28.05,True
pi3,"SVR(C=1, epsilon=0.5, kernel='linear')",0.371488380340003,pi5,0.6864930806849617,MMD,True,2,28.05,True
pi5,"SVR(C=0.1, kernel='linear')",0.5471183103752222,pi3,0.3453421461213182,MMD,True,2,28.05,True
pi3,LinearRegression(),0.37833783459847836,pi5,0.6114815632152545,MMD,True,2,28.05,True
pi5,LinearRegression(),0.5490601979921028,pi3,0.36929798287412063,MMD,True,2,28.05,True
pi2,SVR(C=10),0.7687846123293275,pi4,0.5899693188613737,OCSVM,False,2,0.85,True
pi2,SVR(C=10),0.7687846123293275,pi5,26.846885544029153,OCSVM,False,2,0.0,True
pi4,"SVR(C=10, epsilon=1)",0.47165588512209045,pi2,6.8797404836111715,OCSVM,False,2,0.43,True
pi4,"SVR(C=10, epsilon=1)",0.47165588512209045,pi3,7.513189750260113,OCSVM,False,2,0.08,True
pi4,"SVR(C=10, epsilon=1)",0.47165588512209045,pi5,11.50150787538118,OCSVM,False,2,0.08,True
pi5,"SVR(C=10, epsilon=0.2)",0.622349289971919,pi2,18.80549142173968,OCSVM,False,2,0.89,True
pi5,"SVR(C=10, epsilon=0.2)",0.622349289971919,pi3,0.5980493596829599,OCSVM,False,2,1.0,True
pi5,"SVR(C=10, epsilon=0.2)",0.622349289971919,pi4,3.5219145416897026,OCSVM,False,2,0.85,True
pi3,"SVR(C=1, epsilon=0.5)",0.4653957559067107,pi4,4.492838895854162,OCSVM,False,2,0.85,True
pi3,"SVR(C=1, epsilon=0.5)",0.4653957559067107,pi5,0.4824332482250354,OCSVM,False,2,0.53,True
