model_node,model,score,test_node,discrepancy,method,threshold,sample pair calculation,experiment,std
pi2,SVR(C=10),0.99,pi3,0.08,MMD,0.04,True,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi2,0.05,MMD,0.04,True,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi4,0.08,MMD,0.05,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi3,0.05,MMD,0.05,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi3,0.06,MMD,0.04,True,1,True
pi3,SVR(kernel='linear'),0.93,pi2,0.05,MMD,0.04,True,1,True
pi3,SVR(kernel='linear'),0.93,pi4,0.02,MMD,0.05,True,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi3,0.02,MMD,0.05,True,1,True
pi2,SVR(C=10),0.99,pi3,0.08,OCSVM,0.71,True,1,True
pi2,SVR(C=10),0.99,pi4,0.11,OCSVM,0.59,True,1,True
pi2,SVR(C=10),0.99,pi5,0.67,OCSVM,0.05,True,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi2,0.05,OCSVM,0.56,True,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi4,0.08,OCSVM,0.29,True,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi5,0.63,OCSVM,0.02,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi2,0.04,OCSVM,0.85,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi3,0.05,OCSVM,0.91,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi5,0.67,OCSVM,0.22,True,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.52,pi2,0.01,OCSVM,0.81,True,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.52,pi3,0.04,OCSVM,0.84,True,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.52,pi4,0.18,OCSVM,0.9,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi3,0.06,OCSVM,0.71,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi4,0.08,OCSVM,0.59,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi5,0.73,OCSVM,0.05,True,1,True
pi3,SVR(kernel='linear'),0.93,pi2,0.05,OCSVM,0.56,True,1,True
pi3,SVR(kernel='linear'),0.93,pi4,0.02,OCSVM,0.29,True,1,True
pi3,SVR(kernel='linear'),0.93,pi5,0.63,OCSVM,0.02,True,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi2,0.07,OCSVM,0.85,True,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi3,0.02,OCSVM,0.91,True,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi5,0.61,OCSVM,0.22,True,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.41,pi2,0.48,OCSVM,0.81,True,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.41,pi3,0.44,OCSVM,0.84,True,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.41,pi4,0.41,OCSVM,0.9,True,1,True
pi2,SVR(C=10),0.99,pi3,0.08,MMD OCSVM Verify,0.71,True,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi2,0.05,MMD OCSVM Verify,0.56,True,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi4,0.08,MMD OCSVM Verify,0.29,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi3,0.05,MMD OCSVM Verify,0.91,True,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi3,0.06,MMD OCSVM Verify,0.71,True,1,True
pi3,SVR(kernel='linear'),0.93,pi2,0.05,MMD OCSVM Verify,0.56,True,1,True
pi3,SVR(kernel='linear'),0.93,pi4,0.02,MMD OCSVM Verify,0.29,True,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi3,0.02,MMD OCSVM Verify,0.91,True,1,True
pi2,SVR(C=10),0.99,pi3,0.08,OCSVM,0.42,False,1,True
pi2,SVR(C=10),0.99,pi4,0.11,OCSVM,0.75,False,1,True
pi2,SVR(C=10),0.99,pi5,0.67,OCSVM,0.06,False,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi2,0.05,OCSVM,0.63,False,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi4,0.08,OCSVM,0.67,False,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi5,0.63,OCSVM,0.07,False,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi2,0.04,OCSVM,0.9,False,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi3,0.05,OCSVM,0.98,False,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.96,pi5,0.67,OCSVM,0.29,False,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.52,pi2,0.01,OCSVM,0.85,False,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.52,pi3,0.04,OCSVM,0.89,False,1,True
pi5,"SVR(C=100, epsilon=0.5)",0.52,pi4,0.18,OCSVM,0.93,False,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi3,0.06,OCSVM,0.42,False,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi4,0.08,OCSVM,0.75,False,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi5,0.73,OCSVM,0.06,False,1,True
pi3,SVR(kernel='linear'),0.93,pi2,0.05,OCSVM,0.63,False,1,True
pi3,SVR(kernel='linear'),0.93,pi4,0.02,OCSVM,0.67,False,1,True
pi3,SVR(kernel='linear'),0.93,pi5,0.63,OCSVM,0.07,False,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi2,0.07,OCSVM,0.9,False,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi3,0.02,OCSVM,0.98,False,1,True
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.91,pi5,0.61,OCSVM,0.29,False,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.41,pi2,0.48,OCSVM,0.85,False,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.41,pi3,0.44,OCSVM,0.89,False,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.41,pi4,0.41,OCSVM,0.93,False,1,True
pi2,SVR(C=10),0.99,pi3,0.08,MMD OCSVM Verify,0.42,False,1,True
pi3,"SVR(C=100, epsilon=0.2)",0.98,pi2,0.05,MMD OCSVM Verify,0.63,False,1,True
