model_node,model,score,test_node,discrepancy,method,threshold,sample pair calculation,experiment,std
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.92,pi3,0.0,OCSVM,0.98,False,1,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.92,pi5,0.6,OCSVM,0.29,False,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.42,pi2,0.47,OCSVM,0.85,False,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.42,pi3,0.42,OCSVM,0.89,False,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.42,pi4,0.42,OCSVM,0.93,False,1,True
pi2,SVR(C=100),0.99,pi3,0.08,MMD OCSVM Verify,0.42,False,1,True
pi3,"SVR(C=10, epsilon=0.2)",0.98,pi2,0.04,MMD OCSVM Verify,0.63,False,1,True
pi3,"SVR(C=10, epsilon=0.2)",0.98,pi4,0.08,MMD OCSVM Verify,0.67,False,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi3,0.06,MMD OCSVM Verify,0.98,False,1,True
pi2,"SVR(C=0.1, kernel='linear')",0.99,pi3,0.06,MMD OCSVM Verify,0.42,False,1,True
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.93,pi2,0.06,MMD OCSVM Verify,0.63,False,1,True
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.93,pi4,0.0,MMD OCSVM Verify,0.67,False,1,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.92,pi3,0.0,MMD OCSVM Verify,0.98,False,1,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi3,0.07,MMD,0.03,True,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi2,1.5,MMD,0.03,True,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi5,3.1,MMD,0.03,True,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi3,0.02,MMD,0.03,True,2,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi3,0.2,MMD,0.03,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi2,0.27,MMD,0.03,True,2,True
pi3,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.54,pi5,0.32,MMD,0.03,True,2,True
pi5,"SVR(C=1, epsilon=0, kernel='linear')",0.24,pi3,0.28,MMD,0.03,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi3,0.07,OCSVM,0.27,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi4,0.67,OCSVM,0.2,True,2,True
pi2,"SVR(C=1, epsilon=0.5)",0.34,pi5,0.37,OCSVM,0.39,True,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi2,1.5,OCSVM,0.74,True,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi4,1.47,OCSVM,0.4,True,2,True
pi3,"SVR(C=100, epsilon=0.5)",0.66,pi5,3.1,OCSVM,0.76,True,2,True
pi4,"SVR(C=100, epsilon=0.5)",0.39,pi2,1.31,OCSVM,0.63,True,2,True
pi4,"SVR(C=100, epsilon=0.5)",0.39,pi3,1.15,OCSVM,0.62,True,2,True
pi4,"SVR(C=100, epsilon=0.5)",0.39,pi5,0.84,OCSVM,0.77,True,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi2,0.3,OCSVM,0.76,True,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi3,0.02,OCSVM,0.72,True,2,True
pi5,"SVR(C=10, epsilon=0.5)",0.35,pi4,0.93,OCSVM,0.34,True,2,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi3,0.2,OCSVM,0.27,True,2,True
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.29,pi4,0.49,OCSVM,0.2,True,2,True
