model_node,model,score,test_node,discrepancy,method,threshold,sample pair calculation,experiment,std
pi2,SVR(C=10),0.99,pi3,0.08,MMD,0.04,True,1,True
pi3,"SVR(C=100, epsilon=0.01)",0.98,pi2,0.06,MMD,0.04,True,1,True
pi3,"SVR(C=100, epsilon=0.01)",0.98,pi4,0.07,MMD,0.03,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi3,0.06,MMD,0.03,True,1,True
pi2,SVR(kernel='linear'),0.99,pi3,0.06,MMD,0.04,True,1,True
pi3,"SVR(C=1, epsilon=0.2, kernel='linear')",0.92,pi2,0.06,MMD,0.04,True,1,True
pi3,"SVR(C=1, epsilon=0.2, kernel='linear')",0.92,pi4,0.0,MMD,0.03,True,1,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.92,pi3,0.0,MMD,0.03,True,1,True
pi2,SVR(C=10),0.99,pi3,0.08,OCSVM,0.69,True,1,True
pi2,SVR(C=10),0.99,pi4,0.09,OCSVM,0.63,True,1,True
pi2,SVR(C=10),0.99,pi5,0.71,OCSVM,0.05,True,1,True
pi3,"SVR(C=100, epsilon=0.01)",0.98,pi2,0.06,OCSVM,0.55,True,1,True
pi3,"SVR(C=100, epsilon=0.01)",0.98,pi4,0.07,OCSVM,0.33,True,1,True
pi3,"SVR(C=100, epsilon=0.01)",0.98,pi5,0.89,OCSVM,0.03,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi2,0.03,OCSVM,0.84,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi3,0.06,OCSVM,0.92,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi5,0.67,OCSVM,0.23,True,1,True
pi5,"SVR(C=10, epsilon=0.5)",0.52,pi2,0.11,OCSVM,0.81,True,1,True
pi5,"SVR(C=10, epsilon=0.5)",0.52,pi3,0.02,OCSVM,0.86,True,1,True
pi5,"SVR(C=10, epsilon=0.5)",0.52,pi4,0.2,OCSVM,0.92,True,1,True
pi2,SVR(kernel='linear'),0.99,pi3,0.06,OCSVM,0.69,True,1,True
pi2,SVR(kernel='linear'),0.99,pi4,0.07,OCSVM,0.63,True,1,True
pi2,SVR(kernel='linear'),0.99,pi5,0.75,OCSVM,0.05,True,1,True
pi3,"SVR(C=1, epsilon=0.2, kernel='linear')",0.92,pi2,0.06,OCSVM,0.55,True,1,True
pi3,"SVR(C=1, epsilon=0.2, kernel='linear')",0.92,pi4,0.0,OCSVM,0.33,True,1,True
pi3,"SVR(C=1, epsilon=0.2, kernel='linear')",0.92,pi5,0.68,OCSVM,0.03,True,1,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.92,pi2,0.06,OCSVM,0.84,True,1,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.92,pi3,0.0,OCSVM,0.92,True,1,True
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.92,pi5,0.67,OCSVM,0.23,True,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.39,pi2,0.48,OCSVM,0.81,True,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.39,pi3,0.43,OCSVM,0.86,True,1,True
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.39,pi4,0.42,OCSVM,0.92,True,1,True
pi2,SVR(C=10),0.99,pi3,0.08,MMD OCSVM Verify,0.69,True,1,True
pi3,"SVR(C=100, epsilon=0.01)",0.98,pi2,0.06,MMD OCSVM Verify,0.55,True,1,True
pi3,"SVR(C=100, epsilon=0.01)",0.98,pi4,0.07,MMD OCSVM Verify,0.33,True,1,True
pi4,"SVR(C=100, epsilon=0.2)",0.97,pi3,0.06,MMD OCSVM Verify,0.92,True,1,True
pi2,SVR(kernel='linear'),0.99,pi3,0.06,MMD OCSVM Verify,0.69,True,1,True
