model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.19,3.81,pi4,0.11,0.8786571786866776,0.9539014458669255,0.15,0.65,rbf,1,False,0.1404162347316742
pi4,"SVR(C=10, epsilon=1)",0.95,0.09,4.31,pi2,0.03,0.9257920823391882,0.9905132610961389,0.15,0.89,rbf,1,False,0.1404162347316742
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.99,1.31,25.04,pi4,0.08,0.9034861619545022,0.9038460195380577,0.15,0.65,linear,1,False,0.1404162347316742
pi4,"SVR(C=1, epsilon=2, kernel='linear')",0.9,0.12,36.87,pi2,0.07,0.9766752928769505,0.9873698250164412,0.15,0.89,linear,1,False,0.1404162347316742
pi2,"SVR(C=10, epsilon=5)",0.33,0.02,2.88,pi4,0.43,-0.10299271136464894,0.608000628193328,0.23,0.32,rbf,2,False,0.23430687189102173
pi4,"SVR(C=10, epsilon=1)",0.61,0.07,3.09,pi2,0.95,-0.3444173854935557,0.33029375166845854,0.23,0.79,rbf,2,False,0.23430687189102173
pi3,"SVR(C=10, epsilon=2)",0.61,0.05,3.43,pi5,1.18,-0.5724942437927445,0.7378653564479294,0.23,1.0,rbf,2,False,0.23430687189102173
pi5,SVR(C=10),0.74,0.11,1.9,pi3,1.01,-0.2694665502956668,0.6060795641158707,0.23,0.41,rbf,2,False,0.23430687189102173
pi2,"SVR(C=0.1, epsilon=2, kernel='linear')",0.2,0.02,4.38,pi4,0.71,-0.5100797848150405,0.08877516232207061,0.23,0.32,linear,2,False,0.23430687189102173
pi4,"SVR(C=1, epsilon=2, kernel='linear')",0.09,0.07,3.95,pi2,0.08,0.16489463014835193,0.1984456102080412,0.23,0.79,linear,2,False,0.23430687189102173
pi3,SVR(kernel='linear'),0.47,0.09,4.6,pi5,0.04,0.42925844394692303,0.6244906847624443,0.23,1.0,linear,2,False,0.23430687189102173
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.62,0.03,3.83,pi3,0.27,0.3518998184809331,0.46564204230898176,0.23,0.41,linear,2,False,0.23430687189102173
pi2,SVR(),0.94,0.03,0.99,pi4,2.61,-1.6650546797134993,0.9871924992934221,0.32,0.3,rbf,3,False,0.33424636721611023
pi4,SVR(C=10),0.99,0.05,1.2,pi2,0.88,0.1029747424395826,0.9413807900532574,0.32,0.46,rbf,3,False,0.33424636721611023
pi2,SVR(kernel='linear'),0.94,0.03,1.08,pi4,0.11,0.831152713746478,0.9842409622529861,0.32,0.3,linear,3,False,0.33424636721611023
pi4,SVR(kernel='linear'),0.98,0.07,3.1,pi2,0.08,0.9066853332608953,0.9403366327689378,0.32,0.46,linear,3,False,0.33424636721611023
