model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.06,1.56,pi4,0.13,0.8570971062490638,0.9572992543406565,0.12,0.68,rbf,1,False,0.12703096866607666
pi4,"SVR(C=10, epsilon=1)",0.96,0.03,2.04,pi2,0.03,0.92233223594511,0.9894259728973374,0.12,0.89,rbf,1,False,0.12703096866607666
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.03,11.48,pi4,0.07,0.915916668533515,0.9189959210658017,0.12,0.68,linear,1,False,0.12703096866607666
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.92,0.03,10.57,pi2,0.06,0.9798963338107989,0.9861391606156434,0.12,0.89,linear,1,False,0.12703096866607666
pi2,"SVR(C=10, epsilon=0.5)",0.24,0.05,2.17,pi4,0.08,0.16244703928445614,0.5050012842381899,0.22,0.31,rbf,2,False,0.2220975160598755
pi4,"SVR(C=1, epsilon=1)",0.51,0.04,2.02,pi2,1.1,-0.5964537047403771,0.24055983520313595,0.22,0.79,rbf,2,False,0.2220975160598755
pi3,"SVR(C=1, epsilon=2)",0.55,0.01,1.85,pi5,1.71,-1.156300753230017,0.8863064832086184,0.22,1.0,rbf,2,False,0.2220975160598755
pi5,SVR(C=10),0.89,0.05,1.1,pi3,0.89,-0.0012744413298102497,0.5502310812813854,0.22,0.56,rbf,2,False,0.2220975160598755
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.22,0.04,3.22,pi4,0.35,-0.1264407466354549,-0.0020657557381111857,0.22,0.31,linear,2,False,0.2220975160598755
pi4,"SVR(C=0.1, epsilon=5, kernel='linear')",-0.0,0.01,2.44,pi2,0.29,-0.29380848741472443,0.22010169373024757,0.22,0.79,linear,2,False,0.2220975160598755
pi3,"SVR(C=0.01, epsilon=2, kernel='linear')",0.4,0.01,4.19,pi5,0.22,0.619639925698467,0.7895141448339724,0.22,1.0,linear,2,False,0.2220975160598755
pi5,"SVR(C=1, epsilon=0.5, kernel='linear')",0.79,0.03,2.72,pi3,0.57,0.21463804454246327,0.40056354928585236,0.22,0.56,linear,2,False,0.2220975160598755
pi2,SVR(),0.93,0.03,0.59,pi4,2.53,-1.6006543518832057,0.98494538495318,0.34,0.31,rbf,3,False,0.34521856904029846
pi4,"SVR(C=10, epsilon=0.5)",0.98,0.01,0.67,pi2,1.16,-0.17700062082977186,0.9330951935074495,0.34,0.41,rbf,3,False,0.34521856904029846
pi2,SVR(kernel='linear'),0.93,0.02,1.0,pi4,0.05,0.8861563258972242,0.9817339435037407,0.34,0.31,linear,3,False,0.34521856904029846
pi4,SVR(kernel='linear'),0.98,0.12,2.06,pi2,0.07,0.9133534128089118,0.9334539573982537,0.34,0.41,linear,3,False,0.34521856904029846
