model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.2,3.98,pi4,0.06,0.9331474374194797,0.9656008351035387,0.12,0.66,rbf,1,False,0.11258138716220856
pi4,"SVR(C=10, epsilon=0.5)",0.97,0.12,3.48,pi2,0.02,0.9423950014398804,0.9917638460306542,0.12,0.93,rbf,1,False,0.11258138716220856
pi2,SVR(kernel='linear'),0.99,0.54,27.86,pi4,0.05,0.9439175193553092,0.9508699131106378,0.12,0.66,linear,1,False,0.11258138716220856
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.95,0.03,19.99,pi2,0.02,0.9739446332973828,0.9892723453524449,0.12,0.93,linear,1,False,0.11258138716220856
pi2,"SVR(C=10, epsilon=5)",0.33,0.02,3.0,pi4,0.51,-0.17983903311979654,0.619145333048888,0.22,0.29,rbf,2,False,0.2265038788318634
pi4,"SVR(C=10, epsilon=1)",0.62,0.06,3.27,pi2,1.07,-0.44777906841944315,0.32930049626236546,0.22,0.79,rbf,2,False,0.2265038788318634
pi2,"SVR(C=0.1, epsilon=2, kernel='linear')",0.21,0.02,5.49,pi4,0.71,-0.49527545669362527,0.0871686534048085,0.22,0.29,linear,2,False,0.2265038788318634
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.09,0.04,4.39,pi2,0.09,0.18025863990942237,0.2118110904912721,0.22,0.79,linear,2,False,0.2265038788318634
pi2,SVR(C=10),0.94,0.05,1.1,pi4,2.67,-1.7254745590564524,0.9858536746549065,0.29,0.35,rbf,3,False,0.2910776734352112
pi4,SVR(C=10),0.99,0.05,1.25,pi2,0.57,0.41273434227470784,0.9406963497519087,0.29,0.46,rbf,3,False,0.2910776734352112
pi2,"SVR(C=10, kernel='linear')",0.94,0.12,1.34,pi4,0.09,0.851127143722895,0.9838418816370414,0.29,0.35,linear,3,False,0.2910776734352112
pi4,SVR(kernel='linear'),0.98,0.07,2.91,pi2,0.08,0.9088330163270018,0.9408877940970205,0.29,0.46,linear,3,False,0.2910776734352112
