model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.1,4.34,pi4,0.11,0.8766726680718883,0.9604360329663644,0.13,0.64,rbf,1,False,0.12541262805461884
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.13,4.53,pi2,0.04,0.9253596427419941,0.9897100852454027,0.13,0.9,rbf,1,False,0.12541262805461884
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.1,27.79,pi4,0.08,0.9100162067532203,0.9079277890708745,0.13,0.64,linear,1,False,0.12541262805461884
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.91,0.5,29.9,pi2,0.06,0.9694774963807624,0.9865934299757412,0.13,0.9,linear,1,False,0.12541262805461884
pi3,"SVR(C=1, epsilon=2)",0.48,0.02,2.58,pi5,0.69,-0.20813000298069095,0.8887616907570839,0.19,1.0,rbf,2,False,0.18744003772735596
pi5,SVR(C=10),0.89,0.12,1.91,pi3,1.08,-0.18699380984143343,0.4830739260126372,0.19,0.38,rbf,2,False,0.18744003772735596
pi3,"SVR(C=0.01, epsilon=2, kernel='linear')",0.36,0.01,6.58,pi5,0.17,0.5337814226578812,0.7572128938671591,0.19,1.0,linear,2,False,0.18744003772735596
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.76,0.04,4.43,pi3,0.64,0.12046924950523896,0.3635335821145679,0.19,0.38,linear,2,False,0.18744003772735596
pi2,SVR(C=10),0.95,0.03,1.06,pi4,2.91,-1.9588490583349825,0.9892238060628794,0.29,0.35,rbf,3,False,0.2946186065673828
pi4,SVR(C=10),0.99,0.04,1.16,pi2,0.44,0.5492264309945549,0.9464590627964643,0.29,0.46,rbf,3,False,0.2946186065673828
pi2,"SVR(C=0.1, kernel='linear')",0.95,0.02,1.23,pi4,0.03,0.9173912102814361,0.9864583293740222,0.29,0.35,linear,3,False,0.2946186065673828
pi4,SVR(kernel='linear'),0.99,0.05,3.04,pi2,0.06,0.9234990128804442,0.946677940145739,0.29,0.46,linear,3,False,0.2946186065673828
