model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.07,1.52,pi4,0.08,0.9103424772328792,0.9631897804093553,0.15,0.62,rbf,1,False,0.14884820580482483
pi4,SVR(C=10),0.96,0.09,1.62,pi2,0.01,0.9488634889937209,0.9909226898089148,0.15,0.85,rbf,1,False,0.14884820580482483
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.99,0.69,7.96,pi4,0.05,0.9331542794940976,0.9334459289118238,0.15,0.62,linear,1,False,0.14884820580482483
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.93,0.06,10.99,pi2,0.05,0.9795926128501923,0.988127837861196,0.15,0.85,linear,1,False,0.14884820580482483
pi2,"SVR(C=10, epsilon=5)",0.34,0.01,1.27,pi4,0.46,-0.11906441431358572,0.5112941310343707,0.21,0.33,rbf,2,False,0.22461387515068054
pi4,"SVR(C=1, epsilon=1)",0.51,0.04,1.87,pi2,0.88,-0.3669036839580888,0.3361884017215431,0.21,0.69,rbf,2,False,0.22461387515068054
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.18,0.01,2.51,pi4,0.23,-0.05146247343794896,0.08530540224435668,0.21,0.33,linear,2,False,0.22461387515068054
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.09,0.09,2.32,pi2,0.09,0.17416340284240373,0.18167458082855814,0.21,0.69,linear,2,False,0.22461387515068054
pi2,SVR(C=10),0.94,0.02,0.5,pi4,2.48,-1.5383103301316394,0.9890087837685437,0.34,0.3,rbf,3,False,0.33450549840927124
pi4,SVR(C=10),0.99,0.02,0.57,pi2,1.0,-0.009484935677197326,0.9387648724462196,0.34,0.44,rbf,3,False,0.33450549840927124
pi2,"SVR(C=0.01, kernel='linear')",0.94,0.01,0.59,pi4,0.01,0.9327933084131962,0.9857999007897649,0.34,0.3,linear,3,False,0.33450549840927124
pi4,SVR(kernel='linear'),0.99,0.03,1.48,pi2,0.08,0.9055374735205898,0.9388504969733048,0.34,0.44,linear,3,False,0.33450549840927124
