model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.1,3.75,pi4,0.1,0.8857486936345467,0.9556853578917964,0.12,0.7,rbf,1,False,0.12066486477851868
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.12,4.16,pi2,0.02,0.9344700066160575,0.9903094682739723,0.12,0.89,rbf,1,False,0.12066486477851868
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.99,0.07,25.37,pi4,0.07,0.9165164965234994,0.9172499529995167,0.12,0.7,linear,1,False,0.12066486477851868
pi4,"SVR(C=10, epsilon=1, kernel='linear')",0.92,0.49,31.4,pi2,0.06,0.9797997761904079,0.9879524163038816,0.12,0.89,linear,1,False,0.12066486477851868
pi2,"SVR(C=10, epsilon=2)",0.3,0.03,3.19,pi4,0.13,0.1658077953074314,0.5773446668104505,0.23,0.29,rbf,2,False,0.24909695982933044
pi4,"SVR(C=1, epsilon=1)",0.58,0.07,3.05,pi2,1.03,-0.45154177310901766,0.29751927604535866,0.23,0.78,rbf,2,False,0.24909695982933044
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.19,0.02,5.16,pi4,0.29,-0.09821906292069227,0.08725005529984231,0.23,0.29,linear,2,False,0.24909695982933044
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.09,0.06,4.58,pi2,0.1,0.18382885253749104,0.19422988896029414,0.23,0.78,linear,2,False,0.24909695982933044
pi2,SVR(),0.94,0.04,1.04,pi4,2.44,-1.4968220918613309,0.9867027619310075,0.34,0.31,rbf,3,False,0.3350631594657898
pi4,SVR(C=10),0.99,0.04,1.13,pi2,0.7,0.2824311878325362,0.9427264272195057,0.34,0.43,rbf,3,False,0.3350631594657898
pi2,"SVR(C=0.01, kernel='linear')",0.94,0.02,1.19,pi4,0.1,0.8418558709835636,0.9837489144410239,0.34,0.31,linear,3,False,0.3350631594657898
pi4,SVR(kernel='linear'),0.98,0.1,3.39,pi2,0.08,0.90658303753521,0.9382425718062228,0.34,0.43,linear,3,False,0.3350631594657898
