model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.12,3.92,pi4,0.1,0.8895417028258008,0.9598214131540629,0.13,0.66,rbf,1,False,0.13541416823863983
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.13,4.49,pi2,0.02,0.9349465919880634,0.9912114166930114,0.13,0.85,rbf,1,False,0.13541416823863983
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.1,27.15,pi4,0.07,0.922277004924418,0.922059061255806,0.13,0.66,linear,1,False,0.13541416823863983
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.92,0.15,30.82,pi2,0.06,0.9845178802987136,0.9881768537412876,0.13,0.85,linear,1,False,0.13541416823863983
pi2,SVR(),0.79,0.15,2.72,pi4,0.5,0.2931290306042744,0.5360663062221677,0.23,0.26,rbf,2,False,0.2483777403831482
pi4,"SVR(C=1, epsilon=1)",0.54,0.07,3.54,pi2,6.42,-5.8850499937217835,0.7885030520008925,0.23,0.83,rbf,2,False,0.2483777403831482
pi3,SVR(),0.67,0.14,3.34,pi5,0.13,0.5479820664794828,0.8855061855566664,0.26,1.0,rbf,2,False,0.2483777403831482
pi5,SVR(C=10),0.89,0.12,1.99,pi3,1.13,-0.24221828755460284,0.6741804204227042,0.26,0.26,rbf,2,False,0.2483777403831482
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.75,0.08,5.28,pi4,0.82,-0.062297689179452,-0.0006607456009244395,0.23,0.26,linear,2,False,0.2483777403831482
pi4,"SVR(C=10, epsilon=5, kernel='linear')",-0.0,0.05,4.12,pi2,0.65,-0.6503002472767174,0.7542523196134681,0.23,0.83,linear,2,False,0.2483777403831482
pi3,"SVR(C=0.01, epsilon=2, kernel='linear')",0.57,0.02,5.75,pi5,0.17,0.7366505424976051,0.78314645199978,0.26,1.0,linear,2,False,0.2483777403831482
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.78,0.14,4.89,pi3,0.32,0.4640753889581022,0.5715506866750895,0.26,0.26,linear,2,False,0.2483777403831482
pi2,SVR(),0.93,0.05,1.02,pi4,2.58,-1.651456778201363,0.9881522713659471,0.33,0.3,rbf,3,False,0.3226223587989807
pi4,"SVR(C=10, epsilon=0.5)",0.99,0.03,1.33,pi2,0.15,0.8357131639510975,0.9310086779226032,0.33,0.45,rbf,3,False,0.3226223587989807
pi2,"SVR(C=0.01, kernel='linear')",0.93,0.02,1.22,pi4,0.0,0.9314495758083285,0.9862604436743583,0.33,0.3,linear,3,False,0.3226223587989807
pi4,SVR(kernel='linear'),0.99,0.17,4.7,pi2,0.09,0.8973361103453097,0.9304246293085081,0.33,0.45,linear,3,False,0.3226223587989807
