model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.21,3.55,pi4,0.09,0.8990139287986642,0.9515149322378682,0.16,0.58,rbf,1,False,0.1561502069234848
pi4,"SVR(C=10, epsilon=1)",0.95,0.1,4.49,pi2,0.04,0.9120195663083337,0.990547924572516,0.16,0.89,rbf,1,False,0.1561502069234848
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.99,0.05,25.86,pi4,0.07,0.9158409302536576,0.9129825808595716,0.16,0.58,linear,1,False,0.1561502069234848
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.91,0.07,31.82,pi2,0.07,0.9857379106303734,0.9883922483527328,0.16,0.89,linear,1,False,0.1561502069234848
pi2,"SVR(C=10, epsilon=5)",0.33,0.02,2.84,pi4,0.49,-0.16119682876287933,0.573711065332417,0.2,0.5,rbf,2,False,0.22299087047576904
pi4,"SVR(C=10, epsilon=1)",0.57,0.07,3.08,pi2,1.08,-0.5067239839211639,0.3257995513944565,0.2,0.79,rbf,2,False,0.22299087047576904
pi2,"SVR(C=10, epsilon=2, kernel='linear')",0.23,0.11,5.25,pi4,0.63,-0.40154911757540135,0.16252867727823062,0.2,0.5,linear,2,False,0.22299087047576904
pi4,"SVR(C=0.01, epsilon=5, kernel='linear')",0.16,0.01,5.14,pi2,0.0,0.1596965184223138,0.22732904284566657,0.2,0.79,linear,2,False,0.22299087047576904
pi2,SVR(C=10),0.94,0.04,1.03,pi4,2.74,-1.8017158361033685,0.9868465511741084,0.33,0.27,rbf,3,False,0.3302748203277588
pi4,"SVR(C=10, epsilon=0.5)",0.99,0.03,1.14,pi2,1.38,-0.39629179991264873,0.9381480983618187,0.33,0.42,rbf,3,False,0.3302748203277588
pi2,SVR(kernel='linear'),0.94,0.04,1.25,pi4,0.05,0.8921241820559741,0.9853472973185923,0.33,0.27,linear,3,False,0.3302748203277588
pi4,SVR(kernel='linear'),0.99,0.04,2.51,pi2,0.08,0.9054515744946525,0.9407909519165456,0.33,0.42,linear,3,False,0.3302748203277588
