model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.21,3.86,pi4,0.1,0.8908691978078538,0.9632637355496394,0.13,0.63,rbf,1,False,0.13304805755615234
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.13,4.68,pi2,0.03,0.9365978380890517,0.9908786988827363,0.13,0.92,rbf,1,False,0.13304805755615234
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.99,0.07,32.22,pi4,0.07,0.921439945068779,0.9208476326134453,0.13,0.63,linear,1,False,0.13304805755615234
pi4,"SVR(C=10, epsilon=1, kernel='linear')",0.92,0.6,43.66,pi2,0.06,0.9811871697613447,0.9875975767903018,0.13,0.92,linear,1,False,0.13304805755615234
pi2,"SVR(C=10, epsilon=5)",0.31,0.02,2.9,pi4,0.47,-0.1622497036594912,0.5935811230063716,0.22,0.36,rbf,2,False,0.2480250895023346
pi4,"SVR(C=10, epsilon=1)",0.59,0.07,4.1,pi2,0.98,-0.38341024571027504,0.3115973587885712,0.22,0.77,rbf,2,False,0.2480250895023346
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.2,0.02,5.53,pi4,0.23,-0.023682193558671516,0.18771532692068882,0.22,0.36,linear,2,False,0.2480250895023346
pi4,"SVR(C=0.01, epsilon=5, kernel='linear')",0.19,0.01,4.06,pi2,0.05,0.13999108471629018,0.20485595782591348,0.22,0.77,linear,2,False,0.2480250895023346
pi2,SVR(C=10),0.94,0.04,1.2,pi4,2.36,-1.4239710233201919,0.9883468979275721,0.35,0.31,rbf,3,False,0.3505192995071411
pi4,SVR(C=10),0.99,0.04,1.22,pi2,1.0,-0.015840892949771312,0.9388800781343041,0.35,0.41,rbf,3,False,0.3505192995071411
pi2,"SVR(C=0.01, kernel='linear')",0.94,0.02,1.27,pi4,0.0,0.9332725428714416,0.985262138970535,0.35,0.31,linear,3,False,0.3505192995071411
pi4,"SVR(C=10, kernel='linear')",0.99,0.5,4.7,pi2,0.08,0.906029772155355,0.9370252755563223,0.35,0.41,linear,3,False,0.3505192995071411
