model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.2,3.68,pi4,0.1,0.8881002107148298,0.9571158882765607,0.16,0.56,rbf,1,False,0.16060227155685425
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.13,5.61,pi2,0.02,0.9386247058049924,0.9922041822605299,0.16,0.89,rbf,1,False,0.16060227155685425
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.09,26.55,pi4,0.07,0.9167644435619386,0.9145114420168712,0.16,0.56,linear,1,False,0.16060227155685425
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.91,0.2,38.49,pi2,0.07,0.982991220131389,0.9896414343261823,0.16,0.89,linear,1,False,0.16060227155685425
pi2,"SVR(C=10, epsilon=5)",0.33,0.02,3.14,pi4,0.48,-0.15368256225424237,0.49460339238167306,0.22,0.38,rbf,2,False,0.21718773245811462
pi4,"SVR(C=10, epsilon=1)",0.49,0.07,3.49,pi2,0.66,-0.16115059029209022,0.3295026643630725,0.22,0.69,rbf,2,False,0.21718773245811462
pi3,SVR(),0.58,0.11,2.53,pi5,0.18,0.4033974105714241,0.8886728058289736,0.21,1.0,rbf,2,False,0.21718773245811462
pi5,SVR(),0.89,0.07,1.86,pi3,1.38,-0.4890887189804325,0.5848679885332467,0.21,0.23,rbf,2,False,0.21718773245811462
pi2,"SVR(C=0.01, epsilon=2, kernel='linear')",0.19,0.01,4.93,pi4,0.6,-0.412180759240945,0.10180418245586242,0.22,0.38,linear,2,False,0.21718773245811462
pi4,"SVR(C=0.1, epsilon=5, kernel='linear')",0.1,0.01,4.03,pi2,0.06,0.15918014157420057,0.1872088175270823,0.22,0.69,linear,2,False,0.21718773245811462
pi3,"SVR(C=10, epsilon=1, kernel='linear')",0.55,0.14,5.49,pi5,0.08,0.6299653246483728,0.7981678795092082,0.21,1.0,linear,2,False,0.21718773245811462
pi5,"SVR(C=0.01, epsilon=1, kernel='linear')",0.8,0.01,5.18,pi3,0.77,0.03095781512961493,0.5531018692639713,0.21,0.23,linear,2,False,0.21718773245811462
pi2,SVR(),0.94,0.04,1.14,pi4,2.22,-1.2803011216904387,0.9873607297529639,0.32,0.34,rbf,3,False,0.3113916516304016
pi4,SVR(C=10),0.99,0.04,1.27,pi2,0.22,0.7691710652252477,0.9381460385250643,0.32,0.46,rbf,3,False,0.3113916516304016
pi2,"SVR(C=0.01, kernel='linear')",0.94,0.02,1.59,pi4,0.0,0.9380387748597082,0.9858929089819692,0.32,0.34,linear,3,False,0.3113916516304016
pi4,"SVR(C=10, kernel='linear')",0.99,0.18,2.61,pi2,0.08,0.9060003637183827,0.938474971373052,0.32,0.46,linear,3,False,0.3113916516304016
