model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.11,3.67,pi4,0.11,0.8814262125156459,0.9556740889623654,0.16,0.65,rbf,1,False,0.15687063336372375
pi4,"SVR(C=10, epsilon=1)",0.96,0.11,4.77,pi2,0.03,0.9289993340222903,0.9914487626330187,0.16,0.88,rbf,1,False,0.15687063336372375
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.09,24.12,pi4,0.07,0.9142629421527249,0.9158118058851303,0.16,0.65,linear,1,False,0.15687063336372375
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.92,0.07,39.65,pi2,0.07,0.9833543158664737,0.9888099482838317,0.16,0.88,linear,1,False,0.15687063336372375
pi3,"SVR(C=10, epsilon=2)",0.48,0.03,2.67,pi5,0.96,-0.48589526047092946,0.8459434908662078,0.19,1.0,rbf,2,False,0.190698504447937
pi5,SVR(),0.85,0.09,2.07,pi3,0.95,-0.10294355333537597,0.4775492404792401,0.19,0.42,rbf,2,False,0.190698504447937
pi3,"SVR(C=0.1, epsilon=2, kernel='linear')",0.38,0.02,6.2,pi5,0.14,0.5142314291866374,0.7324450365107555,0.19,1.0,linear,2,False,0.190698504447937
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.73,0.04,4.14,pi3,0.57,0.16103211210058954,0.3761223548146967,0.19,0.42,linear,2,False,0.190698504447937
pi2,SVR(C=10),0.94,0.03,1.06,pi4,2.62,-1.6794053444194565,0.9869987437923462,0.33,0.34,rbf,3,False,0.33164751529693604
pi4,"SVR(C=10, epsilon=1)",0.99,0.01,1.16,pi2,1.13,-0.1463386148811785,0.9396960129676216,0.33,0.42,rbf,3,False,0.33164751529693604
pi2,SVR(kernel='linear'),0.94,0.04,1.19,pi4,0.09,0.8472397000158236,0.9867576210539747,0.33,0.34,linear,3,False,0.33164751529693604
pi4,SVR(kernel='linear'),0.99,0.05,2.6,pi2,0.08,0.9114931246016833,0.9397061562033309,0.33,0.42,linear,3,False,0.33164751529693604
