model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.03,1.32,pi4,0.09,0.8982885321474969,0.96086134989946,0.17,0.59,rbf,1,False,0.17338034510612488
pi4,"SVR(C=10, epsilon=1)",0.96,0.03,1.74,pi2,0.01,0.9478472230923788,0.9904224209713146,0.17,0.91,rbf,1,False,0.17338034510612488
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.03,8.54,pi4,0.07,0.9171254750222274,0.9145837116661242,0.17,0.59,linear,1,False,0.17338034510612488
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.91,0.07,11.82,pi2,0.07,0.9819496324937895,0.9884145509257817,0.17,0.91,linear,1,False,0.17338034510612488
pi3,"SVR(C=1, epsilon=2)",0.54,0.02,1.56,pi5,1.42,-0.876203287592394,0.8868369965006191,0.19,1.0,rbf,2,False,0.1914377212524414
pi5,SVR(C=10),0.89,0.07,1.04,pi3,0.92,-0.03099151939141498,0.5411809393372726,0.19,0.52,rbf,2,False,0.1914377212524414
pi3,"SVR(C=10, epsilon=2, kernel='linear')",0.37,0.03,2.71,pi5,0.14,0.5072883786474432,0.7712757245186037,0.19,1.0,linear,2,False,0.1914377212524414
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.77,0.09,2.6,pi3,0.61,0.16091485021567398,0.3709546460842772,0.19,0.52,linear,2,False,0.1914377212524414
pi2,SVR(C=10),0.95,0.02,0.57,pi4,3.67,-2.724273226890657,0.9864679069365533,0.33,0.28,rbf,3,False,0.3281610608100891
pi4,SVR(C=10),0.99,0.02,0.58,pi2,0.77,0.22047363936090492,0.9494210237533185,0.33,0.45,rbf,3,False,0.3281610608100891
pi2,SVR(kernel='linear'),0.95,0.02,0.7,pi4,0.05,0.8948181675123066,0.98278744827918,0.33,0.28,linear,3,False,0.3281610608100891
pi4,SVR(kernel='linear'),0.98,0.06,1.63,pi2,0.06,0.9229958386652237,0.9479921852381783,0.33,0.45,linear,3,False,0.3281610608100891
