model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.09,4.07,pi4,0.1,0.8905325885008866,0.9536569856647557,0.13,0.67,rbf,1,False,0.13651183247566223
pi4,"SVR(C=10, epsilon=1)",0.95,0.09,4.48,pi2,0.03,0.9221429797018741,0.9905050306001887,0.13,0.9,rbf,1,False,0.13651183247566223
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.99,0.06,24.04,pi4,0.07,0.9160201734474278,0.9175122888944129,0.13,0.67,linear,1,False,0.13651183247566223
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.92,0.76,36.81,pi2,0.06,0.9817662594776879,0.986908589711071,0.13,0.9,linear,1,False,0.13651183247566223
pi2,"SVR(C=10, epsilon=2)",0.3,0.04,2.84,pi4,0.15,0.15294614664685513,0.5303187077013699,0.21,0.36,rbf,2,False,0.21465271711349487
pi4,"SVR(C=1, epsilon=1)",0.53,0.08,3.62,pi2,1.0,-0.4698178482972759,0.30345879124461383,0.21,0.8,rbf,2,False,0.21465271711349487
pi2,"SVR(C=10, epsilon=2, kernel='linear')",0.2,0.13,5.38,pi4,0.57,-0.3707702528165069,0.08866491594472159,0.21,0.36,linear,2,False,0.21465271711349487
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.09,0.05,4.87,pi2,0.08,0.16451492385607436,0.20226571552951478,0.21,0.8,linear,2,False,0.21465271711349487
pi2,SVR(C=10),0.94,0.04,1.09,pi4,2.98,-2.0390721634507245,0.9868308777272191,0.34,0.3,rbf,3,False,0.3361874222755432
pi4,SVR(C=10),0.99,0.04,1.16,pi2,1.26,-0.27191171365334155,0.9382182798818193,0.34,0.42,rbf,3,False,0.3361874222755432
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.94,0.04,1.23,pi4,0.05,0.8909296244772466,0.9834162511985198,0.34,0.3,linear,3,False,0.3361874222755432
pi4,SVR(kernel='linear'),0.98,0.07,3.78,pi2,0.07,0.9096938201029229,0.9416388633318882,0.34,0.42,linear,3,False,0.3361874222755432
