model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.12,4.08,pi4,0.1,0.8957063665446843,0.9617439563483465,0.11,0.75,rbf,1,False,0.11042732000350952
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.11,4.0,pi2,0.01,0.9490245160327595,0.9908003753337412,0.11,0.87,rbf,1,False,0.11042732000350952
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.99,1.33,27.33,pi4,0.06,0.9241270439371213,0.9233612682629794,0.11,0.75,linear,1,False,0.11042732000350952
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.92,0.04,33.79,pi2,0.06,0.9788837504191162,0.9873871024166038,0.11,0.87,linear,1,False,0.11042732000350952
pi2,"SVR(C=10, epsilon=5)",0.31,0.02,3.06,pi4,0.42,-0.10943300061121297,0.6003750931536644,0.2,0.3,rbf,2,False,0.22564712166786194
pi4,"SVR(C=1, epsilon=1)",0.6,0.07,3.26,pi2,1.05,-0.4447799306498599,0.31135914055202896,0.2,0.8,rbf,2,False,0.22564712166786194
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.21,0.07,6.11,pi4,0.32,-0.11277640626415408,0.16003681622386567,0.2,0.3,linear,2,False,0.22564712166786194
pi4,"SVR(C=0.01, epsilon=5, kernel='linear')",0.16,0.02,4.39,pi2,0.02,0.17566907128246112,0.2096437613789064,0.2,0.8,linear,2,False,0.22564712166786194
pi2,SVR(C=10),0.95,0.04,1.03,pi4,3.07,-2.1198266470947953,0.9888853716732322,0.35,0.24,rbf,3,False,0.3459939658641815
pi4,SVR(C=10),0.99,0.05,1.16,pi2,1.08,-0.0929833160369622,0.9463294875164218,0.35,0.43,rbf,3,False,0.3459939658641815
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.95,0.05,1.19,pi4,0.06,0.8913009495327556,0.9849389635653961,0.35,0.24,linear,3,False,0.3459939658641815
pi4,"SVR(C=10, kernel='linear')",0.98,0.53,4.56,pi2,0.07,0.9150100985854516,0.9486614961215283,0.35,0.43,linear,3,False,0.3459939658641815
