model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.12,4.09,pi4,0.1,0.8941570494269567,0.9611111327754319,0.13,0.64,rbf,1,False,0.13063108921051025
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.16,4.79,pi2,0.02,0.9403735312869487,0.9895580106845373,0.13,0.9,rbf,1,False,0.13063108921051025
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.09,27.97,pi4,0.06,0.9226253491324612,0.9246775529280988,0.13,0.64,linear,1,False,0.13063108921051025
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.92,0.06,41.57,pi2,0.06,0.9821113237569925,0.9868506756817415,0.13,0.9,linear,1,False,0.13063108921051025
pi2,"SVR(C=10, epsilon=5)",0.33,0.02,2.97,pi4,0.5,-0.16763126021478758,0.5565583819879526,0.22,0.34,rbf,2,False,0.2481103539466858
pi4,"SVR(C=1, epsilon=1)",0.56,0.08,3.29,pi2,0.87,-0.31549409828817576,0.3275366628074543,0.22,0.78,rbf,2,False,0.2481103539466858
pi2,"SVR(C=0.01, epsilon=1, kernel='linear')",0.19,0.02,5.17,pi4,0.31,-0.11752515237632788,0.09949474847362594,0.22,0.34,linear,2,False,0.2481103539466858
pi4,"SVR(C=10, epsilon=5, kernel='linear')",0.1,0.09,4.22,pi2,0.06,0.1556148183784929,0.19353178958351414,0.22,0.78,linear,2,False,0.2481103539466858
pi2,SVR(),0.94,0.05,1.05,pi4,2.42,-1.474984461622114,0.987835239751593,0.33,0.32,rbf,3,False,0.3261716365814209
pi4,"SVR(C=10, epsilon=0.5)",0.99,0.03,1.24,pi2,0.16,0.8318726809205758,0.9410818367053225,0.33,0.45,rbf,3,False,0.3261716365814209
pi2,SVR(kernel='linear'),0.94,0.03,1.18,pi4,0.1,0.8369464004810756,0.9850010868573461,0.33,0.32,linear,3,False,0.3261716365814209
pi4,SVR(kernel='linear'),0.99,0.06,3.74,pi2,0.08,0.9043295108514746,0.9401457397408498,0.33,0.45,linear,3,False,0.3261716365814209
