model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.18,3.71,pi4,0.09,0.8947828584313465,0.9613808192570374,0.14,0.68,rbf,1,False,0.14254413545131683
pi4,"SVR(C=10, epsilon=1)",0.96,0.09,4.29,pi2,0.01,0.9473020565090633,0.9893594239693401,0.14,0.92,rbf,1,False,0.14254413545131683
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.99,1.86,29.72,pi4,0.06,0.9250873575282541,0.926220862714625,0.14,0.68,linear,1,False,0.14254413545131683
pi4,"SVR(C=0.01, epsilon=2, kernel='linear')",0.93,0.04,39.02,pi2,0.06,0.9821976624196949,0.9872960377059189,0.14,0.92,linear,1,False,0.14254413545131683
pi3,"SVR(C=10, epsilon=2)",0.5,0.03,2.62,pi5,1.32,-0.8236706098753399,0.8891645925537868,0.19,1.0,rbf,2,False,0.18878769874572754
pi5,SVR(C=10),0.89,0.14,2.0,pi3,1.03,-0.1391551275165397,0.4978934000047729,0.19,0.5,rbf,2,False,0.18878769874572754
pi3,"SVR(C=1, epsilon=2, kernel='linear')",0.36,0.04,5.63,pi5,0.1,0.46388691468139454,0.7739765356700984,0.19,1.0,linear,2,False,0.18878769874572754
pi5,"SVR(C=0.01, epsilon=1, kernel='linear')",0.77,0.01,5.12,pi3,0.76,0.013507768512797669,0.3636286245538882,0.19,0.5,linear,2,False,0.18878769874572754
pi2,SVR(C=10),0.94,0.04,1.0,pi4,2.68,-1.7374180029905881,0.9895163709911068,0.32,0.29,rbf,3,False,0.3415461778640747
pi4,SVR(C=10),0.99,0.04,1.02,pi2,0.59,0.4042636672539438,0.9404254656276195,0.32,0.42,rbf,3,False,0.3415461778640747
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.94,0.01,1.2,pi4,0.01,0.9470629144229991,0.9881423909778521,0.32,0.29,linear,3,False,0.3415461778640747
pi4,SVR(kernel='linear'),0.99,0.06,3.18,pi2,0.08,0.9123333315392411,0.9406249987849226,0.32,0.42,linear,3,False,0.3415461778640747
