model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,SVR(C=10),0.99,0.21,4.07,pi4,0.11,0.8821304952627881,0.9574302994970284,0.16,0.55,rbf,1,False,0.1594739705324173
pi4,"SVR(C=10, epsilon=1)",0.96,0.12,5.43,pi2,0.03,0.9261719805420034,0.9918083018165527,0.16,0.87,rbf,1,False,0.1594739705324173
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.11,40.95,pi4,0.08,0.9140777034250251,0.911648993570514,0.16,0.55,linear,1,False,0.1594739705324173
pi4,"SVR(C=0.1, epsilon=2, kernel='linear')",0.91,0.07,29.84,pi2,0.07,0.9775425039578032,0.9892502307638266,0.16,0.87,linear,1,False,0.1594739705324173
pi3,"SVR(C=10, epsilon=2)",0.49,0.03,2.58,pi5,1.07,-0.5817950429749896,0.8686372517182568,0.19,1.0,rbf,2,False,0.18515288829803467
pi5,SVR(C=10),0.87,0.11,1.95,pi3,0.79,0.08339784131484107,0.4908056499491056,0.19,0.37,rbf,2,False,0.18515288829803467
pi3,"SVR(C=0.1, epsilon=2, kernel='linear')",0.36,0.01,6.09,pi5,0.1,0.46316503841456313,0.7480888253284564,0.19,1.0,linear,2,False,0.18515288829803467
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.75,0.02,4.47,pi3,0.56,0.18482483693079255,0.3649611760290292,0.19,0.37,linear,2,False,0.18515288829803467
pi2,SVR(C=10),0.94,0.04,1.05,pi4,2.59,-1.65446802859132,0.9884359429467103,0.31,0.3,rbf,3,False,0.3173243999481201
pi4,SVR(C=10),0.99,0.04,1.13,pi2,0.66,0.3280645676103344,0.9404110694660281,0.31,0.44,rbf,3,False,0.3173243999481201
pi2,SVR(kernel='linear'),0.94,0.03,1.24,pi4,0.09,0.8523685530040939,0.986754838776665,0.31,0.3,linear,3,False,0.3173243999481201
pi4,SVR(kernel='linear'),0.99,0.08,3.57,pi2,0.06,0.922673844569567,0.9400755893624175,0.31,0.44,linear,3,False,0.3173243999481201
