model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.11,3.75,pi4,0.11,0.8817795538885381,0.9597641919721888,0.15,0.65,rbf,1,False,0.15133818984031677
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.14,4.9,pi2,0.02,0.9382691638058394,0.9890406765714604,0.15,0.94,rbf,1,False,0.15133818984031677
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.99,1.67,27.62,pi4,0.07,0.9159926428312015,0.914994180378494,0.15,0.65,linear,1,False,0.15133818984031677
pi4,"SVR(C=0.01, epsilon=1, kernel='linear')",0.91,0.04,42.46,pi2,0.06,0.9783559221179279,0.9860579984903414,0.15,0.94,linear,1,False,0.15133818984031677
pi2,"SVR(C=10, epsilon=5)",0.33,0.02,2.97,pi4,0.52,-0.18622339952755795,0.5037121309486743,0.23,0.31,rbf,2,False,0.22318044304847717
pi4,"SVR(C=1, epsilon=1)",0.5,0.07,3.67,pi2,0.91,-0.4110029094058487,0.3315324878524063,0.23,0.71,rbf,2,False,0.22318044304847717
pi3,SVR(),0.7,0.13,2.98,pi5,0.28,0.42028422180189307,0.865896803694922,0.23,1.0,rbf,2,False,0.22318044304847717
pi5,SVR(C=10),0.87,0.11,1.88,pi3,1.18,-0.3162483550092976,0.7038677930862918,0.23,0.42,rbf,2,False,0.22318044304847717
pi2,"SVR(C=0.1, epsilon=1, kernel='linear')",0.19,0.05,5.52,pi4,0.2,-0.013332638734691704,0.054384659149152026,0.23,0.31,linear,2,False,0.22318044304847717
pi4,"SVR(C=10, epsilon=2, kernel='linear')",0.05,0.27,4.69,pi2,0.09,0.14517408623059136,0.19105814807443988,0.23,0.71,linear,2,False,0.22318044304847717
pi3,"SVR(C=0.01, epsilon=1, kernel='linear')",0.6,0.03,5.8,pi5,0.08,0.672683997514025,0.7336803130258942,0.23,1.0,linear,2,False,0.22318044304847717
pi5,"SVR(C=1, epsilon=0.5, kernel='linear')",0.73,0.06,4.51,pi3,0.24,0.4974366193479586,0.59501491985041,0.23,0.42,linear,2,False,0.22318044304847717
pi2,SVR(),0.93,0.04,1.02,pi4,2.35,-1.4150358993393026,0.9882347160759061,0.32,0.33,rbf,3,False,0.3228985071182251
pi4,"SVR(C=10, epsilon=0.5)",0.99,0.04,1.29,pi2,0.17,0.8183667157170789,0.9333863751482266,0.32,0.43,rbf,3,False,0.3228985071182251
pi2,"SVR(C=0.01, kernel='linear')",0.94,0.02,1.25,pi4,0.01,0.9305094085323764,0.9857288394461572,0.32,0.33,linear,3,False,0.3228985071182251
pi4,"SVR(C=10, kernel='linear')",0.99,0.28,2.81,pi2,0.08,0.9074890124784321,0.9362065525884702,0.32,0.43,linear,3,False,0.3228985071182251
