model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.12,3.81,pi4,0.11,0.8772373962766216,0.9562846593828842,0.16,0.61,rbf,1,False,0.1558547168970108
pi4,SVR(C=10),0.96,0.24,4.73,pi2,0.03,0.9311490390652117,0.9903805445999613,0.16,0.91,rbf,1,False,0.1558547168970108
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.99,0.05,26.64,pi4,0.07,0.9144675776924686,0.914968798633323,0.16,0.61,linear,1,False,0.1558547168970108
pi4,"SVR(C=0.01, epsilon=2, kernel='linear')",0.91,0.05,35.77,pi2,0.06,0.9797908809327647,0.9877966193289186,0.16,0.91,linear,1,False,0.1558547168970108
pi2,"SVR(C=10, epsilon=2)",0.31,0.03,3.11,pi4,0.19,0.11490434302374097,0.6077516035882683,0.21,0.48,rbf,2,False,0.2332092523574829
pi4,"SVR(C=10, epsilon=1)",0.61,0.08,3.46,pi2,1.27,-0.663854951233948,0.3098312147674289,0.21,0.79,rbf,2,False,0.2332092523574829
pi2,"SVR(C=0.1, epsilon=2, kernel='linear')",0.22,0.02,5.23,pi4,0.56,-0.34461805058659967,0.13674372580105165,0.21,0.48,linear,2,False,0.2332092523574829
pi4,"SVR(C=0.1, epsilon=5, kernel='linear')",0.14,0.02,4.18,pi2,0.15,-0.01110388082839786,0.21684707223454658,0.21,0.79,linear,2,False,0.2332092523574829
pi2,SVR(),0.94,0.05,1.16,pi4,2.74,-1.7958780688759863,0.9853164369212517,0.35,0.29,rbf,3,False,0.35561245679855347
pi4,SVR(C=10),0.99,0.04,1.28,pi2,1.18,-0.1982738376968236,0.9437999978934619,0.35,0.39,rbf,3,False,0.35561245679855347
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.94,0.01,1.38,pi4,0.02,0.9270302637937385,0.9824612262573675,0.35,0.29,linear,3,False,0.35561245679855347
pi4,SVR(kernel='linear'),0.98,0.08,3.26,pi2,0.07,0.9166749322324697,0.943999849620883,0.35,0.39,linear,3,False,0.35561245679855347
