model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,kernel,experiment,std,asmmd
pi2,"SVR(C=10, epsilon=0.5)",0.99,0.12,3.94,pi4,0.1,0.8888618393123907,0.9550015135132359,0.16,0.63,rbf,1,False,0.15721248090267181
pi4,"SVR(C=10, epsilon=0.5)",0.96,0.13,4.98,pi2,0.02,0.9383001205529604,0.9891305204207177,0.16,0.93,rbf,1,False,0.15721248090267181
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.99,0.1,26.09,pi4,0.07,0.91511393531536,0.9142604770203996,0.16,0.63,linear,1,False,0.15721248090267181
pi4,"SVR(C=10, epsilon=1, kernel='linear')",0.91,1.16,34.58,pi2,0.07,0.984096354024902,0.9872590431363778,0.16,0.93,linear,1,False,0.15721248090267181
pi2,"SVR(C=10, epsilon=5)",0.33,0.02,3.51,pi4,0.51,-0.17335234636886443,0.4659400708257564,0.19,0.48,rbf,2,False,0.2095852792263031
pi4,"SVR(C=10, epsilon=1)",0.47,0.09,4.18,pi2,1.0,-0.5325066082050087,0.33434679236187115,0.19,0.8,rbf,2,False,0.2095852792263031
pi2,"SVR(C=10, epsilon=2, kernel='linear')",0.22,0.13,5.63,pi4,0.54,-0.32502937581166447,0.07323968932508107,0.19,0.48,linear,2,False,0.2095852792263031
pi4,"SVR(C=1, epsilon=2, kernel='linear')",0.07,0.21,5.49,pi2,0.11,0.18441652848056866,0.2162802874574512,0.19,0.8,linear,2,False,0.2095852792263031
pi2,SVR(),0.94,0.08,1.28,pi4,2.27,-1.334935539732352,0.9883454065447069,0.33,0.33,rbf,3,False,0.332574725151062
pi4,"SVR(C=10, epsilon=0.5)",0.99,0.03,1.74,pi2,0.14,0.8438458791968035,0.9381725733605341,0.33,0.43,rbf,3,False,0.332574725151062
pi2,"SVR(C=0.01, kernel='linear')",0.94,0.02,1.41,pi4,0.0,0.9387555228620516,0.986407901642253,0.33,0.33,linear,3,False,0.332574725151062
pi4,SVR(kernel='linear'),0.99,0.04,2.84,pi2,0.08,0.9036077169054776,0.9372639586288489,0.33,0.43,linear,3,False,0.332574725151062
