model_node,model,score,test_node,discrepancy,method,std,experiment,threshold
pi2,"SVR(C=100, epsilon=0.5)",0.9914240362344738,pi4,0.09863417993934587,MMD,False,1,-
pi4,"SVR(C=100, epsilon=1)",0.9762482390908283,pi2,0.06882005932248247,MMD,False,1,-
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.9879117770736641,pi4,0.0649361297280141,MMD,False,1,-
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.9216680423657877,pi2,0.058695914254086046,MMD,False,1,-
pi2,LinearRegression(),0.9879576607423232,pi4,0.06559906881445254,MMD,False,1,-
pi4,LinearRegression(),0.925555618862817,pi2,0.0593010181173923,MMD,False,1,-
pi2,SVR(C=10),0.9913641403822427,pi4,0.09154107003070622,MMD,True,1,-
pi4,SVR(C=100),0.9791241971670968,pi2,0.07337096209643923,MMD,True,1,-
pi2,SVR(kernel='linear'),0.9879046565429166,pi4,0.06636002896617843,MMD,True,1,-
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9244876077161385,pi2,0.05578990710174603,MMD,True,1,-
pi2,LinearRegression(),0.987957652211468,pi4,0.0655990525332184,MMD,True,1,-
pi4,LinearRegression(),0.9255556103365553,pi2,0.05930102872962817,MMD,True,1,-
pi3,"SVR(C=10, epsilon=0.5)",0.9805982799704319,pi5,1.4320229388344585,OCSVM,False,1,0.95
pi5,"SVR(C=10, epsilon=1)",0.521310135675207,pi3,0.8565217399644345,OCSVM,False,1,0.95
pi3,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9196619434897871,pi5,1.078174733866021,OCSVM,False,1,0.95
pi5,SVR(kernel='linear'),0.32400382229208247,pi3,0.03411347104667484,OCSVM,False,1,0.95
pi3,LinearRegression(),0.9202047996557866,pi5,1.1146192579302245,OCSVM,False,1,0.95
pi5,LinearRegression(),0.38491446775777394,pi3,0.059408301365960425,OCSVM,False,1,0.95
pi3,SVR(),0.9806568095708261,pi5,1.353607189383907,OCSVM,True,1,0.95
pi5,"SVR(C=100, epsilon=0.5)",0.5372071979117516,pi3,0.28515457482941065,OCSVM,True,1,0.95
pi3,SVR(kernel='linear'),0.9197860760008986,pi5,1.0993870630820126,OCSVM,True,1,0.95
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.3838208724515608,pi3,0.013543252798515981,OCSVM,True,1,0.95
pi3,LinearRegression(),0.9202048476557023,pi5,1.1146191807074373,OCSVM,True,1,0.95
pi5,LinearRegression(),0.3849144436892368,pi3,0.05940806890329553,OCSVM,True,1,0.95
pi2,"SVR(C=100, epsilon=0.5)",0.9914240362344738,pi4,0.09863417993934587,OCSVM,False,1,0.85
pi4,"SVR(C=100, epsilon=1)",0.9762482390908283,pi2,0.06882005932248247,OCSVM,False,1,0.85
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.9879117770736641,pi4,0.0649361297280141,OCSVM,False,1,0.85
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.9216680423657877,pi2,0.058695914254086046,OCSVM,False,1,0.85
pi2,LinearRegression(),0.9879576607423232,pi4,0.06559906881445254,OCSVM,False,1,0.85
pi4,LinearRegression(),0.925555618862817,pi2,0.0593010181173923,OCSVM,False,1,0.85
pi2,SVR(C=10),0.9913641403822427,pi4,0.09154107003070622,OCSVM,True,1,0.85
pi4,SVR(C=100),0.9791241971670968,pi2,0.07337096209643923,OCSVM,True,1,0.85
pi2,SVR(kernel='linear'),0.9879046565429166,pi4,0.06636002896617843,OCSVM,True,1,0.85
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9244876077161385,pi2,0.05578990710174603,OCSVM,True,1,0.85
pi2,LinearRegression(),0.987957652211468,pi4,0.0655990525332184,OCSVM,True,1,0.85
pi4,LinearRegression(),0.9255556103365553,pi2,0.05930102872962817,OCSVM,True,1,0.85
pi2,"SVR(C=100, epsilon=0.5)",0.9914240362344738,pi4,0.09863417993934587,MMD OCSVM Verify,False,1,0.85
pi4,"SVR(C=100, epsilon=1)",0.9762482390908283,pi2,0.06882005932248247,MMD OCSVM Verify,False,1,0.85
pi2,"SVR(C=0.01, epsilon=0.5, kernel='linear')",0.9879117770736641,pi4,0.0649361297280141,MMD OCSVM Verify,False,1,0.85
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.9216680423657877,pi2,0.058695914254086046,MMD OCSVM Verify,False,1,0.85
pi2,LinearRegression(),0.9879576607423232,pi4,0.06559906881445254,MMD OCSVM Verify,False,1,0.85
pi4,LinearRegression(),0.925555618862817,pi2,0.0593010181173923,MMD OCSVM Verify,False,1,0.85
pi2,SVR(C=10),0.9913641403822427,pi4,0.09154107003070622,MMD OCSVM Verify,True,1,0.85
pi4,SVR(C=100),0.9791241971670968,pi2,0.07337096209643923,MMD OCSVM Verify,True,1,0.85
pi2,SVR(kernel='linear'),0.9879046565429166,pi4,0.06636002896617843,MMD OCSVM Verify,True,1,0.85
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9244876077161385,pi2,0.05578990710174603,MMD OCSVM Verify,True,1,0.85
pi2,LinearRegression(),0.987957652211468,pi4,0.0655990525332184,MMD OCSVM Verify,True,1,0.85
pi4,LinearRegression(),0.9255556103365553,pi2,0.05930102872962817,MMD OCSVM Verify,True,1,0.85
pi4,"SVR(C=100, epsilon=1)",0.9762482390908283,pi3,0.34930738664571637,OCSVM,False,1,0.6
pi3,"SVR(C=10, epsilon=0.5)",0.9805982799704319,pi4,4.254564994342975,OCSVM,False,1,0.6
pi4,"SVR(C=1, epsilon=1, kernel='linear')",0.9216680423657877,pi3,0.08179168180386509,OCSVM,False,1,0.6
pi3,"SVR(C=0.01, epsilon=1, kernel='linear')",0.9196619434897871,pi4,0.46298683781317995,OCSVM,False,1,0.6
pi4,LinearRegression(),0.925555618862817,pi3,0.13647441500330504,OCSVM,False,1,0.6
pi3,LinearRegression(),0.9202047996557866,pi4,0.5486939818040154,OCSVM,False,1,0.6
pi4,SVR(C=100),0.9791241971670968,pi3,0.21849899385523885,OCSVM,True,1,0.6
pi3,SVR(),0.9806568095708261,pi4,4.075242045034017,OCSVM,True,1,0.6
pi4,"SVR(C=10, epsilon=0.2, kernel='linear')",0.9244876077161385,pi3,0.11687376756675749,OCSVM,True,1,0.6
pi3,SVR(kernel='linear'),0.9197860760008986,pi4,0.4900699220063428,OCSVM,True,1,0.6
pi4,LinearRegression(),0.9255556103365553,pi3,0.13647424606091374,OCSVM,True,1,0.6
pi3,LinearRegression(),0.9202048476557023,pi4,0.54869385880203,OCSVM,True,1,0.6
pi3,"SVR(C=100, epsilon=1)",0.4523829604854841,pi5,0.9502402080433126,MMD,False,2,-
pi5,SVR(C=100),0.8680719107558285,pi3,0.9864748313390402,MMD,False,2,-
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.35199193238000004,pi5,0.21119077219568827,MMD,False,2,-
