model_node,model,score,test_node,discrepancy,method,std,experiment,threshold
pi2,"SVR(C=100, epsilon=0.2)",0.9895193504875476,pi4,0.08388618117685864,MMD,False,1,-
pi4,"SVR(C=100, epsilon=0.5)",0.9647114272917495,pi2,0.036715524338933436,MMD,False,1,-
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.9843067295829916,pi4,0.06291370751493908,MMD,False,1,-
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9329674385019362,pi2,0.03379929715280261,MMD,False,1,-
pi2,LinearRegression(normalize=True),0.984410218835071,pi4,0.06372134739276536,MMD,False,1,-
pi4,LinearRegression(),0.9353676867005335,pi2,0.03823885977332675,MMD,False,1,-
pi2,SVR(C=10),0.9886720411143959,pi4,0.07401439325837778,MMD,True,1,-
pi4,SVR(C=100),0.9638136039378468,pi2,0.03605818824823748,MMD,True,1,-
pi2,SVR(kernel='linear'),0.9842785111337886,pi4,0.0640929275075588,MMD,True,1,-
pi4,"SVR(C=100, epsilon=0.2, kernel='linear')",0.9327679445483068,pi2,0.03866368378081042,MMD,True,1,-
pi2,LinearRegression(),0.9844102186610971,pi4,0.06372138761542356,MMD,True,1,-
pi4,LinearRegression(),0.9353676891152829,pi2,0.03823880921366263,MMD,True,1,-
pi3,SVR(C=10),0.9791270327708105,pi5,1.443875618562938,OCSVM,False,1,0.95
pi5,"SVR(C=100, epsilon=1)",0.5447853548496295,pi3,0.043752887002512564,OCSVM,False,1,0.95
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9199418431156838,pi5,1.0689267899708603,OCSVM,False,1,0.95
pi5,"SVR(C=0.1, epsilon=1, kernel='linear')",0.3552199705292911,pi3,0.20038536289816344,OCSVM,False,1,0.95
pi3,LinearRegression(normalize=True),0.9201923994918386,pi5,1.065831385982098,OCSVM,False,1,0.95
pi5,LinearRegression(),0.41668662902478537,pi3,0.18927781292062973,OCSVM,False,1,0.95
pi3,SVR(C=100),0.9785873697590792,pi5,1.4324345383762944,OCSVM,True,1,0.95
pi5,"SVR(C=10, epsilon=0.5)",0.5420465231080134,pi3,0.2120111870216106,OCSVM,True,1,0.95
pi3,SVR(kernel='linear'),0.9191166473862485,pi5,1.1186260460050312,OCSVM,True,1,0.95
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.4164339473932278,pi3,0.2103302479110919,OCSVM,True,1,0.95
