model_node,model,score,test_node,discrepancy,method,std,experiment,threshold
pi2,SVR(C=100),0.9901921836260755,pi4,0.10925107718777283,MMD,False,1,8.41
pi4,"SVR(C=100, epsilon=1)",0.9587353165718376,pi2,0.05992705288921263,MMD,False,1,8.41
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.9864986755776666,pi4,0.06944552801020198,MMD,False,1,8.41
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9175004260121787,pi2,0.061595614884842,MMD,False,1,8.41
pi2,LinearRegression(),0.9866670619101685,pi4,0.07006924220531385,MMD,False,1,8.41
pi4,LinearRegression(),0.9203304560248736,pi2,0.06254883156159219,MMD,False,1,8.41
pi2,SVR(C=10),0.990518390701439,pi4,0.0932510868618549,MMD,True,1,8.41
pi4,"SVR(C=100, epsilon=0.2)",0.9613752452504379,pi2,0.0602571487383462,MMD,True,1,8.41
pi2,SVR(kernel='linear'),0.9866428502728245,pi4,0.07032444382366998,MMD,True,1,8.41
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9200061773902449,pi2,0.06055863483930013,MMD,True,1,8.41
pi2,LinearRegression(),0.9866670530446922,pi4,0.07006925671708775,MMD,True,1,8.41
pi4,LinearRegression(),0.920330456332762,pi2,0.06254880944008245,MMD,True,1,8.41
pi2,SVR(C=100),0.9901921836260755,pi4,0.10925107718777283,OCSVM,False,1,0.89
pi4,"SVR(C=100, epsilon=1)",0.9587353165718376,pi2,0.05992705288921263,OCSVM,False,1,0.64
pi4,"SVR(C=100, epsilon=1)",0.9587353165718376,pi3,0.3619825293507757,OCSVM,False,1,0.1
pi3,"SVR(C=100, epsilon=0.5)",0.9793890966139401,pi4,5.274381204186316,OCSVM,False,1,0.69
pi3,"SVR(C=100, epsilon=0.5)",0.9793890966139401,pi5,2.5374974128079053,OCSVM,False,1,1.0
pi5,"SVR(C=100, epsilon=1)",0.4882768325534693,pi3,0.7843189590857841,OCSVM,False,1,0.21
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.9864986755776666,pi4,0.06944552801020198,OCSVM,False,1,0.89
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9175004260121787,pi2,0.061595614884842,OCSVM,False,1,0.64
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9175004260121787,pi3,0.08924854979114005,OCSVM,False,1,0.1
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9196649375291172,pi4,0.4514953424538787,OCSVM,False,1,0.69
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9196649375291172,pi5,1.0783114638329505,OCSVM,False,1,1.0
pi5,SVR(kernel='linear'),0.325534414203282,pi3,0.03106569231312284,OCSVM,False,1,0.21
pi2,LinearRegression(),0.9866670619101685,pi4,0.07006924220531385,OCSVM,False,1,0.89
pi4,LinearRegression(),0.9203304560248736,pi2,0.06254883156159219,OCSVM,False,1,0.64
pi4,LinearRegression(),0.9203304560248736,pi3,0.1406842040806947,OCSVM,False,1,0.1
pi3,LinearRegression(normalize=True),0.9198254847575417,pi4,0.48537772449207306,OCSVM,False,1,0.69
pi3,LinearRegression(normalize=True),0.9198254847575417,pi5,1.0881658422454845,OCSVM,False,1,1.0
pi5,LinearRegression(),0.38641179375835943,pi3,0.017600456102018214,OCSVM,False,1,0.21
pi2,SVR(C=10),0.990518390701439,pi4,0.0932510868618549,OCSVM,True,1,0.89
pi4,"SVR(C=100, epsilon=0.2)",0.9613752452504379,pi2,0.0602571487383462,OCSVM,True,1,0.64
pi4,"SVR(C=100, epsilon=0.2)",0.9613752452504379,pi3,0.31390630137906417,OCSVM,True,1,0.1
pi3,SVR(C=100),0.9799301054113324,pi4,4.180933755531539,OCSVM,True,1,0.69
pi3,SVR(C=100),0.9799301054113324,pi5,1.4425927392615248,OCSVM,True,1,1.0
pi5,"SVR(C=100, epsilon=0.5)",0.5461913333315735,pi3,0.2505600081684206,OCSVM,True,1,0.21
pi2,SVR(kernel='linear'),0.9866428502728245,pi4,0.07032444382366998,OCSVM,True,1,0.89
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9200061773902449,pi2,0.06055863483930013,OCSVM,True,1,0.64
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9200061773902449,pi3,0.12298095301543288,OCSVM,True,1,0.1
pi3,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9196229093720414,pi4,0.46404484664163637,OCSVM,True,1,0.69
pi3,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9196229093720414,pi5,1.0684851373395814,OCSVM,True,1,1.0
pi5,"SVR(C=1, epsilon=0.5, kernel='linear')",0.3858813843915626,pi3,0.007472793375363773,OCSVM,True,1,0.21
pi2,LinearRegression(),0.9866670530446922,pi4,0.07006925671708775,OCSVM,True,1,0.89
pi4,LinearRegression(),0.920330456332762,pi2,0.06254880944008245,OCSVM,True,1,0.64
pi4,LinearRegression(),0.920330456332762,pi3,0.1406840626304796,OCSVM,True,1,0.1
pi3,LinearRegression(),0.9198254808764152,pi4,0.4853777729405305,OCSVM,True,1,0.69
pi3,LinearRegression(),0.9198254808764152,pi5,1.0881660819090568,OCSVM,True,1,1.0
pi5,LinearRegression(),0.38641179003988,pi3,0.017600721379948614,OCSVM,True,1,0.21
pi2,SVR(C=100),0.9901921836260755,pi4,0.10925107718777283,MMD OCSVM Verify,False,1,0.89
pi4,"SVR(C=100, epsilon=1)",0.9587353165718376,pi2,0.05992705288921263,MMD OCSVM Verify,False,1,0.64
pi2,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.9864986755776666,pi4,0.06944552801020198,MMD OCSVM Verify,False,1,0.89
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9175004260121787,pi2,0.061595614884842,MMD OCSVM Verify,False,1,0.64
pi2,LinearRegression(),0.9866670619101685,pi4,0.07006924220531385,MMD OCSVM Verify,False,1,0.89
pi4,LinearRegression(),0.9203304560248736,pi2,0.06254883156159219,MMD OCSVM Verify,False,1,0.64
pi2,SVR(C=10),0.990518390701439,pi4,0.0932510868618549,MMD OCSVM Verify,True,1,0.89
pi4,"SVR(C=100, epsilon=0.2)",0.9613752452504379,pi2,0.0602571487383462,MMD OCSVM Verify,True,1,0.64
pi2,SVR(kernel='linear'),0.9866428502728245,pi4,0.07032444382366998,MMD OCSVM Verify,True,1,0.89
pi4,"SVR(C=1, epsilon=0.2, kernel='linear')",0.9200061773902449,pi2,0.06055863483930013,MMD OCSVM Verify,True,1,0.64
pi2,LinearRegression(),0.9866670530446922,pi4,0.07006925671708775,MMD OCSVM Verify,True,1,0.89
pi4,LinearRegression(),0.920330456332762,pi2,0.06254880944008245,MMD OCSVM Verify,True,1,0.64
pi3,"SVR(C=10, epsilon=1)",0.4387935064631501,pi5,0.2518981062625746,MMD,False,2,28.09
pi5,"SVR(C=10, epsilon=1)",0.5307076586273518,pi3,0.4061318006766298,MMD,False,2,28.09
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.32620419250874155,pi5,0.08616482246654589,MMD,False,2,28.09
pi5,SVR(kernel='linear'),0.4579873671593876,pi3,0.2128558761870466,MMD,False,2,28.09
pi3,LinearRegression(),0.37062032456480987,pi5,0.3822455616857654,MMD,False,2,28.09
pi5,LinearRegression(),0.45834054982705896,pi3,0.22631928294301884,MMD,False,2,28.09
pi3,"SVR(C=1, epsilon=0.5)",0.5118698282432501,pi5,1.4469242187922509,MMD,True,2,28.09
pi5,"SVR(C=100, epsilon=0.2)",0.5766256999592663,pi3,3.1081881879885582,MMD,True,2,28.09
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.32932850422838156,pi5,0.07693509770006912,MMD,True,2,28.09
pi5,"SVR(C=100, epsilon=0.01, kernel='linear')",0.4571539309071594,pi3,0.2051332308606647,MMD,True,2,28.09
pi3,LinearRegression(),0.37062020299508913,pi5,0.38224537462496655,MMD,True,2,28.09
pi5,LinearRegression(),0.4583403833974551,pi3,0.22631808541799203,MMD,True,2,28.09
pi2,"SVR(C=100, epsilon=0.2)",0.8026981736757307,pi4,0.5544234207092645,OCSVM,False,2,0.84
pi2,"SVR(C=100, epsilon=0.2)",0.8026981736757307,pi5,22.66839187727101,OCSVM,False,2,0.0
pi4,"SVR(C=100, epsilon=1)",0.4907692204209654,pi2,6.364866075872969,OCSVM,False,2,0.46
pi4,"SVR(C=100, epsilon=1)",0.4907692204209654,pi3,7.796261148133889,OCSVM,False,2,0.08
pi4,"SVR(C=100, epsilon=1)",0.4907692204209654,pi5,10.838196502190712,OCSVM,False,2,0.07
pi5,"SVR(C=10, epsilon=1)",0.5307076586273518,pi2,17.50495985630684,OCSVM,False,2,0.9
pi5,"SVR(C=10, epsilon=1)",0.5307076586273518,pi3,0.4061318006766298,OCSVM,False,2,1.0
pi5,"SVR(C=10, epsilon=1)",0.5307076586273518,pi4,3.491772657494066,OCSVM,False,2,0.84
