model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.69,0.96,pi3,0.01,0.9495919347095535,0.9476716274603937,26.61,0.99,25.413315716911764,True
pi3,LogisticRegression(max_iter=100000),0.01,0.64,0.95,pi2,0.01,0.9578544061302682,0.9592911877394636,26.61,0.97,25.413315716911764,True
pi3,LogisticRegression(max_iter=100000),0.01,0.64,0.95,pi5,0.01,0.9529298751200769,0.9486071085494716,24.21,0.99,25.413315716911764,True
pi5,LogisticRegression(max_iter=100000),0.01,0.71,0.95,pi3,0.0,0.9462313970235238,0.9476716274603937,24.21,0.99,25.413315716911764,True
pi5,LogisticRegression(max_iter=100000),0.01,0.71,0.95,pi4,0.0,0.9472168905950096,0.9467370441458733,13.43,0.99,25.413315716911764,True
pi4,LogisticRegression(max_iter=100000),0.02,0.61,0.95,pi5,0.0,0.94716618635927,0.9486071085494716,13.43,0.98,25.413315716911764,True
pi2,LogisticRegression(max_iter=100000),0.01,0.63,0.97,pi3,0.01,0.9604911906033102,0.9604911906033102,35.8,0.98,35.7890625,False
pi2,LogisticRegression(max_iter=100000),0.01,0.63,0.97,pi5,0.0,0.9658119658119658,0.9658119658119658,31.88,0.97,35.7890625,False
pi3,LogisticRegression(max_iter=100000),0.01,0.73,0.96,pi2,0.01,0.9707135250266241,0.9707135250266241,35.8,0.98,35.7890625,False
pi3,LogisticRegression(max_iter=100000),0.01,0.73,0.96,pi4,0.0,0.9653333333333334,0.9658666666666667,32.97,0.98,35.7890625,False
pi3,LogisticRegression(max_iter=100000),0.01,0.73,0.96,pi5,0.0,0.9642094017094017,0.9658119658119658,15.96,0.98,35.7890625,False
pi5,LogisticRegression(max_iter=100000),0.01,0.55,0.97,pi2,0.0,0.9696485623003195,0.9707135250266241,31.88,0.97,35.7890625,False
pi5,LogisticRegression(max_iter=100000),0.01,0.55,0.97,pi3,0.01,0.9578216764548853,0.9604911906033102,15.96,0.97,35.7890625,False
pi5,LogisticRegression(max_iter=100000),0.01,0.55,0.97,pi4,0.0,0.9658666666666667,0.9658666666666667,28.48,0.98,35.7890625,False
pi4,LogisticRegression(max_iter=100000),0.01,0.53,0.97,pi3,0.01,0.9578216764548853,0.9604911906033102,32.97,0.98,35.7890625,False
pi4,LogisticRegression(max_iter=100000),0.01,0.53,0.97,pi5,0.0,0.9658119658119658,0.9658119658119658,28.48,0.98,35.7890625,False
