model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.66,0.96,pi4,0.0,0.9548294089380106,0.9553099471407976,10.69,0.99,24.741243489583333,True
pi2,LogisticRegression(max_iter=100000),0.01,0.66,0.96,pi5,0.01,0.946685878962536,0.9452449567723343,20.89,0.99,24.741243489583333,True
pi4,LogisticRegression(max_iter=100000),0.01,0.73,0.96,pi2,0.0,0.9530201342281879,0.9578139980824545,10.69,0.99,24.741243489583333,True
pi4,LogisticRegression(max_iter=100000),0.01,0.73,0.96,pi3,0.01,0.9423631123919308,0.9452449567723343,20.06,0.99,24.741243489583333,True
pi4,LogisticRegression(max_iter=100000),0.01,0.73,0.96,pi5,0.01,0.9447646493756003,0.9452449567723343,17.65,0.98,24.741243489583333,True
pi5,LogisticRegression(max_iter=100000),0.01,0.63,0.95,pi2,0.01,0.9563758389261745,0.9578139980824545,20.89,0.99,24.741243489583333,True
pi5,LogisticRegression(max_iter=100000),0.01,0.63,0.95,pi3,0.0,0.9457252641690682,0.9452449567723343,14.57,0.99,24.741243489583333,True
pi5,LogisticRegression(max_iter=100000),0.01,0.63,0.95,pi4,0.01,0.9548294089380106,0.9553099471407976,17.65,0.98,24.741243489583333,True
pi3,LogisticRegression(max_iter=100000),0.01,0.64,0.95,pi4,0.01,0.9557904853435848,0.9553099471407976,20.06,0.98,24.741243489583333,True
pi3,LogisticRegression(max_iter=100000),0.01,0.64,0.95,pi5,0.0,0.9447646493756003,0.9452449567723343,14.57,0.99,24.741243489583333,True
pi2,LogisticRegression(max_iter=100000),0.01,0.58,0.97,pi4,0.0,0.9727854855923159,0.9727854855923159,16.74,0.98,32.72300502232143,False
pi2,LogisticRegression(max_iter=100000),0.01,0.58,0.97,pi5,0.01,0.9621938232161874,0.9621938232161874,32.0,0.99,32.72300502232143,False
pi4,LogisticRegression(max_iter=100000),0.01,0.58,0.97,pi2,0.0,0.9691160809371672,0.9691160809371672,16.74,0.99,32.72300502232143,False
pi4,LogisticRegression(max_iter=100000),0.01,0.58,0.97,pi3,0.01,0.9605543710021321,0.9621535181236673,24.79,0.99,32.72300502232143,False
pi4,LogisticRegression(max_iter=100000),0.01,0.58,0.97,pi5,0.01,0.9621938232161874,0.9621938232161874,25.45,0.98,32.72300502232143,False
pi5,LogisticRegression(max_iter=100000),0.02,0.54,0.96,pi2,0.01,0.9691160809371672,0.9691160809371672,32.0,0.97,32.72300502232143,False
pi5,LogisticRegression(max_iter=100000),0.02,0.54,0.96,pi3,0.0,0.9605543710021321,0.9621535181236673,27.05,1.0,32.72300502232143,False
pi5,LogisticRegression(max_iter=100000),0.02,0.54,0.96,pi4,0.01,0.9727854855923159,0.9727854855923159,25.45,0.97,32.72300502232143,False
pi3,LogisticRegression(max_iter=100000),0.01,0.71,0.96,pi4,0.01,0.9690501600853789,0.9727854855923159,24.79,0.96,32.72300502232143,False
pi3,LogisticRegression(max_iter=100000),0.01,0.71,0.96,pi5,0.0,0.9605963791267306,0.9621938232161874,27.05,0.99,32.72300502232143,False
