model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.74,0.96,pi4,0.01,0.9482262703739214,0.9491850431447747,22.99,0.98,26.969651442307693,True
pi2,LogisticRegression(max_iter=100000),0.01,0.74,0.96,pi5,0.02,0.9448176583493282,0.9448176583493282,9.71,0.98,26.969651442307693,True
pi4,LogisticRegression(max_iter=100000),0.01,0.65,0.95,pi2,0.01,0.9568138195777351,0.9606525911708254,22.99,0.99,26.969651442307693,True
pi4,LogisticRegression(max_iter=100000),0.01,0.65,0.95,pi3,0.0,0.9458033573141487,0.950599520383693,10.02,0.98,26.969651442307693,True
pi5,LogisticRegression(max_iter=100000),0.02,0.65,0.94,pi2,0.02,0.9606525911708254,0.9606525911708254,9.71,0.97,26.969651442307693,True
pi3,LogisticRegression(max_iter=100000),0.01,0.65,0.95,pi4,0.0,0.9482262703739214,0.9491850431447747,10.02,0.97,26.969651442307693,True
pi2,LogisticRegression(max_iter=100000),0.02,1.05,0.97,pi4,0.01,0.9605963791267306,0.9605963791267306,24.79,0.97,26.38763427734375,False
pi2,LogisticRegression(max_iter=100000),0.02,1.05,0.97,pi5,0.01,0.9595098561534363,0.9611081513052744,19.39,0.98,26.38763427734375,False
pi4,LogisticRegression(max_iter=100000),0.02,1.01,0.96,pi2,0.01,0.9738805970149254,0.9738805970149254,24.79,0.98,26.38763427734375,False
pi4,LogisticRegression(max_iter=100000),0.02,1.01,0.96,pi3,0.0,0.960042621204049,0.9637719765583378,14.11,0.99,26.38763427734375,False
pi4,LogisticRegression(max_iter=100000),0.02,1.01,0.96,pi5,0.0,0.9595098561534363,0.9611081513052744,16.23,0.98,26.38763427734375,False
pi5,LogisticRegression(max_iter=100000),0.02,1.02,0.96,pi2,0.01,0.9738805970149254,0.9738805970149254,19.39,0.97,26.38763427734375,False
pi5,LogisticRegression(max_iter=100000),0.02,1.02,0.96,pi3,0.0,0.9637719765583378,0.9637719765583378,18.23,0.96,26.38763427734375,False
pi5,LogisticRegression(max_iter=100000),0.02,1.02,0.96,pi4,0.0,0.9605963791267306,0.9605963791267306,16.23,0.95,26.38763427734375,False
pi3,LogisticRegression(max_iter=100000),0.02,0.95,0.96,pi4,0.0,0.9605963791267306,0.9605963791267306,14.11,0.97,26.38763427734375,False
pi3,LogisticRegression(max_iter=100000),0.02,0.95,0.96,pi5,0.0,0.961640916355887,0.9611081513052744,18.23,0.98,26.38763427734375,False
