model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi1,LogisticRegression(max_iter=100000),0.98,0.06,3.19,pi3,0.0,0.9855072463768116,0.9855072463768116,34.38,0.99,41.30556640625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.06,3.19,pi6,0.01,0.9875904860392968,0.9875904860392968,36.4,0.0,41.30556640625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.06,3.19,pi7,0.0,0.9808587687532333,0.9808587687532333,33.34,0.0,41.30556640625,False
pi1,LogisticRegression(max_iter=100000),0.98,0.06,3.19,pi8,0.32,0.6644260599793175,0.7001034126163392,37.46,0.0,41.30556640625,False
pi3,LogisticRegression(max_iter=100000),0.99,0.09,3.48,pi1,0.0,0.9813760993274703,0.9813760993274703,34.38,0.99,41.30556640625,False
pi3,LogisticRegression(max_iter=100000),0.99,0.09,3.48,pi5,0.01,0.9803820340733093,0.9803820340733093,42.58,0.0,41.30556640625,False
pi3,LogisticRegression(max_iter=100000),0.99,0.09,3.48,pi6,0.0,0.9875904860392968,0.9875904860392968,33.84,0.0,41.30556640625,False
pi3,LogisticRegression(max_iter=100000),0.99,0.09,3.48,pi7,0.0,0.9808587687532333,0.9808587687532333,32.57,0.0,41.30556640625,False
pi3,LogisticRegression(max_iter=100000),0.99,0.09,3.48,pi8,0.32,0.6623578076525336,0.7001034126163392,33.1,0.0,41.30556640625,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.77,pi1,0.01,0.9813760993274703,0.9813760993274703,36.4,0.0,41.30556640625,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.77,pi3,0.0,0.9855072463768116,0.9855072463768116,33.84,0.0,41.30556640625,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.77,pi7,0.01,0.9808587687532333,0.9808587687532333,35.77,0.98,41.30556640625,False
pi6,LogisticRegression(max_iter=100000),0.99,0.09,6.77,pi8,0.45,0.5372285418821097,0.7001034126163392,32.71,0.98,41.30556640625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi1,0.0,0.9813760993274703,0.9813760993274703,33.34,0.0,41.30556640625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi3,0.0,0.9855072463768116,0.9855072463768116,32.57,0.0,41.30556640625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi6,0.01,0.9875904860392968,0.9875904860392968,35.77,0.99,41.30556640625,False
pi7,LogisticRegression(max_iter=100000),0.98,0.08,3.32,pi8,0.31,0.6670113753877973,0.7001034126163392,34.44,0.99,41.30556640625,False
pi8,LogisticRegression(max_iter=100000),0.7,0.09,68.98,pi1,0.28,0.9813760993274703,0.9813760993274703,37.46,0.0,41.30556640625,False
pi8,LogisticRegression(max_iter=100000),0.7,0.09,68.98,pi3,0.29,0.9855072463768116,0.9855072463768116,33.1,0.0,41.30556640625,False
pi8,LogisticRegression(max_iter=100000),0.7,0.09,68.98,pi4,0.29,0.9855222337125129,0.9855222337125129,40.31,0.99,41.30556640625,False
pi8,LogisticRegression(max_iter=100000),0.7,0.09,68.98,pi6,0.29,0.9875904860392968,0.9875904860392968,32.71,0.99,41.30556640625,False
pi8,LogisticRegression(max_iter=100000),0.7,0.09,68.98,pi7,0.28,0.9808587687532333,0.9808587687532333,34.44,0.99,41.30556640625,False
pi5,LogisticRegression(max_iter=100000),0.98,0.06,3.03,pi3,0.01,0.9855072463768116,0.9855072463768116,42.58,0.0,41.30556640625,False
pi4,LogisticRegression(max_iter=100000),0.99,0.07,3.47,pi8,0.32,0.6670113753877973,0.7001034126163392,40.31,0.98,41.30556640625,False
pi1,LogisticRegression(max_iter=100000),0.83,0.02,0.97,pi3,0.01,0.82,0.86,1072.71,0.97,1910.4576480263158,True
pi1,LogisticRegression(max_iter=100000),0.83,0.02,0.97,pi4,0.03,0.8653846153846154,0.8653846153846154,1161.33,0.0,1910.4576480263158,True
pi1,LogisticRegression(max_iter=100000),0.83,0.02,0.97,pi5,0.0,0.8309859154929577,0.8450704225352113,974.87,0.0,1910.4576480263158,True
pi1,LogisticRegression(max_iter=100000),0.83,0.02,0.97,pi6,0.12,0.9523809523809523,0.9523809523809523,793.33,0.0,1910.4576480263158,True
pi1,LogisticRegression(max_iter=100000),0.83,0.02,0.97,pi7,0.08,0.746268656716418,0.8059701492537313,1522.34,0.0,1910.4576480263158,True
pi1,LogisticRegression(max_iter=100000),0.83,0.02,0.97,pi8,0.46,0.37184115523465705,0.6955475330926595,677.9,0.0,1910.4576480263158,True
pi3,LogisticRegression(max_iter=100000),0.86,0.01,0.8,pi1,0.04,0.8153846153846154,0.8307692307692308,1072.71,0.98,1910.4576480263158,True
pi3,LogisticRegression(max_iter=100000),0.86,0.01,0.8,pi5,0.01,0.8450704225352113,0.8450704225352113,1096.99,0.0,1910.4576480263158,True
pi3,LogisticRegression(max_iter=100000),0.86,0.01,0.8,pi6,0.09,0.9523809523809523,0.9523809523809523,1172.71,0.0,1910.4576480263158,True
pi3,LogisticRegression(max_iter=100000),0.86,0.01,0.8,pi7,0.08,0.7761194029850746,0.8059701492537313,1473.31,0.0,1910.4576480263158,True
pi3,LogisticRegression(max_iter=100000),0.86,0.01,0.8,pi8,0.35,0.5102286401925391,0.6955475330926595,1427.22,0.0,1910.4576480263158,True
pi4,LogisticRegression(max_iter=100000),0.87,0.02,0.86,pi1,0.03,0.8307692307692308,0.8307692307692308,1161.33,0.0,1910.4576480263158,True
pi4,LogisticRegression(max_iter=100000),0.87,0.02,0.86,pi5,0.01,0.8591549295774648,0.8450704225352113,1775.77,0.98,1910.4576480263158,True
pi4,LogisticRegression(max_iter=100000),0.87,0.02,0.86,pi6,0.09,0.9523809523809523,0.9523809523809523,1939.93,0.87,1910.4576480263158,True
pi4,LogisticRegression(max_iter=100000),0.87,0.02,0.86,pi8,0.49,0.37184115523465705,0.6955475330926595,1113.79,0.93,1910.4576480263158,True
pi5,LogisticRegression(max_iter=100000),0.85,0.01,0.77,pi1,0.05,0.8,0.8307692307692308,974.87,0.0,1910.4576480263158,True
pi5,LogisticRegression(max_iter=100000),0.85,0.01,0.77,pi3,0.01,0.86,0.86,1096.99,0.0,1910.4576480263158,True
pi5,LogisticRegression(max_iter=100000),0.85,0.01,0.77,pi4,0.02,0.8653846153846154,0.8653846153846154,1775.77,0.88,1910.4576480263158,True
pi5,LogisticRegression(max_iter=100000),0.85,0.01,0.77,pi6,0.11,0.9523809523809523,0.9523809523809523,1002.54,0.87,1910.4576480263158,True
pi5,LogisticRegression(max_iter=100000),0.85,0.01,0.77,pi7,0.08,0.7611940298507462,0.8059701492537313,1251.27,0.82,1910.4576480263158,True
pi5,LogisticRegression(max_iter=100000),0.85,0.01,0.77,pi8,0.47,0.37184115523465705,0.6955475330926595,1423.24,0.9,1910.4576480263158,True
pi6,LogisticRegression(max_iter=100000),0.95,0.02,1.87,pi1,0.14,0.8153846153846154,0.8307692307692308,793.33,0.0,1910.4576480263158,True
pi6,LogisticRegression(max_iter=100000),0.95,0.02,1.87,pi3,0.09,0.86,0.86,1172.71,0.0,1910.4576480263158,True
pi6,LogisticRegression(max_iter=100000),0.95,0.02,1.87,pi4,0.09,0.8653846153846154,0.8653846153846154,1939.93,0.88,1910.4576480263158,True
pi6,LogisticRegression(max_iter=100000),0.95,0.02,1.87,pi5,0.11,0.8450704225352113,0.8450704225352113,1002.54,0.96,1910.4576480263158,True
pi6,LogisticRegression(max_iter=100000),0.95,0.02,1.87,pi7,0.18,0.7761194029850746,0.8059701492537313,1382.22,0.76,1910.4576480263158,True
pi6,LogisticRegression(max_iter=100000),0.95,0.02,1.87,pi8,0.44,0.5102286401925391,0.6955475330926595,1149.69,0.86,1910.4576480263158,True
pi7,LogisticRegression(max_iter=100000),0.81,0.01,0.77,pi1,0.06,0.8615384615384616,0.8307692307692308,1522.34,0.0,1910.4576480263158,True
pi7,LogisticRegression(max_iter=100000),0.81,0.01,0.77,pi3,0.05,0.86,0.86,1473.31,0.0,1910.4576480263158,True
pi7,LogisticRegression(max_iter=100000),0.81,0.01,0.77,pi5,0.07,0.8732394366197183,0.8450704225352113,1251.27,0.98,1910.4576480263158,True
pi7,LogisticRegression(max_iter=100000),0.81,0.01,0.77,pi6,0.12,0.9285714285714286,0.9523809523809523,1382.22,0.94,1910.4576480263158,True
pi7,LogisticRegression(max_iter=100000),0.81,0.01,0.77,pi8,0.43,0.37184115523465705,0.6955475330926595,1952.12,1.0,1910.4576480263158,True
pi8,LogisticRegression(max_iter=100000),0.7,0.08,7.55,pi1,0.22,0.47692307692307695,0.8307692307692308,677.9,0.0,1910.4576480263158,True
pi8,LogisticRegression(max_iter=100000),0.7,0.08,7.55,pi3,0.2,0.5,0.86,1427.22,0.0,1910.4576480263158,True
pi8,LogisticRegression(max_iter=100000),0.7,0.08,7.55,pi4,0.2,0.5,0.8653846153846154,1113.79,0.86,1910.4576480263158,True
pi8,LogisticRegression(max_iter=100000),0.7,0.08,7.55,pi5,0.2,0.49295774647887325,0.8450704225352113,1423.24,0.92,1910.4576480263158,True
pi8,LogisticRegression(max_iter=100000),0.7,0.08,7.55,pi6,0.17,0.5238095238095238,0.9523809523809523,1149.69,0.87,1910.4576480263158,True
pi8,LogisticRegression(max_iter=100000),0.7,0.08,7.55,pi7,0.19,0.5074626865671642,0.8059701492537313,1952.12,0.73,1910.4576480263158,True
pi2,LogisticRegression(max_iter=100000),0.84,0.02,0.84,pi10,0.3,0.5398671096345515,0.717607973421927,660.42,0.0,1910.4576480263158,True
pi10,LogisticRegression(max_iter=100000),0.72,0.02,1.75,pi2,0.25,0.47058823529411764,0.8431372549019608,660.42,0.48,1910.4576480263158,True
