model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.66,0.96,pi3,0.01,0.9428982725527831,0.946257197696737,14.2,0.99,20.38885498046875,True
pi3,LogisticRegression(max_iter=100000),0.01,0.6,0.95,pi2,0.01,0.9544145873320538,0.9563339731285988,14.2,0.98,20.38885498046875,True
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.96,pi5,0.01,0.9423076923076923,0.9399038461538461,17.17,0.98,20.38885498046875,True
pi5,LogisticRegression(max_iter=100000),0.01,0.61,0.94,pi4,0.02,0.9572936660268714,0.9572936660268714,17.17,0.97,20.38885498046875,True
pi3,LogisticRegression(max_iter=100000),0.01,0.65,0.96,pi4,0.01,0.970682302771855,0.970682302771855,18.89,0.97,21.956787109375,False
pi3,LogisticRegression(max_iter=100000),0.01,0.65,0.96,pi5,0.0,0.9572649572649573,0.9604700854700855,23.04,0.96,21.956787109375,False
pi4,LogisticRegression(max_iter=100000),0.01,0.67,0.97,pi3,0.01,0.960042621204049,0.9595098561534363,18.89,0.99,21.956787109375,False
pi4,LogisticRegression(max_iter=100000),0.01,0.67,0.97,pi5,0.01,0.9594017094017094,0.9604700854700855,17.0,0.98,21.956787109375,False
pi5,LogisticRegression(max_iter=100000),0.01,0.65,0.96,pi3,0.0,0.960042621204049,0.9595098561534363,23.04,0.96,21.956787109375,False
pi5,LogisticRegression(max_iter=100000),0.01,0.65,0.96,pi4,0.01,0.970682302771855,0.970682302771855,17.0,0.95,21.956787109375,False
