model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.67,0.96,pi5,0.01,0.9463344513655966,0.9448969813128894,25.97,0.99,29.191650390625,True
pi5,LogisticRegression(max_iter=100000),0.01,0.59,0.94,pi2,0.01,0.9573141486810551,0.9573141486810551,25.97,0.98,29.191650390625,True
pi3,LogisticRegression(max_iter=100000),0.02,0.62,0.95,pi4,0.0,0.9500720115218435,0.9510321651464234,17.55,0.98,29.191650390625,True
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.95,pi3,0.0,0.9467114738358138,0.9500720115218435,17.55,0.99,29.191650390625,True
pi3,LogisticRegression(max_iter=100000),0.01,0.55,0.97,pi4,0.0,0.963121325494388,0.9620523784072689,21.55,0.97,28.51329627403846,False
pi3,LogisticRegression(max_iter=100000),0.01,0.55,0.97,pi5,0.0,0.9631803628601922,0.9631803628601922,28.81,0.98,28.51329627403846,False
pi4,LogisticRegression(max_iter=100000),0.01,0.58,0.96,pi3,0.0,0.9610458911419424,0.9658484525080042,21.55,0.99,28.51329627403846,False
pi4,LogisticRegression(max_iter=100000),0.01,0.58,0.96,pi5,0.0,0.9631803628601922,0.9631803628601922,24.07,0.96,28.51329627403846,False
pi5,LogisticRegression(max_iter=100000),0.01,0.71,0.96,pi3,0.0,0.9658484525080042,0.9658484525080042,28.81,0.97,28.51329627403846,False
pi5,LogisticRegression(max_iter=100000),0.01,0.71,0.96,pi4,0.0,0.963121325494388,0.9620523784072689,24.07,0.95,28.51329627403846,False
