model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.79,0.95,pi4,0.0,0.9558117195004803,0.9538904899135446,23.75,0.98,36.051334635416666,True
pi2,LogisticRegression(max_iter=100000),0.01,0.79,0.95,pi5,0.01,0.9424460431654677,0.9400479616306955,15.18,0.98,36.051334635416666,True
pi4,LogisticRegression(max_iter=100000),0.02,0.8,0.95,pi2,0.0,0.9511025886864813,0.9549376797698945,23.75,0.98,36.051334635416666,True
pi4,LogisticRegression(max_iter=100000),0.02,0.8,0.95,pi3,0.01,0.9453237410071943,0.947242206235012,11.98,0.98,36.051334635416666,True
pi5,LogisticRegression(max_iter=100000),0.01,0.85,0.94,pi2,0.01,0.9506232023010547,0.9549376797698945,15.18,0.98,36.051334635416666,True
pi3,LogisticRegression(max_iter=100000),0.01,0.81,0.95,pi4,0.01,0.9558117195004803,0.9538904899135446,11.98,0.97,36.051334635416666,True
pi2,LogisticRegression(max_iter=100000),0.01,0.75,0.96,pi4,0.0,0.9669333333333333,0.9674666666666667,20.21,0.95,22.232014973958332,False
pi2,LogisticRegression(max_iter=100000),0.01,0.75,0.96,pi5,0.0,0.9615384615384616,0.9610042735042735,15.19,0.97,22.232014973958332,False
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.97,pi2,0.01,0.961640916355887,0.9632392115077251,20.21,0.99,22.232014973958332,False
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.97,pi3,0.01,0.9579115610015982,0.9621736814064997,18.79,0.99,22.232014973958332,False
pi4,LogisticRegression(max_iter=100000),0.01,0.64,0.97,pi5,0.01,0.9604700854700855,0.9610042735042735,21.53,0.99,22.232014973958332,False
pi5,LogisticRegression(max_iter=100000),0.01,0.72,0.96,pi2,0.0,0.9611081513052744,0.9632392115077251,15.19,0.97,22.232014973958332,False
pi5,LogisticRegression(max_iter=100000),0.01,0.72,0.96,pi4,0.01,0.9669333333333333,0.9674666666666667,21.53,0.95,22.232014973958332,False
pi3,"LogisticRegression(C=0.01, max_iter=100000)",0.01,0.68,0.96,pi4,0.0,0.9669333333333333,0.9674666666666667,18.79,0.96,22.232014973958332,False
