model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.54,0.97,pi3,0.01,0.9637333333333333,0.9637333333333333,24.5,0.99,24.547776442307693,False
pi2,LogisticRegression(max_iter=100000),0.01,0.54,0.97,pi4,0.01,0.9636946075814202,0.9636946075814202,23.68,0.97,24.547776442307693,False
pi2,LogisticRegression(max_iter=100000),0.01,0.54,0.97,pi5,0.01,0.961211477151966,0.961211477151966,24.41,0.97,24.547776442307693,False
pi3,LogisticRegression(max_iter=100000),0.01,0.65,0.96,pi2,0.01,0.9749733759318424,0.9749733759318424,24.5,0.97,24.547776442307693,False
pi3,LogisticRegression(max_iter=100000),0.01,0.65,0.96,pi4,0.0,0.9636946075814202,0.9636946075814202,24.48,0.95,24.547776442307693,False
pi3,LogisticRegression(max_iter=100000),0.01,0.65,0.96,pi5,0.0,0.961211477151966,0.961211477151966,24.43,0.96,24.547776442307693,False
pi4,LogisticRegression(max_iter=100000),0.01,0.55,0.96,pi2,0.01,0.9749733759318424,0.9749733759318424,23.68,0.99,24.547776442307693,False
pi4,LogisticRegression(max_iter=100000),0.01,0.55,0.96,pi3,0.0,0.9637333333333333,0.9637333333333333,24.48,0.99,24.547776442307693,False
pi5,LogisticRegression(max_iter=100000),0.01,0.55,0.96,pi2,0.01,0.9749733759318424,0.9749733759318424,24.41,0.96,24.547776442307693,False
pi5,LogisticRegression(max_iter=100000),0.01,0.55,0.96,pi3,0.0,0.9626666666666667,0.9637333333333333,24.43,0.96,24.547776442307693,False
