model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi3,LogisticRegression(max_iter=100000),0.01,0.72,0.95,pi5,0.0,0.9481018740989908,0.9481018740989908,23.67,0.97,31.07839626736111,True
pi5,LogisticRegression(max_iter=100000),0.01,0.81,0.95,pi3,0.0,0.9496644295302014,0.9520613614573347,23.67,0.97,31.07839626736111,True
pi2,LogisticRegression(max_iter=100000),0.01,0.72,0.97,pi5,0.01,0.9631410256410257,0.9631410256410257,18.42,0.98,32.89521484375,False
pi5,LogisticRegression(max_iter=100000),0.01,0.71,0.96,pi2,0.01,0.9728289824187534,0.9728289824187534,18.42,0.96,32.89521484375,False
