model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.53,0.98,pi3,0.01,0.9680473372781065,0.9680473372781065,29.86,0.99,39.507161458333336,True
pi2,LogisticRegression(max_iter=100000),0.01,0.53,0.98,pi5,0.01,0.969768820391227,0.969768820391227,36.25,0.98,39.507161458333336,True
pi3,LogisticRegression(max_iter=100000),0.01,0.49,0.97,pi2,0.01,0.9775413711583925,0.9775413711583925,29.86,0.98,39.507161458333336,True
pi3,LogisticRegression(max_iter=100000),0.01,0.49,0.97,pi5,0.0,0.969768820391227,0.969768820391227,36.95,0.99,39.507161458333336,True
pi5,LogisticRegression(max_iter=100000),0.01,0.54,0.97,pi2,0.01,0.9775413711583925,0.9775413711583925,36.25,0.96,39.507161458333336,True
pi5,LogisticRegression(max_iter=100000),0.01,0.54,0.97,pi3,0.0,0.9680473372781065,0.9680473372781065,36.95,0.96,39.507161458333336,True
pi5,LogisticRegression(max_iter=100000),0.01,0.54,0.97,pi4,0.01,0.9810874704491725,0.9810874704491725,25.84,0.95,39.507161458333336,True
pi4,LogisticRegression(max_iter=100000),0.01,0.58,0.98,pi5,0.01,0.969768820391227,0.969768820391227,25.84,0.97,39.507161458333336,True
pi2,LogisticRegression(max_iter=100000),0.01,0.52,0.98,pi3,0.01,0.975,0.975,33.85,0.99,46.19193892045455,False
pi2,LogisticRegression(max_iter=100000),0.01,0.52,0.98,pi5,0.01,0.974934036939314,0.974934036939314,34.19,0.97,46.19193892045455,False
pi3,LogisticRegression(max_iter=100000),0.01,0.48,0.98,pi2,0.01,0.9809711286089239,0.9809711286089239,33.85,0.97,46.19193892045455,False
pi3,LogisticRegression(max_iter=100000),0.01,0.48,0.98,pi5,0.0,0.974934036939314,0.974934036939314,44.29,0.97,46.19193892045455,False
pi5,LogisticRegression(max_iter=100000),0.01,0.56,0.97,pi2,0.01,0.9809711286089239,0.9809711286089239,34.19,0.96,46.19193892045455,False
pi5,LogisticRegression(max_iter=100000),0.01,0.56,0.97,pi3,0.0,0.975,0.975,44.29,0.95,46.19193892045455,False
pi5,LogisticRegression(max_iter=100000),0.01,0.56,0.97,pi4,0.01,0.9855832241153342,0.9855832241153342,32.77,0.95,46.19193892045455,False
pi4,LogisticRegression(max_iter=100000),0.01,0.55,0.99,pi5,0.01,0.974934036939314,0.974934036939314,32.77,0.95,46.19193892045455,False
