model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi3,LogisticRegression(max_iter=100000),0.02,0.71,0.95,pi4,0.0,0.9539126260201632,0.9529524723955833,9.04,0.99,10.774609375,True
pi4,LogisticRegression(max_iter=100000),0.01,0.63,0.95,pi3,0.01,0.9476464937560038,0.9490874159462056,9.04,0.98,10.774609375,True
