model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.98,0.06,3.26,pi4,0.01,0.988089073019161,0.988089073019161,33.9,0.99,39.8203125,True
pi2,LogisticRegression(max_iter=100000),0.98,0.06,3.26,pi5,0.0,0.9819027921406411,0.9819027921406411,38.1,0.97,39.8203125,True
pi4,LogisticRegression(max_iter=100000),0.99,0.1,6.27,pi2,0.01,0.9798136645962733,0.9798136645962733,33.9,0.98,39.8203125,True
pi4,LogisticRegression(max_iter=100000),0.99,0.1,6.27,pi5,0.01,0.9819027921406411,0.9819027921406411,33.42,0.98,39.8203125,True
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.4,pi2,0.0,0.9798136645962733,0.9798136645962733,38.1,0.98,39.8203125,True
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.4,pi4,0.01,0.988089073019161,0.988089073019161,33.42,1.0,39.8203125,True
pi2,LogisticRegression(max_iter=100000),0.98,0.07,3.5,pi4,0.01,0.9907834101382489,0.9907834101382489,38.72,0.99,44.97685546875,False
pi2,LogisticRegression(max_iter=100000),0.98,0.07,3.5,pi5,0.01,0.9862148190695003,0.9862148190695003,42.24,0.98,44.97685546875,False
pi4,LogisticRegression(max_iter=100000),0.99,0.09,8.16,pi2,0.01,0.9810235767682576,0.9810235767682576,38.72,0.96,44.97685546875,False
pi4,LogisticRegression(max_iter=100000),0.99,0.09,8.16,pi5,0.0,0.9862148190695003,0.9862148190695003,37.91,0.99,44.97685546875,False
pi5,LogisticRegression(max_iter=100000),0.99,0.07,3.07,pi2,0.01,0.9810235767682576,0.9810235767682576,42.24,0.97,44.97685546875,False
pi5,LogisticRegression(max_iter=100000),0.99,0.07,3.07,pi4,0.0,0.9907834101382489,0.9907834101382489,37.91,1.0,44.97685546875,False
