model_node,model,train_time,optimisation_time,model_r2,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.01,0.69,0.95,pi3,0.0,0.9544364508393285,0.958273381294964,35.2,0.98,34.998111979166666,True
pi3,LogisticRegression(max_iter=100000),0.01,0.67,0.96,pi2,0.01,0.9525634882606613,0.9520843315764255,35.2,0.98,34.998111979166666,True
pi3,LogisticRegression(max_iter=100000),0.01,0.67,0.96,pi4,0.0,0.9535885167464114,0.9535885167464114,24.45,0.98,34.998111979166666,True
pi3,LogisticRegression(max_iter=100000),0.01,0.67,0.96,pi5,0.0,0.9554170661553212,0.9549376797698945,18.64,0.98,34.998111979166666,True
pi4,LogisticRegression(max_iter=100000),0.01,0.75,0.95,pi3,0.0,0.9544364508393285,0.958273381294964,24.45,0.98,34.998111979166666,True
pi4,LogisticRegression(max_iter=100000),0.01,0.75,0.95,pi5,0.0,0.9539789069990412,0.9549376797698945,10.75,0.98,34.998111979166666,True
pi5,LogisticRegression(max_iter=100000),0.01,0.77,0.95,pi3,0.0,0.9553956834532374,0.958273381294964,18.64,0.98,34.998111979166666,True
pi5,LogisticRegression(max_iter=100000),0.01,0.77,0.95,pi4,0.0,0.9545454545454546,0.9535885167464114,10.75,0.98,34.998111979166666,True
pi3,LogisticRegression(max_iter=100000),0.01,0.77,0.97,pi4,0.0,0.9665249734325186,0.9670563230605739,18.25,0.98,38.73565673828125,False
pi3,LogisticRegression(max_iter=100000),0.01,0.77,0.97,pi5,0.0,0.9701492537313433,0.9701492537313433,14.96,0.98,38.73565673828125,False
pi4,LogisticRegression(max_iter=100000),0.01,0.61,0.97,pi3,0.0,0.97016515716569,0.9712306872669153,18.25,0.99,38.73565673828125,False
pi4,LogisticRegression(max_iter=100000),0.01,0.61,0.97,pi5,0.0,0.9701492537313433,0.9701492537313433,17.19,0.98,38.73565673828125,False
pi5,LogisticRegression(max_iter=100000),0.01,0.66,0.97,pi3,0.0,0.9706979222163026,0.9712306872669153,14.96,0.99,38.73565673828125,False
pi5,LogisticRegression(max_iter=100000),0.01,0.66,0.97,pi4,0.0,0.9670563230605739,0.9670563230605739,17.19,0.98,38.73565673828125,False
