model_node,model,model_r2,train_time,optimisation_time,test_node,discrepancy,model_r2-d,test_r2,mmd_score,ocsvm_score,asmmd,balanced
pi2,LogisticRegression(max_iter=100000),0.98,0.07,3.19,pi4,0.01,0.9886187273667874,0.9886187273667874,35.95,0.99,48.04306640625,True
pi2,LogisticRegression(max_iter=100000),0.98,0.07,3.19,pi5,0.0,0.9803516028955532,0.9803516028955532,40.55,0.98,48.04306640625,True
pi4,LogisticRegression(max_iter=100000),0.99,0.09,4.31,pi2,0.01,0.9798241076047595,0.9798241076047595,35.95,0.99,48.04306640625,True
pi4,LogisticRegression(max_iter=100000),0.99,0.09,4.31,pi5,0.01,0.9803516028955532,0.9803516028955532,46.9,0.99,48.04306640625,True
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.23,pi2,0.0,0.9798241076047595,0.9798241076047595,40.55,0.99,48.04306640625,True
pi5,LogisticRegression(max_iter=100000),0.98,0.08,3.23,pi4,0.01,0.9886187273667874,0.9886187273667874,46.9,0.99,48.04306640625,True
pi2,LogisticRegression(max_iter=100000),0.98,0.08,3.4,pi4,0.01,0.9907993099482462,0.9907993099482462,40.16,0.98,54.8138671875,False
pi2,LogisticRegression(max_iter=100000),0.98,0.08,3.4,pi5,0.01,0.9844916714531878,0.9844916714531878,47.16,0.99,54.8138671875,False
pi4,LogisticRegression(max_iter=100000),0.99,0.07,6.71,pi2,0.01,0.9787234042553191,0.9787234042553191,40.16,0.98,54.8138671875,False
pi4,LogisticRegression(max_iter=100000),0.99,0.07,6.71,pi5,0.01,0.9844916714531878,0.9844916714531878,53.1,0.99,54.8138671875,False
pi5,LogisticRegression(max_iter=100000),0.98,0.06,4.15,pi2,0.01,0.9787234042553191,0.9787234042553191,47.16,0.97,54.8138671875,False
pi5,LogisticRegression(max_iter=100000),0.98,0.06,4.15,pi4,0.01,0.9907993099482462,0.9907993099482462,53.1,0.97,54.8138671875,False
