model_node,model,score,test_node,discrepancy,method,std,experiment
pi3,"SVR(C=100, epsilon=1)",0.4306475916067851,pi5,0.5258066742545452,MMD,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.734413422446974,pi3,0.49353913116911774,MMD,False,2
pi3,"SVR(C=0.01, epsilon=1, kernel='linear')",0.3203512369071878,pi5,0.10767173205845104,MMD,False,2
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.6436416463197994,pi3,0.2640767559793378,MMD,False,2
pi3,LinearRegression(),0.3635558245926911,pi5,0.6151996900745833,MMD,False,2
pi5,LinearRegression(normalize=True),0.6460542458887257,pi3,0.26014016947453666,MMD,False,2
pi2,"SVR(C=100, epsilon=0.2)",0.7581359094095574,pi4,0.2593749854811943,OCSVM,False,2
pi2,"SVR(C=100, epsilon=0.2)",0.7581359094095574,pi5,25.671280820809343,OCSVM,False,2
pi4,"SVR(C=10, epsilon=1)",0.5099260635072885,pi2,6.381139616348749,OCSVM,False,2
pi4,"SVR(C=10, epsilon=1)",0.5099260635072885,pi3,10.853266919645735,OCSVM,False,2
pi4,"SVR(C=10, epsilon=1)",0.5099260635072885,pi5,12.28783722739694,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.734413422446974,pi2,18.44697354851301,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.734413422446974,pi3,0.49353913116911774,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.734413422446974,pi4,3.4293542584012346,OCSVM,False,2
pi3,"SVR(C=100, epsilon=1)",0.4306475916067851,pi4,4.90101398482847,OCSVM,False,2
pi3,"SVR(C=100, epsilon=1)",0.4306475916067851,pi5,0.5258066742545452,OCSVM,False,2
pi2,"SVR(C=1, epsilon=1, kernel='linear')",0.7224011935095042,pi4,0.11753572624898534,OCSVM,False,2
pi2,"SVR(C=1, epsilon=1, kernel='linear')",0.7224011935095042,pi5,26.944666429833983,OCSVM,False,2
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.0017108818914617352,pi2,1.1820188176363917,OCSVM,False,2
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.0017108818914617352,pi3,11.367446638309369,OCSVM,False,2
pi4,"SVR(C=1e-05, epsilon=0, kernel='linear')",-0.0017108818914617352,pi5,36.830205253262775,OCSVM,False,2
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.6436416463197994,pi2,17.982069018463687,OCSVM,False,2
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.6436416463197994,pi3,0.2640767559793378,OCSVM,False,2
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.6436416463197994,pi4,3.05634460416861,OCSVM,False,2
pi3,"SVR(C=0.01, epsilon=1, kernel='linear')",0.3203512369071878,pi4,4.199527458171893,OCSVM,False,2
pi3,"SVR(C=0.01, epsilon=1, kernel='linear')",0.3203512369071878,pi5,0.10767173205845104,OCSVM,False,2
pi2,LinearRegression(normalize=True),0.7284200685015496,pi4,0.16087944358729278,OCSVM,False,2
pi2,LinearRegression(normalize=True),0.7284200685015496,pi5,26.11781521747581,OCSVM,False,2
pi4,LinearRegression(),0.034209774416909755,pi2,0.1751599005392137,OCSVM,False,2
pi4,LinearRegression(),0.034209774416909755,pi3,10.41374628989421,OCSVM,False,2
pi4,LinearRegression(),0.034209774416909755,pi5,25.04819711199731,OCSVM,False,2
pi5,LinearRegression(normalize=True),0.6460542458887257,pi2,18.335302582377725,OCSVM,False,2
pi5,LinearRegression(normalize=True),0.6460542458887257,pi3,0.26014016947453666,OCSVM,False,2
pi5,LinearRegression(normalize=True),0.6460542458887257,pi4,3.196684456262328,OCSVM,False,2
pi3,LinearRegression(),0.3635558245926911,pi4,4.524946966263724,OCSVM,False,2
pi3,LinearRegression(),0.3635558245926911,pi5,0.6151996900745833,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.734413422446974,pi3,0.49353913116911774,MMD OCSVM Verify,False,2
pi3,"SVR(C=100, epsilon=1)",0.4306475916067851,pi5,0.5258066742545452,MMD OCSVM Verify,False,2
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.6436416463197994,pi3,0.2640767559793378,MMD OCSVM Verify,False,2
pi3,"SVR(C=0.01, epsilon=1, kernel='linear')",0.3203512369071878,pi5,0.10767173205845104,MMD OCSVM Verify,False,2
pi5,LinearRegression(normalize=True),0.6460542458887257,pi3,0.26014016947453666,MMD OCSVM Verify,False,2
pi3,LinearRegression(),0.3635558245926911,pi5,0.6151996900745833,MMD OCSVM Verify,False,2
pi3,"SVR(C=1, epsilon=0.2)",0.40489596176558984,pi5,0.49928532351831456,MMD,True,2
pi5,SVR(),0.7259335495812494,pi3,0.5177487833161911,MMD,True,2
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.33130066938196656,pi5,0.13835628351176377,MMD,True,2
pi5,"SVR(C=1, epsilon=0.2, kernel='linear')",0.6440267880006239,pi3,0.28806873648921705,MMD,True,2
pi3,LinearRegression(),0.3635558849356766,pi5,0.6151990356505093,MMD,True,2
pi5,LinearRegression(normalize=True),0.6460539907301568,pi3,0.2601405166602654,MMD,True,2
pi2,SVR(C=10),0.7493847778776994,pi4,0.25029744113283303,OCSVM,True,2
pi2,SVR(C=10),0.7493847778776994,pi5,26.51420681519563,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.2)",0.5112863064946891,pi2,5.75528536013426,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.2)",0.5112863064946891,pi3,10.70976613179319,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.2)",0.5112863064946891,pi5,12.494240424997537,OCSVM,True,2
pi5,SVR(),0.7259335495812494,pi2,18.160521843567633,OCSVM,True,2
pi5,SVR(),0.7259335495812494,pi3,0.5177487833161911,OCSVM,True,2
pi5,SVR(),0.7259335495812494,pi4,3.737311893180318,OCSVM,True,2
pi3,"SVR(C=1, epsilon=0.2)",0.40489596176558984,pi4,4.916594681646371,OCSVM,True,2
pi3,"SVR(C=1, epsilon=0.2)",0.40489596176558984,pi5,0.49928532351831456,OCSVM,True,2
pi2,"SVR(C=10, epsilon=0.2, kernel='linear')",0.7231532699198172,pi4,0.1845415269257552,OCSVM,True,2
pi2,"SVR(C=10, epsilon=0.2, kernel='linear')",0.7231532699198172,pi5,27.003778746998268,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.5, kernel='linear')",0.02712856169875011,pi2,0.3011513611879242,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.5, kernel='linear')",0.02712856169875011,pi3,11.188005014957591,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.5, kernel='linear')",0.02712856169875011,pi5,29.415587632510853,OCSVM,True,2
pi5,"SVR(C=1, epsilon=0.2, kernel='linear')",0.6440267880006239,pi2,18.125526195036716,OCSVM,True,2
pi5,"SVR(C=1, epsilon=0.2, kernel='linear')",0.6440267880006239,pi3,0.28806873648921705,OCSVM,True,2
pi5,"SVR(C=1, epsilon=0.2, kernel='linear')",0.6440267880006239,pi4,3.0590840904763263,OCSVM,True,2
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.33130066938196656,pi4,4.294588605540747,OCSVM,True,2
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.33130066938196656,pi5,0.13835628351176377,OCSVM,True,2
pi2,LinearRegression(),0.7284199998371075,pi4,0.1608793028858927,OCSVM,True,2
pi2,LinearRegression(),0.7284199998371075,pi5,26.117817847084883,OCSVM,True,2
pi4,LinearRegression(),0.03420979600033902,pi2,0.17515976813198808,OCSVM,True,2
pi4,LinearRegression(),0.03420979600033902,pi3,10.413745144322446,OCSVM,True,2
pi4,LinearRegression(),0.03420979600033902,pi5,25.048194296929378,OCSVM,True,2
pi5,LinearRegression(normalize=True),0.6460539907301568,pi2,18.335297467639062,OCSVM,True,2
pi5,LinearRegression(normalize=True),0.6460539907301568,pi3,0.2601405166602654,OCSVM,True,2
pi5,LinearRegression(normalize=True),0.6460539907301568,pi4,3.196683756170982,OCSVM,True,2
pi3,LinearRegression(),0.3635558849356766,pi4,4.5249463732843545,OCSVM,True,2
pi3,LinearRegression(),0.3635558849356766,pi5,0.6151990356505093,OCSVM,True,2
pi5,SVR(),0.7259335495812494,pi3,0.5177487833161911,MMD OCSVM Verify,True,2
pi3,"SVR(C=1, epsilon=0.2)",0.40489596176558984,pi5,0.49928532351831456,MMD OCSVM Verify,True,2
pi5,"SVR(C=1, epsilon=0.2, kernel='linear')",0.6440267880006239,pi3,0.28806873648921705,MMD OCSVM Verify,True,2
pi3,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.33130066938196656,pi5,0.13835628351176377,MMD OCSVM Verify,True,2
pi5,LinearRegression(normalize=True),0.6460539907301568,pi3,0.2601405166602654,MMD OCSVM Verify,True,2
pi3,LinearRegression(),0.3635558849356766,pi5,0.6151990356505093,MMD OCSVM Verify,True,2
pi3,"SVR(C=0.1, epsilon=0.2)",0.13263527902767658,pi4,0.9972648444270167,MMD,False,3
pi4,SVR(C=100),0.9891991127290789,pi3,0.8052833461660296,MMD,False,3
pi3,SVR(kernel='linear'),0.023486110579064357,pi4,0.7489608192761988,MMD,False,3
pi4,"SVR(C=100, kernel='linear')",0.9851522299711383,pi3,1.97607275282189,MMD,False,3
pi3,LinearRegression(normalize=True),0.03639097710687078,pi4,0.5525042059131908,MMD,False,3
pi4,LinearRegression(),0.9851611143286061,pi3,1.934993947565307,MMD,False,3
pi2,"SVR(C=1, epsilon=0.2)",0.9409706678321509,pi4,2.35060556232928,OCSVM,False,3
pi4,SVR(C=100),0.9891991127290789,pi2,0.6940782432590552,OCSVM,False,3
pi4,SVR(C=100),0.9891991127290789,pi3,0.8052833461660296,OCSVM,False,3
pi3,"SVR(C=0.1, epsilon=0.2)",0.13263527902767658,pi4,0.9972648444270167,OCSVM,False,3
pi2,"SVR(C=0.01, epsilon=0.2, kernel='linear')",0.9363461348442732,pi4,0.07965041222143243,OCSVM,False,3
pi4,"SVR(C=100, kernel='linear')",0.9851522299711383,pi2,0.0300286711784723,OCSVM,False,3
pi4,"SVR(C=100, kernel='linear')",0.9851522299711383,pi3,1.97607275282189,OCSVM,False,3
pi3,SVR(kernel='linear'),0.023486110579064357,pi4,0.7489608192761988,OCSVM,False,3
pi2,LinearRegression(),0.9364866376720099,pi4,0.07579212693803516,OCSVM,False,3
pi4,LinearRegression(),0.9851611143286061,pi2,0.032534309257134186,OCSVM,False,3
pi4,LinearRegression(),0.9851611143286061,pi3,1.934993947565307,OCSVM,False,3
pi3,LinearRegression(normalize=True),0.03639097710687078,pi4,0.5525042059131908,OCSVM,False,3
pi4,SVR(C=100),0.9891991127290789,pi3,0.8052833461660296,MMD OCSVM Verify,False,3
pi3,"SVR(C=0.1, epsilon=0.2)",0.13263527902767658,pi4,0.9972648444270167,MMD OCSVM Verify,False,3
pi4,"SVR(C=100, kernel='linear')",0.9851522299711383,pi3,1.97607275282189,MMD OCSVM Verify,False,3
pi3,SVR(kernel='linear'),0.023486110579064357,pi4,0.7489608192761988,MMD OCSVM Verify,False,3
pi4,LinearRegression(),0.9851611143286061,pi3,1.934993947565307,MMD OCSVM Verify,False,3
pi3,LinearRegression(normalize=True),0.03639097710687078,pi4,0.5525042059131908,MMD OCSVM Verify,False,3
pi3,SVR(),0.11770889337360113,pi4,0.9986752455758273,MMD,True,3
