model_node,model,score,test_node,discrepancy,method,std,experiment,threshold,sample pair calculation
pi2,"SVR(C=10, epsilon=0.2)",0.9336377059258318,pi4,2.593623732162664,MMD,False,3,6.16,True
pi4,"SVR(C=100, epsilon=0.2)",0.9899732690522763,pi2,0.855622555073547,MMD,False,3,6.16,True
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9334335348379547,pi4,0.0006834050189290508,MMD,False,3,6.16,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9862244318395856,pi2,0.06861517307512366,MMD,False,3,6.16,True
pi2,LinearRegression(),0.9336321655175517,pi4,0.011174608664046959,MMD,False,3,6.16,True
pi4,LinearRegression(),0.9863993025962449,pi2,0.07482861399328788,MMD,False,3,6.16,True
pi2,SVR(),0.9349408274167429,pi4,2.3796610917209366,MMD,True,3,6.16,True
pi4,"SVR(C=10, epsilon=0.01)",0.9896146637104424,pi2,0.2881538660712123,MMD,True,3,6.16,True
pi2,SVR(kernel='linear'),0.9326580844987017,pi4,0.04572436144629222,MMD,True,3,6.16,True
pi4,SVR(kernel='linear'),0.9860908215418938,pi2,0.08827905450856477,MMD,True,3,6.16,True
pi2,LinearRegression(),0.9336322053779793,pi4,0.011174364327473874,MMD,True,3,6.16,True
pi4,LinearRegression(),0.9863992969300254,pi2,0.07482837907016948,MMD,True,3,6.16,True
pi2,"SVR(C=10, epsilon=0.2)",0.9336377059258318,pi4,2.593623732162664,OCSVM,False,3,0.88,True
pi4,"SVR(C=100, epsilon=0.2)",0.9899732690522763,pi2,0.855622555073547,OCSVM,False,3,0.62,True
pi4,"SVR(C=100, epsilon=0.2)",0.9899732690522763,pi3,1.4891711527183888,OCSVM,False,3,0.11,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.1659151130573684,pi4,0.20198170714262598,OCSVM,False,3,0.7,True
pi3,"SVR(C=0.1, epsilon=0.2)",0.1659151130573684,pi5,3.6092638947177034,OCSVM,False,3,1.0,True
pi5,"SVR(C=10, epsilon=0.01)",0.49490087480194955,pi3,163.2983616467532,OCSVM,False,3,0.23,True
pi2,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9334335348379547,pi4,0.0006834050189290508,OCSVM,False,3,0.88,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9862244318395856,pi2,0.06861517307512366,OCSVM,False,3,0.62,True
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9862244318395856,pi3,4.041778636017644,OCSVM,False,3,0.11,True
pi3,"SVR(C=0.0001, kernel='linear')",0.00010755177345023181,pi4,0.03737156494308691,OCSVM,False,3,0.7,True
pi3,"SVR(C=0.0001, kernel='linear')",0.00010755177345023181,pi5,3.545224686710403,OCSVM,False,3,1.0,True
pi5,SVR(kernel='linear'),0.46170867254853576,pi3,145.65931909580658,OCSVM,False,3,0.23,True
pi2,LinearRegression(),0.9336321655175517,pi4,0.011174608664046959,OCSVM,False,3,0.88,True
pi4,LinearRegression(),0.9863993025962449,pi2,0.07482861399328788,OCSVM,False,3,0.62,True
pi4,LinearRegression(),0.9863993025962449,pi3,3.691114136999161,OCSVM,False,3,0.11,True
pi3,LinearRegression(),0.03231177974455457,pi4,0.3340141171575598,OCSVM,False,3,0.7,True
pi3,LinearRegression(),0.03231177974455457,pi5,3.421549579152669,OCSVM,False,3,1.0,True
pi5,LinearRegression(),0.538658139710805,pi3,119.1459989420286,OCSVM,False,3,0.23,True
