model_node,model,score,test_node,discrepancy,method,std,experiment
pi2,"SVR(C=100, epsilon=0.2)",0.9897700815591681,pi4,0.0764181685781643,MMD,False,1
pi4,"SVR(C=100, epsilon=1)",0.9573863793858498,pi2,0.08775365617031994,MMD,False,1
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.984016892944753,pi4,0.0011229683376714483,MMD,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9204380408055052,pi2,0.0074290003731463106,MMD,False,1
pi2,LinearRegression(),0.9841755339501341,pi4,0.0026021722338229747,MMD,False,1
pi4,LinearRegression(),0.9236575822485001,pi2,0.0025202075381356437,MMD,False,1
pi2,"SVR(C=100, epsilon=0.2)",0.9897700815591681,pi4,0.0764181685781643,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1)",0.9573863793858498,pi2,0.08775365617031994,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1)",0.9573863793858498,pi3,0.3596730557650709,OCSVM,False,1
pi3,"SVR(C=100, epsilon=0.2)",0.9796865466214989,pi4,4.043929973071767,OCSVM,False,1
pi3,"SVR(C=100, epsilon=0.2)",0.9796865466214989,pi5,0.6355870798344564,OCSVM,False,1
pi5,"SVR(C=1, epsilon=1)",0.45155348731556944,pi3,1.2961265415986487,OCSVM,False,1
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.984016892944753,pi4,0.0011229683376714483,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9204380408055052,pi2,0.0074290003731463106,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9204380408055052,pi3,0.10322798526530008,OCSVM,False,1
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9171014583065445,pi4,0.4973872755701275,OCSVM,False,1
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9171014583065445,pi5,0.412125005581925,OCSVM,False,1
pi5,"SVR(C=0.01, epsilon=1, kernel='linear')",0.2691420612332771,pi3,1.0455367593865783,OCSVM,False,1
pi2,LinearRegression(),0.9841755339501341,pi4,0.0026021722338229747,OCSVM,False,1
pi4,LinearRegression(),0.9236575822485001,pi2,0.0025202075381356437,OCSVM,False,1
pi4,LinearRegression(),0.9236575822485001,pi3,0.16302116259670063,OCSVM,False,1
pi3,LinearRegression(),0.9182868093974814,pi4,0.6276953597098204,OCSVM,False,1
pi3,LinearRegression(),0.9182868093974814,pi5,0.5892741285948452,OCSVM,False,1
pi5,LinearRegression(),0.40836546605498836,pi3,0.6808002434974776,OCSVM,False,1
pi2,"SVR(C=100, epsilon=0.2)",0.9897700815591681,pi4,0.0764181685781643,MMD OCSVM Verify,False,1
pi4,"SVR(C=100, epsilon=1)",0.9573863793858498,pi2,0.08775365617031994,MMD OCSVM Verify,False,1
pi2,"SVR(C=10, epsilon=0.5, kernel='linear')",0.984016892944753,pi4,0.0011229683376714483,MMD OCSVM Verify,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.9204380408055052,pi2,0.0074290003731463106,MMD OCSVM Verify,False,1
pi2,LinearRegression(),0.9841755339501341,pi4,0.0026021722338229747,MMD OCSVM Verify,False,1
pi4,LinearRegression(),0.9236575822485001,pi2,0.0025202075381356437,MMD OCSVM Verify,False,1
pi2,SVR(C=100),0.9895703932980866,pi4,0.06685267247426285,MMD,True,1
pi4,"SVR(C=100, epsilon=0.2)",0.95957083167892,pi2,0.08686900777037143,MMD,True,1
pi2,SVR(kernel='linear'),0.9841456000562153,pi4,0.001970008201017337,MMD,True,1
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9227611592117698,pi2,0.004939256105265466,MMD,True,1
pi2,LinearRegression(),0.9841755408471067,pi4,0.002602159760198064,MMD,True,1
pi4,LinearRegression(),0.9236575599787424,pi2,0.002520214233232232,MMD,True,1
pi2,SVR(C=100),0.9895703932980866,pi4,0.06685267247426285,OCSVM,True,1
pi4,"SVR(C=100, epsilon=0.2)",0.95957083167892,pi2,0.08686900777037143,OCSVM,True,1
pi4,"SVR(C=100, epsilon=0.2)",0.95957083167892,pi3,0.2689166545397388,OCSVM,True,1
pi3,SVR(C=100),0.9780730033945251,pi4,4.222733185890356,OCSVM,True,1
pi3,SVR(C=100),0.9780730033945251,pi5,0.8616015721667822,OCSVM,True,1
pi5,"SVR(C=100, epsilon=0.5)",0.510005029506768,pi3,0.8217209634446526,OCSVM,True,1
pi2,SVR(kernel='linear'),0.9841456000562153,pi4,0.001970008201017337,OCSVM,True,1
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9227611592117698,pi2,0.004939256105265466,OCSVM,True,1
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9227611592117698,pi3,0.1258808774140605,OCSVM,True,1
pi3,SVR(kernel='linear'),0.918060315429347,pi4,0.6387148173689922,OCSVM,True,1
pi3,SVR(kernel='linear'),0.918060315429347,pi5,0.5937111671431378,OCSVM,True,1
pi5,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.3958771494954455,pi3,0.7075346399429094,OCSVM,True,1
pi2,LinearRegression(),0.9841755408471067,pi4,0.002602159760198064,OCSVM,True,1
pi4,LinearRegression(),0.9236575599787424,pi2,0.002520214233232232,OCSVM,True,1
pi4,LinearRegression(),0.9236575599787424,pi3,0.16302122100991234,OCSVM,True,1
pi3,LinearRegression(),0.918286821519274,pi4,0.6276949936545005,OCSVM,True,1
pi3,LinearRegression(),0.918286821519274,pi5,0.5892734744142808,OCSVM,True,1
pi5,LinearRegression(),0.40836545298349425,pi3,0.6808007173834181,OCSVM,True,1
pi2,SVR(C=100),0.9895703932980866,pi4,0.06685267247426285,MMD OCSVM Verify,True,1
pi4,"SVR(C=100, epsilon=0.2)",0.95957083167892,pi2,0.08686900777037143,MMD OCSVM Verify,True,1
pi2,SVR(kernel='linear'),0.9841456000562153,pi4,0.001970008201017337,MMD OCSVM Verify,True,1
pi4,"SVR(C=0.1, epsilon=0.2, kernel='linear')",0.9227611592117698,pi2,0.004939256105265466,MMD OCSVM Verify,True,1
pi2,LinearRegression(),0.9841755408471067,pi4,0.002602159760198064,MMD OCSVM Verify,True,1
pi4,LinearRegression(),0.9236575599787424,pi2,0.002520214233232232,MMD OCSVM Verify,True,1
pi3,"SVR(C=100, epsilon=1)",0.4411521762623425,pi5,0.42366048021459224,MMD,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.7183727737296254,pi3,0.4806680637720848,MMD,False,2
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.34659681855968794,pi5,0.12003570938679387,MMD,False,2
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.6356443345857254,pi3,0.2807194650639382,MMD,False,2
pi3,LinearRegression(),0.37302588566296435,pi5,0.41634216963504345,MMD,False,2
pi5,LinearRegression(),0.6393021693073082,pi3,0.24634916729562006,MMD,False,2
pi2,"SVR(C=10, epsilon=0.2)",0.7910627161254908,pi4,0.23820361995336325,OCSVM,False,2
pi2,"SVR(C=10, epsilon=0.2)",0.7910627161254908,pi5,26.14436125927428,OCSVM,False,2
pi4,"SVR(C=10, epsilon=1)",0.5029251027221278,pi2,8.082971858692227,OCSVM,False,2
pi4,"SVR(C=10, epsilon=1)",0.5029251027221278,pi3,9.063432355813733,OCSVM,False,2
pi4,"SVR(C=10, epsilon=1)",0.5029251027221278,pi5,10.607599611320207,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.7183727737296254,pi2,17.76129649377816,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.7183727737296254,pi3,0.4806680637720848,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.7183727737296254,pi4,3.5122426167578205,OCSVM,False,2
pi3,"SVR(C=100, epsilon=1)",0.4411521762623425,pi4,5.292098221774552,OCSVM,False,2
pi3,"SVR(C=100, epsilon=1)",0.4411521762623425,pi5,0.42366048021459224,OCSVM,False,2
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.7674474615826925,pi4,0.13464360607226222,OCSVM,False,2
pi2,"SVR(C=10, epsilon=1, kernel='linear')",0.7674474615826925,pi5,26.969431959269762,OCSVM,False,2
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.006474181695038883,pi2,1.2107259568939477,OCSVM,False,2
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.006474181695038883,pi3,10.70742343755086,OCSVM,False,2
pi4,"SVR(C=1e-05, epsilon=1, kernel='linear')",-0.006474181695038883,pi5,38.58444794042672,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.6356443345857254,pi2,17.833871555889317,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.6356443345857254,pi3,0.2807194650639382,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.6356443345857254,pi4,3.2049199600886653,OCSVM,False,2
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.34659681855968794,pi4,4.583768617988902,OCSVM,False,2
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.34659681855968794,pi5,0.12003570938679387,OCSVM,False,2
pi2,LinearRegression(),0.7677001840684041,pi4,0.18759154982328785,OCSVM,False,2
pi2,LinearRegression(),0.7677001840684041,pi5,27.1580076259089,OCSVM,False,2
pi4,LinearRegression(),0.0468819717549378,pi2,0.2029356140831955,OCSVM,False,2
pi4,LinearRegression(),0.0468819717549378,pi3,8.903025859563469,OCSVM,False,2
pi4,LinearRegression(),0.0468819717549378,pi5,23.827406158257816,OCSVM,False,2
pi5,LinearRegression(),0.6393021693073082,pi2,17.80430871812757,OCSVM,False,2
pi5,LinearRegression(),0.6393021693073082,pi3,0.24634916729562006,OCSVM,False,2
pi5,LinearRegression(),0.6393021693073082,pi4,3.4063488230588383,OCSVM,False,2
pi3,LinearRegression(),0.37302588566296435,pi4,4.9591346734009605,OCSVM,False,2
pi3,LinearRegression(),0.37302588566296435,pi5,0.41634216963504345,OCSVM,False,2
pi5,"SVR(C=10, epsilon=0.2)",0.7183727737296254,pi3,0.4806680637720848,MMD OCSVM Verify,False,2
pi3,"SVR(C=100, epsilon=1)",0.4411521762623425,pi5,0.42366048021459224,MMD OCSVM Verify,False,2
pi5,"SVR(C=10, epsilon=0.5, kernel='linear')",0.6356443345857254,pi3,0.2807194650639382,MMD OCSVM Verify,False,2
pi3,"SVR(C=0.1, epsilon=1, kernel='linear')",0.34659681855968794,pi5,0.12003570938679387,MMD OCSVM Verify,False,2
pi5,LinearRegression(),0.6393021693073082,pi3,0.24634916729562006,MMD OCSVM Verify,False,2
pi3,LinearRegression(),0.37302588566296435,pi5,0.41634216963504345,MMD OCSVM Verify,False,2
pi3,"SVR(C=100, epsilon=0.2)",0.46754627262468795,pi5,0.5169505341495404,MMD,True,2
pi5,SVR(),0.7090802090686302,pi3,0.5476094520150447,MMD,True,2
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.36915727887250893,pi5,0.5363710580428444,MMD,True,2
pi5,"SVR(C=10, kernel='linear')",0.6347925623066457,pi3,0.33035883077904593,MMD,True,2
pi3,LinearRegression(),0.3730258350399469,pi5,0.41634077065481,MMD,True,2
pi5,LinearRegression(),0.6393021276710453,pi3,0.24634965815163856,MMD,True,2
pi2,"SVR(C=1, epsilon=0.01)",0.7837115084549962,pi4,0.2395702764827773,OCSVM,True,2
pi2,"SVR(C=1, epsilon=0.01)",0.7837115084549962,pi5,26.10117499620899,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.2)",0.5097474186242777,pi2,7.694077832572148,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.2)",0.5097474186242777,pi3,8.945057309953091,OCSVM,True,2
pi4,"SVR(C=1, epsilon=0.2)",0.5097474186242777,pi5,10.627988629440093,OCSVM,True,2
pi5,SVR(),0.7090802090686302,pi2,17.837324349635285,OCSVM,True,2
pi5,SVR(),0.7090802090686302,pi3,0.5476094520150447,OCSVM,True,2
pi5,SVR(),0.7090802090686302,pi4,3.989891229356538,OCSVM,True,2
pi3,"SVR(C=100, epsilon=0.2)",0.46754627262468795,pi4,5.306937551173831,OCSVM,True,2
pi3,"SVR(C=100, epsilon=0.2)",0.46754627262468795,pi5,0.5169505341495404,OCSVM,True,2
pi2,SVR(kernel='linear'),0.7509731063281215,pi4,0.08367705995975272,OCSVM,True,2
pi2,SVR(kernel='linear'),0.7509731063281215,pi5,26.289507151805516,OCSVM,True,2
pi4,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.03662959420290868,pi2,0.32518453659018676,OCSVM,True,2
pi4,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.03662959420290868,pi3,9.58417990912865,OCSVM,True,2
pi4,"SVR(C=0.1, epsilon=0.5, kernel='linear')",0.03662959420290868,pi5,29.77430653064445,OCSVM,True,2
pi5,"SVR(C=10, kernel='linear')",0.6347925623066457,pi2,17.50545672058441,OCSVM,True,2
pi5,"SVR(C=10, kernel='linear')",0.6347925623066457,pi3,0.33035883077904593,OCSVM,True,2
pi5,"SVR(C=10, kernel='linear')",0.6347925623066457,pi4,3.179333421045598,OCSVM,True,2
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.36915727887250893,pi4,4.904979741895423,OCSVM,True,2
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.36915727887250893,pi5,0.5363710580428444,OCSVM,True,2
pi2,LinearRegression(),0.7677001475879274,pi4,0.18759096991770807,OCSVM,True,2
pi2,LinearRegression(),0.7677001475879274,pi5,27.15798575113224,OCSVM,True,2
pi4,LinearRegression(),0.04688214883725128,pi2,0.20293507701965996,OCSVM,True,2
pi4,LinearRegression(),0.04688214883725128,pi3,8.903029169853813,OCSVM,True,2
pi4,LinearRegression(),0.04688214883725128,pi5,23.827409702192686,OCSVM,True,2
pi5,LinearRegression(),0.6393021276710453,pi2,17.80430544306469,OCSVM,True,2
pi5,LinearRegression(),0.6393021276710453,pi3,0.24634965815163856,OCSVM,True,2
pi5,LinearRegression(),0.6393021276710453,pi4,3.406348085661631,OCSVM,True,2
pi3,LinearRegression(),0.3730258350399469,pi4,4.959133426285727,OCSVM,True,2
pi3,LinearRegression(),0.3730258350399469,pi5,0.41634077065481,OCSVM,True,2
pi5,SVR(),0.7090802090686302,pi3,0.5476094520150447,MMD OCSVM Verify,True,2
pi3,"SVR(C=100, epsilon=0.2)",0.46754627262468795,pi5,0.5169505341495404,MMD OCSVM Verify,True,2
pi5,"SVR(C=10, kernel='linear')",0.6347925623066457,pi3,0.33035883077904593,MMD OCSVM Verify,True,2
pi3,"SVR(C=10, epsilon=0.5, kernel='linear')",0.36915727887250893,pi5,0.5363710580428444,MMD OCSVM Verify,True,2
pi5,LinearRegression(),0.6393021276710453,pi3,0.24634965815163856,MMD OCSVM Verify,True,2
pi3,LinearRegression(),0.3730258350399469,pi5,0.41634077065481,MMD OCSVM Verify,True,2
pi3,"SVR(C=0.1, epsilon=0.2)",0.10945039679449586,pi4,1.0156547642180653,MMD,False,3
pi4,"SVR(C=100, epsilon=0.5)",0.9881442581383162,pi3,0.9428467942037942,MMD,False,3
pi3,"SVR(C=100, epsilon=0.2, kernel='linear')",0.02418474215263189,pi4,0.5523605033445742,MMD,False,3
pi4,SVR(kernel='linear'),0.984139089856351,pi3,1.989728940173884,MMD,False,3
pi3,LinearRegression(normalize=True),0.02754244836711528,pi4,0.6116834064750437,MMD,False,3
pi4,LinearRegression(),0.984233732045701,pi3,2.114336492600438,MMD,False,3
pi2,"SVR(C=1, epsilon=0.2)",0.9460603258679592,pi4,2.624755766924589,OCSVM,False,3
pi4,"SVR(C=100, epsilon=0.5)",0.9881442581383162,pi2,2.552908548482238,OCSVM,False,3
pi4,"SVR(C=100, epsilon=0.5)",0.9881442581383162,pi3,0.9428467942037942,OCSVM,False,3
pi3,"SVR(C=0.1, epsilon=0.2)",0.10945039679449586,pi4,1.0156547642180653,OCSVM,False,3
pi2,"SVR(C=10, epsilon=0.2, kernel='linear')",0.941550147892246,pi4,0.08481490344074916,OCSVM,False,3
pi4,SVR(kernel='linear'),0.984139089856351,pi2,0.03281032551757368,OCSVM,False,3
pi4,SVR(kernel='linear'),0.984139089856351,pi3,1.989728940173884,OCSVM,False,3
pi3,"SVR(C=100, epsilon=0.2, kernel='linear')",0.02418474215263189,pi4,0.5523605033445742,OCSVM,False,3
pi2,LinearRegression(normalize=True),0.9420231290507648,pi4,0.06835255611072133,OCSVM,False,3
pi4,LinearRegression(),0.984233732045701,pi2,0.02465228649531981,OCSVM,False,3
pi4,LinearRegression(),0.984233732045701,pi3,2.114336492600438,OCSVM,False,3
pi3,LinearRegression(normalize=True),0.02754244836711528,pi4,0.6116834064750437,OCSVM,False,3
pi4,"SVR(C=100, epsilon=0.5)",0.9881442581383162,pi3,0.9428467942037942,MMD OCSVM Verify,False,3
