model_node,model,score,test_node,discrepancy,method,std,experiment
pi2,"SVR(C=100, epsilon=0.2)",0.9905954029162147,pi4,0.05424827444307401,MMD,False,1
pi4,"SVR(C=10, epsilon=0.5)",0.9561329912685969,pi2,0.04288279779801096,MMD,False,1
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.9885301253169666,pi4,0.002424813672420534,MMD,False,1
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9179404025348946,pi2,0.005633725840405446,MMD,False,1
pi2,LinearRegression(),0.9887193823741618,pi4,0.0018953852351328848,MMD,False,1
pi4,LinearRegression(),0.9236546477262694,pi2,0.001878826651882548,MMD,False,1
pi2,"SVR(C=100, epsilon=0.2)",0.9905954029162147,pi4,0.05424827444307401,OCSVM,False,1
pi4,"SVR(C=10, epsilon=0.5)",0.9561329912685969,pi2,0.04288279779801096,OCSVM,False,1
pi4,"SVR(C=10, epsilon=0.5)",0.9561329912685969,pi3,0.6576994727897829,OCSVM,False,1
pi3,"SVR(C=10, epsilon=0.2)",0.980019410865901,pi4,3.4992946952163764,OCSVM,False,1
pi3,"SVR(C=10, epsilon=0.2)",0.980019410865901,pi5,0.7954674029671962,OCSVM,False,1
pi5,"SVR(C=10, epsilon=1)",0.48824131297727313,pi3,1.6289057793586574,OCSVM,False,1
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.9885301253169666,pi4,0.002424813672420534,OCSVM,False,1
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9179404025348946,pi2,0.005633725840405446,OCSVM,False,1
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9179404025348946,pi3,0.11435399892463649,OCSVM,False,1
pi3,"SVR(C=1, epsilon=1, kernel='linear')",0.9193000467638669,pi4,0.4813186444708363,OCSVM,False,1
pi3,"SVR(C=1, epsilon=1, kernel='linear')",0.9193000467638669,pi5,0.5955412781579805,OCSVM,False,1
pi5,"SVR(C=100, epsilon=1, kernel='linear')",0.2536105151750523,pi3,1.2987706594584654,OCSVM,False,1
pi2,LinearRegression(),0.9887193823741618,pi4,0.0018953852351328848,OCSVM,False,1
pi4,LinearRegression(),0.9236546477262694,pi2,0.001878826651882548,OCSVM,False,1
pi4,LinearRegression(),0.9236546477262694,pi3,0.2205419967252059,OCSVM,False,1
pi3,LinearRegression(),0.9200454860647107,pi4,0.5793869518135464,OCSVM,False,1
pi3,LinearRegression(),0.9200454860647107,pi5,0.7658095970842429,OCSVM,False,1
pi5,LinearRegression(),0.3755716041393278,pi3,0.7913666649668465,OCSVM,False,1
pi2,"SVR(C=100, epsilon=0.2)",0.9905954029162147,pi4,0.05424827444307401,MMD OCSVM Verify,False,1
pi4,"SVR(C=10, epsilon=0.5)",0.9561329912685969,pi2,0.04288279779801096,MMD OCSVM Verify,False,1
pi2,"SVR(C=100, epsilon=0.5, kernel='linear')",0.9885301253169666,pi4,0.002424813672420534,MMD OCSVM Verify,False,1
pi4,"SVR(C=0.1, epsilon=1, kernel='linear')",0.9179404025348946,pi2,0.005633725840405446,MMD OCSVM Verify,False,1
pi2,LinearRegression(),0.9887193823741618,pi4,0.0018953852351328848,MMD OCSVM Verify,False,1
pi4,LinearRegression(),0.9236546477262694,pi2,0.001878826651882548,MMD OCSVM Verify,False,1
pi2,"SVR(C=100, epsilon=0.01)",0.9906295060983117,pi4,0.0683972509272327,MMD,True,1
