model_node,model,score,test_node,discrepancy,method,std,experiment
pi2,"SVR(C=100, epsilon=0.2)",0.9904668821243763,pi4,0.0795380421708286,MMD,False,1
pi4,"SVR(C=100, epsilon=1)",0.9592735410365366,pi2,0.07039573958675915,MMD,False,1
pi2,"SVR(C=10, kernel='linear')",0.9869108674806908,pi4,0.002927748966885191,MMD,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.925197452903296,pi2,0.009352923051621276,MMD,False,1
pi2,LinearRegression(),0.9870991983627857,pi4,0.0061163021433252585,MMD,False,1
pi4,LinearRegression(),0.9271997707075038,pi2,0.005734130331317533,MMD,False,1
pi2,"SVR(C=100, epsilon=0.2)",0.9904668821243763,pi4,0.0795380421708286,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1)",0.9592735410365366,pi2,0.07039573958675915,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1)",0.9592735410365366,pi3,0.4798703266552843,OCSVM,False,1
pi3,"SVR(C=100, epsilon=0.5)",0.9788140470986126,pi4,5.033721555493017,OCSVM,False,1
pi3,"SVR(C=100, epsilon=0.5)",0.9788140470986126,pi5,1.7417684891074876,OCSVM,False,1
pi5,"SVR(C=100, epsilon=1)",0.47517587741780054,pi3,1.4495886154818216,OCSVM,False,1
pi2,"SVR(C=10, kernel='linear')",0.9869108674806908,pi4,0.002927748966885191,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.925197452903296,pi2,0.009352923051621276,OCSVM,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.925197452903296,pi3,0.13173601122127765,OCSVM,False,1
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9293352374864603,pi4,0.7044269920359407,OCSVM,False,1
pi3,"SVR(C=100, epsilon=1, kernel='linear')",0.9293352374864603,pi5,0.735555444300585,OCSVM,False,1
pi5,"SVR(C=1, epsilon=1, kernel='linear')",0.20323789329764042,pi3,1.5179358897374802,OCSVM,False,1
pi2,LinearRegression(),0.9870991983627857,pi4,0.0061163021433252585,OCSVM,False,1
pi4,LinearRegression(),0.9271997707075038,pi2,0.005734130331317533,OCSVM,False,1
pi4,LinearRegression(),0.9271997707075038,pi3,0.18315340303624583,OCSVM,False,1
pi3,LinearRegression(),0.929718268886945,pi4,0.686610737115169,OCSVM,False,1
pi3,LinearRegression(),0.929718268886945,pi5,0.8466313979189006,OCSVM,False,1
pi5,LinearRegression(),0.3425865717822234,pi3,0.817359719654931,OCSVM,False,1
pi2,"SVR(C=100, epsilon=0.2)",0.9904668821243763,pi4,0.0795380421708286,MMD OCSVM Verify,False,1
pi4,"SVR(C=100, epsilon=1)",0.9592735410365366,pi2,0.07039573958675915,MMD OCSVM Verify,False,1
pi2,"SVR(C=10, kernel='linear')",0.9869108674806908,pi4,0.002927748966885191,MMD OCSVM Verify,False,1
pi4,"SVR(C=100, epsilon=1, kernel='linear')",0.925197452903296,pi2,0.009352923051621276,MMD OCSVM Verify,False,1
pi2,LinearRegression(),0.9870991983627857,pi4,0.0061163021433252585,MMD OCSVM Verify,False,1
pi4,LinearRegression(),0.9271997707075038,pi2,0.005734130331317533,MMD OCSVM Verify,False,1
pi2,SVR(C=100),0.9904335120463961,pi4,0.06617798590019852,MMD,True,1
pi4,SVR(C=100),0.9629063014779472,pi2,0.08050142481667899,MMD,True,1
